movie_id,metascore
tt4154796,78
tt1298650,45
tt2395427,66
tt4154756,68
tt0449088,50
tt0974015,45
tt2379713,60
tt3778644,62
tt0401729,51
tt2975590,44
tt6105098,55
tt0398286,71
tt0413300,59
tt3498820,75
tt0417741,78
tt1170358,66
tt2310332,59
tt4630562,56
tt2382320,.
tt0499549,83
tt0348150,72
tt1345836,78
tt1790809,39
tt0830515,58
tt0848228,69
tt0383574,53
tt0770828,55
tt0499448,62
tt1210819,37
tt6723592,.
tt0948470,66
tt1440129,41
tt3371366,27
tt0369610,59
tt1409024,58
tt1055369,35
tt2109248,32
tt0376994,58
tt0955308,53
tt0360717,81
tt0385752,51
tt1825683,88
tt0120338,75
tt3606756,80
tt3748528,65
tt2277860,77
tt1979376,84
tt0435761,92
tt1300854,62
tt3896198,67
tt0316654,83
tt1014759,53
tt1074638,81
tt0903624,58
tt1453405,65
tt1623205,44
tt1877832,75
tt1872181,53
tt1216475,57
tt6806448,60
tt1104001,49
tt1190080,49
tt4123430,52
tt0438488,49
tt1133985,39
tt6565702,43
tt1399103,42
tt2345759,34
tt1351685,51
tt2820852,67
tt1408101,72
tt0816711,63
tt1343092,55
tt1663662,65
tt1979388,66
tt0371746,79
tt0468569,84
tt0367882,65
tt1217209,69
tt3731562,62
tt2660888,68
tt4777008,43
tt1856101,81
tt6450804,54
tt6139732,53
tt3501632,74
tt1587310,56
tt3183660,66
tt0910970,95
tt0293564,44
tt0918940,44
tt0970179,83
tt2239822,51
tt1617661,40
tt4912910,86
tt3385516,52
tt4779682,46
tt1631867,71
tt4154664,64
tt3040964,77
tt2096673,94
tt2250912,73
tt1386697,40
tt1049413,88
tt2380307,81
tt5848272,71
tt0892782,56
tt3606752,59
tt1046173,32
tt0120891,38
tt0859163,31
tt0413099,37
tt0114898,56
tt6673612,26
tt1972591,41
tt1335975,28
tt4881806,51
tt2015381,76
tt1228705,57
tt1843866,70
tt2103281,79
tt0338348,61
tt1735898,57
tt0181852,66
tt0338526,35
tt3861390,51
tt3741700,48
tt1964418,60
tt0437086,53
tt2567026,34
tt0892791,58
tt1211837,72
tt2245084,74
tt0892769,75
tt1772341,72
tt0816692,74
tt1628841,32
tt2771200,65
tt6320628,69
