,title,prd_company
0,Tenet,Syncopy
1,Terminator 3: Rise of the Machines,"Intermedia, C2 Pictures"
2,Poseidon,"Virtual Studios, Irwin Allen Productions"
3,The Irishman,"TriBeCa Productions, Sikelia Productions"
4,Lethal Weapon 4,Silver Pictures
5,Final Fantasy: The Spirits Within,Square Pictures
6,The Bourne Ultimatum,"The Kennedy/Marshall Company, Ludlum Entertainment"
7,Batman & Robin,Warner Bros.
8,Stuart Little 2,"Columbia Pictures, Red Wagon Entertainment"
9,The Chronicles of Riddick,"Radar Pictures, One Race Films"
10,Dante's Peak,Pacific Western Productions
11,Home on the Range,.
12,Speed 2: Cruise Control,.
13,The Lord of the Rings: The Fellowship of the Ring,"New Line Cinema, WingNut Films"
14,Town & Country,"Sidney Kimmel Entertainment, Simon Fields Productions"
15,End of Days,Beacon Pictures
16,The Stepford Wives,"Paramount Pictures, DreamWorks Pictures, DeLine Pictures"
17,Surf's Up,Sony Pictures Animation
18,Starship Troopers,"TriStar Pictures, Touchstone Pictures, Jon Davison Productions"
19,Cats,"Working Title Films, Amblin Entertainment, Perfect World Pictures, Monumental Pictures, The Really Useful Group"
20,Jurassic Park III,Amblin Entertainment
21,The Alamo,"Touchstone Pictures, Imagine Entertainment, "
22,Cutthroat Island,Carolco Pictures
23,Men in Black,.
24,Rush Hour 2,Roger Birnbaum Productions
25,Mulan,"Walt Disney Pictures, Walt Disney Feature Animation"
26,The Haunted Mansion,Walt Disney Pictures
27,Hollow Man,"Columbia Pictures, Red Wagon Productions"
28,The Saint,"Rysher Entertainment, "
29,Mission to Mars,"Touchstone Pictures, Spyglass Entertainment"
30,Volcano,Moritz Original
31,Bright,Overbrook Entertainment
32,The Fast and the Furious: Tokyo Drift,Universal Pictures
33,The Rundown,"Universal Pictures, Columbia Pictures, Strike Entertainment, WWE Films"
34,Collateral Damage,Bel-Air Entertainment
35,Nutty Professor II: The Klumps,Imagine Entertainment
36,The 6th Day,"Phoenix Pictures, Columbia Pictures"
37,Batman Returns,"John Alvin, Warner Bros."
38,Space Jam,"Warner Bros. Family Entertainment, Warner Bros. Feature Animation"
39,The Pink Panther,Mirisch Compa
40,Six Days Seven Nights,"Touchstone Pictures, Caravan Pictures, Northern Lights Entertainment, Roger Birnbaum Productions"
41,The Time Machine,.
42,What Dreams May Come,Interscope Communications
43,Mighty Joe Young,"Walt Disney Pictures, RKO Pictures"
44,Thirteen Days,Beacon Pictures
45,Looney Tunes: Back in Action,Warner Bros. Feature Animation
46,Timeline,.
47,Babe: Pig in the City,Kennedy Miller Productions
48,The Postman,.
49,Red Planet,Village Roadshow Pictures
50,A Sound of Thunder,"Franchise Pictures, Crusader Entertainment, Baldwin Entertainment Group"
51,Hidalgo,"Touchstone Pictures, Carey Silver Productions"
52,The League of Extraordinary Gentlemen,"20th Century Fox, Angry Films"
53,The Little Prince,.
54,Renegades,.
55,2 Fast 2 Furious,Original Film
56,Inspector Gadget,"Walt Disney Pictures, Caravan Pictures, DIC Entertainment, Roger Birnbaum Productions, Avnet-Kerner Productions"
57,Vertical Limit,Columbia Pictures
58,Life,Imagine Entertainment
59,Bandits,"Hyde Park Entertainment, Empire Pictures, Cheyenne Enterprises, Metro?밎oldwyn?밠ayer"
60,Anna and the King,"Fox 2000 Pictures, Lawrence Bender Productions"
61,First Knight,Zucker Brothers Entertainment
62,Hostage,"Cheyenne Enterprises, Equity Pictures"
63,Titan A.E.,Fox Animation Studios
64,Soldier,.
65,Virus,.
66,Snake Eyes,"Paramount Pictures, Touchstone Pictures"
67,Braveheart,"Icon Productions, The Ladd Company"
68,Driven,Franchise Pictures
69,Hercules,"Walt Disney Pictures, Walt Disney Feature Animation"
70,Star Trek: Insurrection,.
71,Wolf,"Least Concern, Linnaeus, 1758"
72,Bad Company,.
73,Hard Rain,"UGC-PH, Tele M체nchen, BBC, Nordisk Film, Marubeni, Toho, PolyGram Filmed Entertainment, Mutual Film Company"
74,Rollerball,.
75,Next,.
76,Ballistic: Ecks vs. Sever,Franchise Pictures
77,Osmosis Jones,"Warner Bros. Feature Animation, Conundrum Entertainment"
78,Agora 챕 que Conta,.
79,Money Train,.
80,Mystery Men,Dark Horse Entertainment
81,The Insider,"Touchstone Pictures, Spyglass Entertainment"
82,Last Man Standing,New Line Cinema
83,The Making of 'The X Files: Fight the Future',.
84,The Santa Clause 2,Walt Disney Pictures
85,Total Recall,Carolco Pictures
86,Cliffhanger,"Carolco Pictures, TriStar Pictures, Le Studio Canal+, Pioneer Corporation, RCS Video"
87,Mona Lisa Smile,"Columbia Pictures, Revolution Studios, Red Om Films Productions"
88,We Are Marshall,"Legendary Pictures, Thunder Road Pictures, Wonderland Sound and Vision"
89,Primary Colors,Mutual Film Company
90,Hudson Hawk,Silver Pictures
91,Lucky Numbers,StudioCanal
92,Little Man,.
93,Random Hearts,Rastar
94,Perfume: The Story of a Murderer,.
95,Wyatt Earp,"Kasdan Pictures, Tig Productions"
96,U-571,"Dino De Laurentiis Company, Canal+ Image"
97,3000 Miles to Graceland,"Morgan Creek Productions, Franchise Pictures"
98,GoldenEye,"Terry O'Neill, Eon Productions, United Artists"
99,The General's Daughter,.
100,Cheaper by the Dozen 2,Twentieth Century Fox Film Corporation
101,Ladder 49,"Touchstone Pictures, Beacon Pictures, Casey Silver Productions"
102,Kangaroo Jack,"Castle Rock Entertainment, Jerry Bruckheimer Films"
103,Hellboy,"Columbia Pictures, Revolution Studios, Lawrence Gordon/Lloyd Levin Productions, Dark Horse Entertainment"
104,Up Close & Personal,"Touchstone Pictures, Cinergi Pictures, Avnet/Kerner Productions"
105,The Tuxedo,"DreamWorks SKG, Vanguard Films"
106,Alien: Resurrection,"20th Century Fox, Brandywine Productions"
107,Star Trek: Nemesis,.
108,The Relic,"BBC, Cloud Nine Entertainment, Marubeni Corporation, Pacific Western Productions, PolyGram Filmed Entertainment, Tele M체nchen Fernseh Produktionsgesellschaft, Toho-Towa"
109,Mercury Rising,Imagine Entertainment
110,Event Horizon,"Paramount Pictures, Impact Pictures"
111,The Avengers,.
112,Supernova,Metro-Goldwyn-Mayer
113,Holy Man,"Touchstone Pictures, Caravan Pictures, Roger Birnbaum Productions"
114,Beyond Borders,Mandalay Pictures
115,Rambo III,Carolco Pictures
116,Pocahontas,"Walt Disney Pictures, Walt Disney Feature Animation"
