,title,re_title,prd_mthd
0,Spies in Disguise,Spies-in-Disguise,Digital Animation
1,Cats,Cats,Live Action
2,Abominable,Abominable,Live Action
3,Eye See You,Eye-See-You,Live Action
4,Rambo: Last Blood,Rambo-Last-Blood,Live Action
5,Richard Jewell,Richard-Jewell,Live Action
6,Heaven's Gate,Heavens-Gate,","
7,Angel Has Fallen,Angel-Has-Fallen,Live Action
8,Raise the Titanic,Raise-the-Titanic,","
9,Pirates,Pirates,","
10,The Kitchen,Kitchen-The,Live Action
11,Playing for Keeps,Playing-for-Keeps,Live Action
12,Lion of the Desert,Lion-of-the-Desert,Live Action
13,21 Bridges,21-Bridges,Live Action
14,Like a Boss,Like-a-Boss,Live Action
15,Lucy in the Sky,Lucy-in-the-Sky,Live Action
16,Just Mercy,Just-Mercy,Live Action
17,Masterminds,Masterminds,Live Action
18,Waterloo,Waterloo,","
19,The Wiz,Wiz-The,","
20,Dhoom 3,Dhoom-3,","
21,The Gentlemen,Gentlemen-The,Live Action
22,Molly,Molly,","
23,Popeye,Popeye,","
24,The Black Hole,Black-Hole-The,","
25,Rapa Nui,Rapa-Nui,","
26,Mutiny on the Bounty,Mutiny-on-the-Bounty,","
27,The Fall of the Roman Empire,Fall-of-the-Roman-Empire-The,","
28,The Nutcracker,Nutcracker-The,Live Action
29,The Art of Racing in the Rain,Art-of-Racing-in-the-Rain-The,Live Action
30,I Come with the Rain,I-Come-with-the-Rain,","
31,Taxi 4,Taxi-4,","
32,Shanghai Surprise,Shanghai-Surprise,","
33,Damnation Alley,Damnation-Alley,","
34,A Quiet Place Part II,Quiet-Place-Part-II-A-(2020),Live Action
35,Hawaii,Hawaii,","
36,The Photograph,Photograph-The-(2020),Live Action
37,Breakthrough,Breakthrough,Live Action
38,Caravans,Caravans,Live Action
39,Excessive Force,Excessive-Force,","
40,Patton,Patton,","
41,47 Meters Down: Uncaged,47-Meters-Down-Uncaged-(2019),Live Action
42,Black and Blue,Black-and-Blue,Live Action
43,The Boys from Brazil,Boys-from-Brazil-The,Live Action
44,The Turning,Turning-The,Live Action
45,Welcome to Collinwood,Welcome-to-Collinwood,Live Action
46,Triangle,Triangle-(2009),.
47,Doctor Zhivago,Doctor-Zhivago,Live Action
48,Barry Lyndon,Barry-Lyndon,Live Action
49,The Molly Maguires,Molly-Maguires-The,Live Action
50,Return to the Blue Lagoon,Return-to-the-Blue-Lagoon,Live Action
51,Pete's Dragon,Petes-Dragon,","
52,The Good Liar,Good-Liar-The-(2019),Live Action
53,Poms,Poms,Live Action
54,Brahms: The Boy II,Brahms-The-Boy-II-(2020),Live Action
55,Jay and Silent Bob Reboot,Jay-and-Silent-Bob-Reboot,Live Action
56,Keeping Up with the Joneses,Keeping-Up-with-the-Joneses,Live Action
57,High Heels and Low Lifes,High-Heels-and-Low-Lifes,","
58,The Devil's Tomb,Devils-Tomb-The,","
59,Good Intentions,Good-Intentions,","
60,Red Dog,Red-Dog,","
61,Les gamins,Gamins-Les,Live Action
62,Yeh Jawaani Hai Deewani,Yeh-Jawaani-Hai-Deewani,","
63,"Neuilly sa mère, sa mère!",Neuilly-sa-mere-sa-mere-(France)(2018),Live Action
64,Showdown in Little Tokyo,Showdown-in-Little-Tokyo,Live Action
65,The Land Girls,Land-Girls-The,","
66,Obtaining Cover: Inside Code 46,Obtaining-Cover-Inside-Code-46,.
67,Logan's Run,Logans-Run,","
68,March or Die,March-or-Die,","
69,My Little Pony: The Movie,My-Little-Pony-The-Movie,Hand Animation
70,The Peanut Butter Falcon,Peanut-Butter-Falcon-The,Live Action
71,War and Peace,War-and-Peace,","
