votes
"661,719"
"460,865"
"697,604"
"748,996"
"572,118"
"352,866"
"365,008"
"259,822"
"247,277"
"596,317"
"162,301"
"381,931"
"476,481"
"619,898"
"439,445"
"580,014"
"452,340"
"191,911"
0
"1,078,016"
"264,816"
"1,439,795"
"242,432"
"388,032"
"1,216,895"
"629,595"
"664,610"
"185,646"
"213,753"
0
"539,822"
"228,999"
"126,740"
"556,312"
"322,482"
"373,138"
"290,074"
"465,130"
"245,047"
"376,718"
"173,653"
"561,637"
"993,202"
"225,556"
"519,590"
"224,264"
"150,731"
"715,841"
"719,976"
"522,765"
"518,755"
"368,698"
"607,463"
"734,164"
"304,416"
"194,518"
"638,387"
"400,753"
"147,872"
"131,293"
"303,554"
"337,740"
"194,147"
"331,119"
"258,273"
"123,078"
"374,098"
"163,725"
"126,921"
"344,990"
"452,758"
"571,012"
"450,725"
"452,566"
"95,385"
"896,884"
"2,173,344"
"406,135"
"352,838"
"252,647"
"217,362"
"51,334"
"412,480"
"87,298"
"182,623"
"532,010"
"326,404"
"384,615"
"944,782"
"146,593"
"156,091"
"291,357"
"150,688"
"171,184"
"261,997"
"373,401"
"130,153"
"567,950"
"394,382"
"248,775"
"567,084"
"470,359"
"565,160"
"882,822"
"320,987"
"112,358"
"140,534"
"66,096"
"194,328"
"148,129"
"145,353"
"133,855"
"171,645"
"16,038"
"178,403"
"139,967"
"240,399"
"996,325"
"686,304"
"698,443"
"399,367"
"163,883"
"264,464"
"363,056"
"235,060"
"55,744"
"108,354"
"165,737"
"190,307"
"85,178"
"174,201"
"553,897"
"388,240"
"633,620"
"360,733"
"1,372,934"
"159,909"
"253,795"
"260,577"
"323,678"
"265,582"
"1,924,665"
"265,897"
"363,313"
"625,205"
"556,750"
"147,494"
"94,257"
"232,756"
"247,813"
"139,789"
"247,603"
"97,535"
"157,355"
"213,244"
"300,679"
"580,490"
"62,060"
"514,672"
"544,382"
"404,133"
"475,306"
"510,285"
"493,197"
"652,881"
"243,501"
"426,405"
"1,241,089"
"403,743"
"604,573"
"564,401"
"324,487"
"501,037"
"710,805"
"193,033"
"449,601"
"166,549"
"238,874"
"815,949"
23-Jul-19
"428,318"
"329,241"
"81,652"
"315,785"
"260,347"
"465,942"
"141,088"
"133,146"
"40,546"
"180,705"
"176,362"
"157,647"
"236,993"
"197,666"
"99,882"
"117,169"
"57,596"
"20,250"
0
"106,757"
"153,375"
"439,997"
"290,214"
"191,366"
"59,122"
"150,195"
"88,642"
"195,058"
"196,322"
"564,872"
"381,462"
"700,613"
"123,795"
"147,386"
"168,509"
"380,791"
"128,526"
"154,387"
"72,745"
"51,512"
"99,631"
0
"659,794"
"479,357"
"50,357"
"415,900"
"244,144"
"78,783"
"220,558"
"182,176"
"657,975"
"180,233"
"223,671"
"193,360"
"78,456"
"80,339"
"39,686"
"105,999"
"25,016"
"399,163"
"75,077"
"589,651"
"512,143"
"588,989"
"275,709"
"396,138"
"533,219"
"88,185"
"67,636"
"137,961"
"215,465"
"218,590"
"75,181"
"284,116"
"234,776"
"207,697"
"185,972"
"115,683"
"113,315"
"86,615"
"213,657"
"49,992"
"600,178"
"98,570"
"392,048"
"594,741"
"80,264"
"383,308"
"339,418"
"195,236"
"404,834"
"398,620"
"100,212"
"262,484"
"66,100"
"176,179"
"550,753"
"275,121"
"224,614"
"91,190"
"233,303"
"174,480"
"14,268"
"112,806"
0
"193,860"
"150,295"
"197,714"
"554,246"
"215,141"
"127,327"
"116,632"
"405,541"
"465,695"
"97,341"
"47,654"
"210,175"
"208,292"
669
"66,394"
"292,722"
"42,494"
"173,244"
"320,880"
"770,513"
"413,724"
"76,561"
"92,488"
"63,370"
"63,072"
"43,742"
"436,516"
"733,274"
"298,057"
"200,570"
"79,903"
"378,401"
"341,369"
"173,406"
"244,227"
"270,950"
"318,571"
"326,443"
"151,088"
"147,326"
"288,373"
"85,768"
"239,339"
"35,629"
"178,811"
"216,232"
"18,694"
"71,486"
"256,716"
"185,985"
"81,018"
"1,568,706"
"48,420"
"89,891"
"714,155"
"132,434"
"479,326"
"119,460"
"115,232"
"122,219"
"52,094"
"4,534"
"250,032"
"251,813"
"1,265,367"
"37,657"
"267,590"
"555,439"
"482,985"
"118,138"
"333,814"
"514,428"
"948,480"
"226,680"
"204,918"
"292,189"
"1,267,819"
"164,576"
"102,250"
"226,729"
"375,801"
"193,370"
"229,224"
"189,083"
"1,089,906"
"97,192"
"99,714"
"133,563"
"167,931"
"283,599"
"97,752"
"118,984"
"140,688"
"212,851"
"102,429"
"6,648"
"58,015"
"65,540"
"476,173"
"29,633"
"75,476"
"257,058"
"62,441"
"63,249"
"7,619"
"106,069"
"161,029"
"95,061"
"125,158"
"86,184"
"55,575"
"26,345"
"113,284"
"209,367"
"50,450"
"90,467"
"23,497"
0
"40,331"
"45,278"
"55,655"
"289,983"
"383,889"
"239,084"
"150,514"
"182,420"
"348,162"
"71,251"
"169,800"
"120,977"
"177,640"
"415,424"
"78,427"
"150,055"
"39,391"
"68,236"
"900,927"
"1,558,973"
"1,406,878"
"190,119"
849
"283,823"
"482,738"
"84,413"
"625,500"
"192,565"
"19,041"
"24,928"
"281,973"
"284,295"
"493,902"
"496,027"
"191,265"
"562,264"
"212,524"
"33,475"
"113,442"
"197,174"
"367,497"
"1,120,989"
"169,226"
"233,762"
"6,908"
"362,813"
"400,297"
"242,399"
"183,120"
"350,144"
"175,065"
"15,436"
"96,674"
"219,562"
"124,884"
"39,811"
"117,987"
"94,696"
"105,188"
"125,212"
"228,560"
"139,105"
"59,844"
"68,308"
"177,364"
"105,353"
"155,107"
"69,189"
"55,515"
"57,142"
"92,690"
"100,203"
736
"3,336"
"157,454"
783
"166,610"
"169,681"
"106,526"
"303,253"
"243,108"
"64,374"
"491,190"
"161,932"
"488,582"
"417,595"
"172,250"
"249,941"
"124,508"
"409,663"
"211,954"
"210,143"
"169,500"
"197,444"
"305,996"
"82,961"
"218,909"
"81,773"
"127,920"
"33,011"
"80,982"
"230,699"
"228,112"
"133,809"
"231,899"
"130,238"
"97,974"
"48,115"
"81,245"
"201,705"
"13,157"
"69,965"
"58,880"
"106,060"
"417,849"
"353,767"
"88,402"
14137
"213,714"
"92,019"
"46,805"
"153,264"
"291,685"
"34,844"
"278,317"
"248,707"
"155,403"
"315,120"
"42,728"
"113,004"
"355,389"
"812,424"
"445,400"
"370,075"
"123,584"
"98,141"
"261,654"
"37,271"
"375,973"
"152,457"
"157,578"
"155,291"
"133,104"
"29,417"
"194,891"
"126,652"
"1,052,732"
"106,644"
"60,748"
"335,884"
"84,537"
"233,985"
"209,281"
"201,042"
"170,261"
"264,029"
"19,507"
"135,242"
"280,547"
"80,490"
"68,441"
"148,436"
"400,008"
"28,972"
"78,113"
"54,229"
"158,773"
"89,911"
"70,031"
"60,652"
"171,408"
"67,772"
"99,413"
284519
"66,781"
"115,292"
"98,368"
"26,575"
"140,461"
"88,603"
"93,910"
"165,317"
"115,453"
"112,883"
"202,188"
"22,978"
"10,316"
"51,890"
"63,244"
"89,895"
"102,819"
"31,071"
"41,318"
"58,433"
5
"30,257"
"66,029"
"53,623"
"72,468"
"18,389"
"15,351"
"881,465"
41
"74,257"
"801,615"
"84,893"
"237,527"
