movie_id,prd_mthd
tt4154796,animation/live action
tt1298650,live action
tt2395427,animation/live action
tt4154756,animation/live action
tt0449088,live action
tt0974015,live action
tt2379713,live action
tt3778644,animation/live action
tt0401729,live action
tt2975590,live action
tt6105098,animation/live action
tt0398286,digital animation
tt0413300,live action
tt3498820,live action
tt0417741,animation/live action
tt1170358,animation/live action
tt2310332,animation/live action
tt4630562,live action
tt2382320,live action
tt0499549,animation/live action
tt0348150,live action
tt1345836,live action
tt1790809,animation/live action
tt0830515,live action
tt0848228,animation/live action
tt0383574,live action
tt0770828,live action
tt0499448,animation/live action
tt1210819,live action
tt6723592,live action
tt0948470,live action
tt1440129,live action
tt3371366,animation/live action
tt0369610,live action
tt1409024,animation/live action
tt1055369,animation/live action
tt2109248,animation/live action
tt0376994,live action
tt0955308,live action
tt0360717,animation/live action
tt0385752,live action
tt1825683,live action
tt0120338,live action
tt3606756,digital animation
tt3748528,animation/live action
tt2277860,digital animation
tt1979376,digital animation
tt0435761,digital animation
tt1300854,animation/live action
tt3896198,animation/live action
tt0316654,live action
tt1014759,.
tt1074638,live action
tt0903624,animation/live action
tt1453405,digital animation
tt1623205,animation/live action
tt1877832,live action
tt1872181,live action
tt1216475,digital animation
tt6806448,live action
tt1104001,live action
tt1190080,live action
tt4123430,animation/live action
tt0438488,live action
tt1133985,animation/live action
tt6565702,live action
tt1399103,animation/live action
tt2345759,live action
tt1351685,animation/live action
tt2820852,live action
tt1408101,live action
tt0816711,live action
tt1343092,live action
tt1663662,live action
tt1979388,digital animation
tt0371746,live action
tt0468569,live action
tt0367882,live action
tt1217209,digital animation
tt3731562,live action
tt2660888,live action
tt4777008,live action
tt1856101,live action
tt6450804,animation/live action
tt6139732,animation/live action
tt3501632,live action
tt1587310,live action
tt3183660,animation/live action
tt0910970,digital animation
tt0293564,live action
tt0918940,live action
tt0970179,animation/live action
tt2239822,animation/live action
tt1617661,live action
tt4912910,live action
tt3385516,live action
tt4779682,live action
tt1631867,live action
tt4154664,animation/live action
tt3040964,animation/live action
tt2096673,digital animation
tt2250912,live action
tt1386697,animation/live action
tt1049413,digital animation
tt2380307,digital animation
tt5848272,digital animation
tt0892782,digital animation
tt3606752,digital animation
tt1046173,animation/live action
tt0120891,live action
tt0859163,live action
tt0413099,live action
tt0114898,live action
tt6673612,animation/live action
tt1972591,live action
tt1335975,live action
tt4881806,live action
tt2015381,animation/live action
tt1228705,live action
tt1843866,live action
tt2103281,animation/live action
tt0338348,digital animation
tt1735898,live action
tt0181852,animation/live action
tt0338526,live action
tt3861390,animation/live action
tt3741700,live action
tt1964418,live action
tt0437086,animation/live action
tt2567026,animation/live action
tt0892791,digital animation
tt1211837,animation/live action
tt2245084,digital animation
tt0892769,digital animation
tt1772341,digital animation
tt0816692,live action
tt1628841,live action
tt2771200,animation/live action
tt6320628,live action
tt1477834,animation/live action
tt0413267,digital animation
tt1375666,animation/live action
tt1951266,live action
tt0831387,live action
tt1270798,live action
tt0421715,live action
tt0963966,animation/live action
tt0409182,live action
tt0803096,live action
tt1302006,live action
tt1860357,live action
tt1340138,live action
tt2557478,live action
tt0346491,live action
tt3450958,animation/live action
tt0213149,live action
tt0418279,animation/live action
tt4520988,digital animation
tt0451279,live action
tt2294629,digital animation
