,title,prd_mthd
0,Avengers: Endgame,animation/live action
1,Pirates of the Caribbean: On Stranger Tides,live action
2,Avengers: Age of Ultron,animation/live action
3,Avengers: Infinity War,animation/live action
4,Pirates of the Caribbean: At World's End,live action
5,Justice League,live action
6,Spectre,live action
7,Solo: A Star Wars Story,animation/live action
8,John Carter,live action
9,Batman v Superman: Dawn of Justice,live action
10,The Lion King,animation/live action
11,Tangled,digital animation
12,Spider-Man 3,live action
13,Captain America: Civil War,live action
14,Harry Potter and the Half-Blood Prince,animation/live action
15,The Hobbit: The Desolation of Smaug,animation/live action
16,The Hobbit: The Battle of the Five Armies,animation/live action
17,The Fate of the Furious,live action
18,No Time to Die,live action
19,Avatar,animation/live action
20,Superman Returns,live action
21,The Dark Knight Rises,live action
22,Pirates of the Caribbean: Dead Men Tell No Tales,animation/live action
23,Quantum of Solace,live action
24,The Avengers,animation/live action
25,Pirates of the Caribbean: Dead Man's Chest,live action
26,Man of Steel,live action
27,The Chronicles of Narnia: Prince Caspian,animation/live action
28,The Lone Ranger,live action
29,Tenet,live action
30,The Amazing Spider-Man,live action
31,Battleship,live action
32,Transformers: The Last Knight,animation/live action
33,Jurassic World,live action
34,Men in Black 3,animation/live action
35,Transformers: Revenge of the Fallen,animation/live action
36,Transformers: Age of Extinction,animation/live action
37,X-Men: The Last Stand,live action
38,Robin Hood,live action
39,King Kong,animation/live action
40,The Golden Compass,live action
41,Black Panther,live action
42,Titanic,live action
43,Incredibles 2,digital animation
44,Rogue One: A Star Wars Story,animation/live action
45,Finding Dory,digital animation
46,Toy Story 4,digital animation
47,Toy Story 3,digital animation
48,Iron Man 3,animation/live action
49,Guardians of the Galaxy Vol. 2,animation/live action
50,Spider-Man 2,live action
51,Alice in Wonderland,.
52,Skyfall,live action
53,The Hobbit: An Unexpected Journey,animation/live action
54,Monsters University,digital animation
55,Oz the Great and Powerful,animation/live action
56,X-Men: Days of Future Past,live action
57,The Amazing Spider-Man 2,live action
58,Cars 2,digital animation
59,Fast & Furious Presents: Hobbs & Shaw,live action
60,TRON: Legacy,live action
61,2012,live action
62,Fantastic Beasts: The Crimes of Grindelwald,animation/live action
63,Terminator Salvation,live action
64,Green Lantern,animation/live action
65,X-Men: Dark Phoenix,live action
66,Transformers: Dark of the Moon,animation/live action
67,The Mummy,live action
68,Jack the Giant Slayer,animation/live action
69,Furious 7,live action
70,Star Trek Into Darkness,live action
71,World War Z,live action
72,The Great Gatsby,live action
73,Pacific Rim,live action
74,The Good Dinosaur,digital animation
75,Iron Man,live action
76,The Dark Knight,live action
77,Indiana Jones and the Kingdom of the Crystal Skull,live action
78,Brave,digital animation
79,Kong: Skull Island,live action
80,Star Trek Beyond,live action
81,Maleficent: Mistress of Evil,live action
82,Blade Runner 2049,live action
83,Terminator: Dark Fate,animation/live action
84,Aladdin,animation/live action
85,Thor: Ragnarok,live action
86,Maleficent,live action
87,Fantastic Beasts and Where to Find Them,animation/live action
88,WALL·E,digital animation
89,Rush Hour 3,live action
90,The Legend of Tarzan,live action
91,Hugo,animation/live action
92,Valerian and the City of a Thousand Planets,animation/live action
93,Jupiter Ascending,live action
94,Mission: Impossible - Fallout,live action
95,X-Men: Apocalypse,live action
96,The Meg,live action
97,Edge of Tomorrow,live action
98,Captain Marvel,animation/live action
99,The Jungle Book,animation/live action
100,Inside Out,digital animation
101,Spider-Man: Homecoming,live action
102,Suicide Squad,animation/live action
103,Up,digital animation
104,Coco,digital animation
105,Ralph Breaks the Internet,digital animation
106,Monsters vs. Aliens,digital animation
107,Cars 3,digital animation
