antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"['I-1013', 'I-1043', 'I-1045', 'I-1041']",['I-1044'],0.11614317019722425,0.44448502556610664,0.10555149744338933,0.9088050314465408,2.0446246311426695,0.05392759746894744,6.091509029999239
"['I-1043', 'I-1006', 'I-1045', 'I-1041']",['I-1044'],0.11468224981738495,0.44448502556610664,0.10226442658875091,0.89171974522293,2.006186246853231,0.05128988384669193,5.130344175654193
"['I-1013', 'I-1043', 'I-1006', 'I-1045']",['I-1044'],0.11431701972242513,0.44448502556610664,0.10189919649379109,0.8913738019169329,2.005407945479509,0.05108699305982784,5.1140054999355495
"['I-1013', 'I-1006', 'I-1045', 'I-1041']",['I-1044'],0.11322132943754565,0.44448502556610664,0.10007304601899196,0.8838709677419355,1.988528109841758,0.0497478605093159,4.783601168736306
"['I-1044', 'I-1006', 'I-1016', 'I-1041']",['I-1045'],0.11468224981738495,0.44485025566106645,0.10007304601899196,0.8726114649681528,1.961584721742859,0.04905661786794197,4.357925493060625
"['I-1013', 'I-1044', 'I-1012', 'I-1041']",['I-1045'],0.1168736303871439,0.44485025566106645,0.10189919649379109,0.871875,1.9599291871921183,0.04990793213603314,4.33287605337704
"['I-1013', 'I-1016', 'I-1045', 'I-1041']",['I-1044'],0.11614317019722425,0.44448502556610664,0.10116873630387144,0.871069182389937,1.9597267225831123,0.04954483632942954,4.308628338292146
"['I-1013', 'I-1044', 'I-1043', 'I-1041']",['I-1045'],0.1212563915266618,0.44485025566106645,0.10555149744338933,0.8704819277108433,1.9567976338852948,0.05161056067221546,4.286272444663392
"['I-1044', 'I-1012', 'I-1016', 'I-1041']",['I-1045'],0.1154127100073046,0.44485025566106645,0.10043827611395179,0.870253164556962,1.9562833863357652,0.04909690256066581,4.278715102709828
"['I-1043', 'I-1012', 'I-1045', 'I-1041']",['I-1044'],0.11504747991234478,0.44448502556610664,0.10007304601899196,0.8698412698412697,1.9569641715903012,0.04893616396883725,4.267980901138446
"['I-1044', 'I-1043', 'I-1006', 'I-1041']",['I-1045'],0.11760409057706354,0.44485025566106645,0.10226442658875091,0.8695652173913044,1.9547369172556581,0.04994821682875698,4.256148039931826
"['I-1016', 'I-1042', 'I-1045', 'I-1041']",['I-1044'],0.11723886048210373,0.44448502556610664,0.10189919649379109,0.8691588785046729,1.955428931261951,0.049788278595062005,4.245721590316185
"['I-1045', 'I-1042', 'I-1010', 'I-1043']",['I-1044'],0.1168736303871439,0.44448502556610664,0.10153396639883126,0.8687499999999999,1.954509038619556,0.049585387808197906,4.2324950433058515
"['I-1016', 'I-1043', 'I-1045', 'I-1041']",['I-1044'],0.11943024105186267,0.44448502556610664,0.10372534696859022,0.8685015290519879,1.9539500300282193,0.05064039322128676,4.224497596276355
"['I-1013', 'I-1016', 'I-1045', 'I-1007']",['I-1044'],0.11943024105186267,0.44448502556610664,0.10372534696859022,0.8685015290519879,1.9539500300282193,0.05064039322128676,4.224497596276355
"['I-1006', 'I-1010', 'I-1012', 'I-1045']",['I-1016'],0.11650840029218408,0.40175310445580714,0.10116873630387144,0.8683385579937304,2.1613736107153034,0.054361124791306614,4.543827611395178
"['I-1013', 'I-1044', 'I-1016', 'I-1041']",['I-1045'],0.11650840029218408,0.44485025566106645,0.10116873630387144,0.8683385579937304,1.9519794513849211,0.04933994464723148,4.2164944867647565
"['I-1043', 'I-1010', 'I-1045', 'I-1041']",['I-1044'],0.11614317019722425,0.44448502556610664,0.10080350620891161,0.8679245283018867,1.9526518968698159,0.049179606234469715,4.206041949285191
"['I-1006', 'I-1044', 'I-1042', 'I-1043']",['I-1045'],0.11869978086194302,0.44485025566106645,0.10299488677867057,0.8676923076923078,1.9505267146646459,0.050191258915322653,4.195899230468686
"['I-1013', 'I-1012', 'I-1045', 'I-1041']",['I-1044'],0.11760409057706354,0.44448502556610664,0.10189919649379109,0.8664596273291926,1.9493561706058582,0.04962593928696628,4.159902831807296
"['I-1044', 'I-1042', 'I-1016', 'I-1041']",['I-1045'],0.11760409057706354,0.44485025566106645,0.10189919649379109,0.8664596273291926,1.947755713979745,0.04958298673379716,4.157167852956666
"['I-1042', 'I-1043', 'I-1045', 'I-1041']",['I-1044'],0.12819576333089847,0.44448502556610664,0.1110299488677867,0.8660968660968661,1.9485400323526865,0.054048851726185745,4.148633106942481
"['I-1044', 'I-1042', 'I-1012', 'I-1043']",['I-1045'],0.11723886048210373,0.44485025566106645,0.10153396639883126,0.8660436137071651,1.9468205372169278,0.04938022933995532,4.144257393785991
"['I-1006', 'I-1044', 'I-1012', 'I-1016']",['I-1013'],0.11943024105186267,0.40540540540540543,0.10336011687363039,0.8654434250764527,2.1347604485219165,0.05494245158233471,4.41891891891892
"['I-1013', 'I-1010', 'I-1045', 'I-1006']",['I-1016'],0.11614317019722425,0.40175310445580714,0.10043827611395179,0.8647798742138364,2.15251572327044,0.05377739692587776,4.424244483326819
"['I-1016', 'I-1010', 'I-1045', 'I-1007']",['I-1012'],0.11869978086194302,0.42111029948867784,0.10262965668371074,0.8646153846153847,2.0531803322436457,0.05264395641569748,4.2758898333222675
"['I-1013', 'I-1043', 'I-1045', 'I-1007']",['I-1044'],0.11869978086194302,0.44448502556610664,0.10262965668371074,0.8646153846153847,1.945207003349978,0.04986938155259874,4.103235606613987
"['I-1013', 'I-1044', 'I-1006', 'I-1041']",['I-1045'],0.11577794010226443,0.44485025566106645,0.10007304601899196,0.8643533123028391,1.943020828477154,0.04856919976458799,4.092615557103299
"['I-1044', 'I-1012', 'I-1016', 'I-1007']",['I-1045'],0.12271731190650109,0.44485025566106645,0.10591672753834916,0.8630952380952381,1.9401927437641726,0.051325899962703314,4.05500682821482
"['I-1016', 'I-1006', 'I-1045', 'I-1007']",['I-1044'],0.1168736303871439,0.44448502556610664,0.10080350620891161,0.8624999999999999,1.9404478225143795,0.048854927618278254,4.040108904973768
"['I-1013', 'I-1016', 'I-1045', 'I-1007']",['I-1012'],0.11943024105186267,0.42111029948867784,0.10299488677867057,0.8623853211009175,2.0478846566993165,0.05270158220131569,4.206598490382276
"['I-1006', 'I-1044', 'I-1012', 'I-1016']",['I-1045'],0.11943024105186267,0.44485025566106645,0.10299488677867057,0.8623853211009175,1.9385968876636388,0.04986631351308666,4.034088142196252
"['I-1013', 'I-1016', 'I-1006', 'I-1045']",['I-1044'],0.12198685171658144,0.44448502556610664,0.10518626734842951,0.8622754491017964,1.9399426291213793,0.050964938444455946,4.033521770889575
"['I-1016', 'I-1042', 'I-1006', 'I-1045']",['I-1044'],0.11650840029218408,0.44448502556610664,0.10043827611395179,0.8620689655172413,1.9394780834726433,0.048652036831414155,4.027483564645726
"['I-1044', 'I-1042', 'I-1006', 'I-1016']",['I-1045'],0.11650840029218408,0.44485025566106645,0.10043827611395179,0.8620689655172413,1.9378857369344884,0.04860948445731183,4.024835646457266
"['I-1013', 'I-1044', 'I-1043', 'I-1007']",['I-1045'],0.11906501095690285,0.44485025566106645,0.10262965668371074,0.8619631901840491,1.9376479595434537,0.049663556119244834,4.021751481210941
"['I-1013', 'I-1044', 'I-1042', 'I-1043']",['I-1045'],0.11906501095690285,0.44485025566106645,0.10262965668371074,0.8619631901840491,1.9376479595434537,0.049663556119244834,4.021751481210941
"['I-1044', 'I-1042', 'I-1043', 'I-1016']",['I-1045'],0.12162162162162163,0.44485025566106645,0.10482103725346968,0.8618618618618618,1.937420178799489,0.05071762778117781,4.0188014101057545
"['I-1044', 'I-1043', 'I-1006', 'I-1016']",['I-1045'],0.11796932067202337,0.44485025566106645,0.10153396639883126,0.8606811145510836,1.9347659208874115,0.04905528393771934,3.9847414982550133
"['I-1016', 'I-1043', 'I-1006', 'I-1045']",['I-1044'],0.11796932067202337,0.44448502556610664,0.10153396639883126,0.8606811145510836,1.936355703895536,0.049098369883910725,3.9873630387143923
"['I-1013', 'I-1044', 'I-1012', 'I-1006']",['I-1016'],0.12016070124178233,0.40175310445580714,0.10336011687363039,0.8601823708206687,2.141072119369992,0.05508518211615758,4.278765839870424
"['I-1013', 'I-1007', 'I-1012', 'I-1006']",['I-1016'],0.1168736303871439,0.40175310445580714,0.10043827611395179,0.8593749999999999,2.1390624999999996,0.053483932276896164,4.2542001460920345
"['I-1016', 'I-1043', 'I-1045', 'I-1007']",['I-1044'],0.11650840029218408,0.44448502556610664,0.10007304601899196,0.8589341692789968,1.932425435896379,0.04828680673645433,3.9379839298758204
"['I-1016', 'I-1006', 'I-1045', 'I-1041']",['I-1044'],0.11650840029218408,0.44448502556610664,0.10007304601899196,0.8589341692789968,1.932425435896379,0.04828680673645433,3.9379839298758204
"['I-1013', 'I-1044', 'I-1043', 'I-1006']",['I-1045'],0.11869978086194302,0.44485025566106645,0.10189919649379109,0.8584615384615385,1.9297764304660858,0.049095568630443176,3.9222536284815965
"['I-1013', 'I-1044', 'I-1012', 'I-1007']",['I-1016'],0.12089116143170198,0.40175310445580714,0.10372534696859022,0.8580060422960726,2.135655039824224,0.05515694756213581,4.2131855835133605
"['I-1013', 'I-1044', 'I-1012', 'I-1007']",['I-1045'],0.12089116143170198,0.44485025566106645,0.10372534696859022,0.8580060422960726,1.9287524990202356,0.049946882898534335,3.909671603748661
"['I-1013', 'I-1043', 'I-1012', 'I-1045']",['I-1044'],0.12308254200146092,0.44448502556610664,0.10555149744338933,0.857566765578635,1.9293490584669701,0.050843150615128584,3.9001780496712923
