movie_id,item_id,inv_exist,cluster_kmeans
tt1298650,.,0,5
tt2395427,I-1048,1,22
tt4154756,I-1097,1,22
tt0449088,I-1007,1,5
tt0974015,I-1092,1,5
tt2379713,I-1062,1,5
tt3778644,I-1099,1,5
tt0401729,.,0,9
tt2975590,I-1070,1,22
tt0398286,.,0,2
tt0413300,I-1005,1,5
tt3498820,I-1071,1,22
tt0417741,I-1018,1,2
tt1170358,I-1040,1,2
tt2310332,I-1044,1,5
tt4630562,I-1084,1,5
tt0499549,I-1021,1,22
tt0348150,.,0,5
tt1345836,I-1031,1,22
tt1790809,.,0,9
tt0830515,.,0,5
tt0848228,.,0,22
tt0383574,I-1004,1,22
tt0770828,I-1034,1,5
tt0499448,.,0,9
tt1210819,.,0,9
tt0948470,I-1030,1,5
tt1440129,.,0,18
tt3371366,.,0,9
tt0369610,I-1053,1,22
tt1409024,.,0,9
tt1055369,I-1017,1,5
tt2109248,.,0,5
tt0376994,.,0,5
tt0955308,.,0,9
tt0360717,.,0,5
tt0385752,.,0,9
tt1825683,I-1095,1,22
tt0120338,.,0,22
tt3606756,I-1100,1,22
tt3748528,.,0,22
tt2277860,I-1073,1,5
tt0435761,I-1023,1,2
tt1300854,.,0,22
tt3896198,I-1085,1,22
tt0316654,.,0,5
tt1014759,.,0,5
tt1074638,I-1032,1,2
tt0903624,I-1033,1,2
tt1453405,I-1035,1,5
tt1623205,.,0,5
tt1877832,.,0,2
tt1872181,.,0,5
tt1216475,.,0,9
tt1104001,.,0,9
tt1190080,.,0,9
tt4123430,.,0,9
tt0438488,.,0,9
tt1133985,.,0,9
tt1399103,I-1028,1,5
tt2345759,.,0,18
tt1351685,.,0,18
tt2820852,.,0,5
tt1408101,.,0,2
tt0816711,.,0,9
tt1343092,.,0,9
tt1663662,.,0,9
tt1979388,I-1065,1,18
tt0371746,I-1011,1,2
tt0468569,I-1013,1,22
tt0367882,I-1012,1,5
tt1217209,.,0,9
tt3731562,.,0,9
tt2660888,I-1075,1,9
tt1856101,.,0,2
tt3501632,I-1091,1,2
tt1587310,.,0,9
tt3183660,.,0,5
tt0910970,.,0,2
tt0293564,.,0,9
tt0918940,.,0,18
tt0970179,.,0,8
tt2239822,.,0,18
tt1617661,.,0,18
tt4912910,I-1103,1,2
tt3385516,I-1072,1,9
tt4779682,.,0,9
tt1631867,.,0,21
tt3040964,.,0,5
tt2096673,I-1054,1,2
tt2250912,I-1088,1,5
tt1386697,I-1077,1,5
tt1049413,I-1015,1,2
tt2380307,I-1093,1,2
tt5848272,I-1105,1,9
tt0892782,.,0,9
tt3606752,.,0,9
tt1046173,.,0,9
tt0120891,.,0,9
tt0859163,.,0,9
tt0413099,.,0,19
tt0114898,.,0,9
tt1972591,.,0,18
tt1335975,.,0,18
tt4881806,I-1101,1,5
tt2015381,I-1042,1,2
tt1228705,I-1022,1,5
tt1843866,I-1041,1,2
tt2103281,.,0,2
tt0338348,.,0,9
tt1735898,.,0,9
tt0181852,.,0,9
tt0338526,.,0,9
tt1964418,.,0,18
tt2567026,.,0,18
tt0892791,.,0,9
tt1211837,I-1078,1,2
tt2245084,.,0,2
tt0892769,.,0,2
tt1772341,.,0,2
tt0816692,.,0,2
tt1628841,.,0,18
tt2771200,.,0,5
tt1477834,I-1106,1,5
tt0413267,I-1006,1,5
tt1375666,I-1026,1,2
tt1951266,I-1064,1,5
tt0831387,.,0,5
tt1270798,.,0,2
tt0421715,.,0,2
tt0963966,.,0,18
tt0409182,.,0,18
tt0803096,.,0,18
tt1860357,.,0,18
tt1340138,.,0,18
tt2557478,.,0,18
tt0346491,.,0,6
tt3450958,.,0,9
tt0213149,.,0,5
tt0418279,I-1008,1,5
tt0451279,I-1086,1,5
tt2294629,I-1039,1,2
tt2948356,I-1069,1,2
tt0373889,I-1009,1,2
tt0330373,I-1002,1,2
tt0234215,.,0,5
tt0480249,I-1010,1,5
tt3521164,I-1080,1,2
tt0448157,.,0,9
tt0372784,.,0,2
tt0367594,.,0,9
tt0382932,.,0,2
tt1981115,.,0,9
tt2381249,I-1058,1,9
tt5013056,I-1089,1,2
tt0800369,.,0,9
tt0479952,.,0,9
tt0458525,.,0,9
tt1078912,.,0,9
tt1302011,.,0,9
tt1392190,I-1049,1,8
tt0242653,.,0,9
tt1677720,.,0,2
tt0371606,.,0,19
tt0317919,.,0,9
tt0808151,.,0,9
tt0332452,.,0,9
tt0938283,.,0,18
tt0389790,.,0,9
tt0436339,.,0,19
tt0397892,.,0,18
tt1646987,.,0,18
tt0442933,.,0,18
tt1077368,.,0,18
tt2334879,.,0,18
tt0780653,.,0,18
tt2034800,.,0,18
tt3332064,.,0,18
tt1305591,.,0,18
tt0424095,.,0,18
tt1277953,.,0,9
tt1229238,.,0,9
tt1646971,.,0,2
tt0120855,.,0,9
tt0864835,.,0,18
tt1446192,.,0,18
tt0318649,.,0,18
tt1289401,.,0,9
tt0246460,.,0,9
tt0796366,I-1014,1,2
tt0120591,.,0,9
tt0458339,.,0,9
tt2267968,.,0,9
tt0122151,.,0,9
tt1583421,.,0,9
tt0325710,.,0,21
tt0369441,.,0,19
tt1528100,.,0,18
tt3691740,.,0,18
tt2404233,.,0,18
tt0145487,.,0,5
tt0409459,.,0,2
tt0382992,.,0,18
tt0800080,.,0,9
tt0286716,.,0,9
tt0173840,.,0,6
tt1673434,.,0,5
tt0481499,.,0,9
tt1663202,I-1067,1,8
tt0143145,.,0,9
tt1192628,.,0,9
tt0311113,.,0,9
tt1860353,.,0,18
tt3949660,.,0,18
tt1402488,.,0,18
tt0430357,.,0,18
tt5523010,.,0,18
tt0407304,.,0,5
tt1911658,.,0,18
tt1951264,I-1038,1,22
tt0304141,.,0,2
tt0440963,.,0,2
tt5095030,I-1102,1,9
tt0441773,.,0,2
tt0478970,I-1056,1,9
tt2224026,.,0,18
tt5028340,.,0,18
tt0448694,.,0,9
tt1001526,.,0,9
tt0172156,.,0,9
tt2357291,.,0,18
tt0944835,.,0,9
tt1959490,.,0,9
tt0983193,.,0,18
tt1815862,.,0,18
tt0455824,.,0,18
tt0790736,.,0,18
tt1324999,.,0,5
tt0130623,.,0,9
tt3315342,.,0,2
tt2692250,.,0,19
tt1951265,I-1043,1,5
tt0241527,.,0,2
tt0382625,.,0,5
tt1596343,.,0,9
tt1291150,.,0,9
tt1515091,.,0,21
tt0319262,.,0,9
tt3874544,.,0,9
tt0800320,.,0,9
tt1679335,I-1079,1,18
tt0120685,.,0,9
tt1446714,.,0,9
tt1194173,.,0,18
tt0118688,.,0,9
tt5758778,.,0,18
tt1386703,.,0,18
tt2094766,.,0,18
tt3095734,.,0,7
tt0120657,.,0,6
tt0170016,.,0,9
