customer_id,gender,state,age,age_group,married,kids_under12,register_year,drop_flag,drop_year,last_down_date,down_flag
C5001,F,NC,51,50s,M,N,2014,Y,2015,12-23-2014,1
C5002,M,CA,23,20s,S,N,2014,N,.,10-25-2016,1
C5003,F,TX,39,30s,M,N,2014,N,.,12-21-2018,1
C5004,F,TX,69,60s+,M,N,2014,N,.,12-30-2014,1
C5005,F,SC,60,60s+,M,N,2014,N,.,12-09-2018,1
C5006,F,CA,76,60s+,S,N,2014,N,.,12-12-2015,1
C5007,F,FL,69,60s+,M,N,2014,N,.,12-30-2016,1
C5008,M,GA,39,30s,M,Y,2014,N,.,12-26-2015,1
C5009,M,VA,30,30s,M,Y,2014,Y,2015,11-22-2014,1
C5010,M,TN,32,30s,M,N,2014,N,.,12-27-2014,1
C5011,F,MI,56,50s,S,N,2014,N,.,12-28-2016,1
C5012,F,NV,34,30s,M,Y,2014,N,.,12-22-2017,1
C5013,F,LA,47,40s,M,Y,2014,N,.,12-22-2014,1
C5014,M,TX,44,40s,M,Y,2014,N,.,12-23-2016,1
C5015,M,CT,30,30s,S,N,2014,N,.,12-29-2015,1
C5016,M,TN,42,40s,M,Y,2014,N,.,12-28-2015,1
C5017,F,WV,75,60s+,M,N,2014,N,.,12-28-2018,1
C5018,F,TN,23,20s,S,N,2014,Y,2015,04-05-2014,1
C5019,F,TN,67,60s+,S,N,2014,N,.,12-31-2017,1
C5020,M,PA,36,30s,S,N,2014,N,.,12-31-2016,1
C5021,M,CA,34,30s,M,Y,2014,N,.,12-09-2016,1
C5022,M,TN,53,50s,M,Y,2014,N,.,12-08-2017,1
C5023,F,NV,19,10s,S,N,2014,Y,2015,02-22-2014,1
C5024,F,TX,42,40s,M,Y,2014,N,.,12-29-2018,1
C5025,M,NY,20,20s,S,N,2014,N,.,12-28-2018,1
C5026,M,IA,61,60s+,S,N,2014,N,.,11-15-2017,1
C5027,F,NC,59,50s,M,N,2014,N,.,12-09-2016,1
C5028,M,CA,35,30s,M,Y,2014,N,.,12-21-2016,1
C5029,F,OH,64,60s+,M,N,2014,N,.,12-28-2014,1
C5030,F,LA,58,50s,M,N,2014,Y,2015,10-12-2014,1
C5031,F,SC,22,20s,M,Y,2014,N,.,12-30-2017,1
C5032,M,CA,30,30s,S,Y,2014,N,.,12-13-2016,1
C5033,M,NJ,55,50s,M,N,2014,N,.,12-13-2015,1
C5034,M,FL,30,30s,M,Y,2014,N,.,12-25-2015,1
C5035,F,TX,46,40s,M,Y,2014,N,.,12-26-2017,1
C5036,M,MI,35,30s,M,N,2014,N,.,11-24-2016,1
C5037,M,AL,42,40s,M,Y,2014,N,.,12-30-2017,1
C5038,F,VA,40,40s,S,N,2014,N,.,12-30-2017,1
C5039,M,NC,39,30s,M,Y,2014,Y,2015,12-12-2014,1
