customer_id,gender,state,age,age_group,married,kids_under12,register_year,drop_flag,drop_year,last_down_date,down_flag,customer_sales
C5001,F,NC,51,50s,M,N,2014,Y,2015,12-23-2014,1,10.997323739842438
C5002,M,CA,23,20s,S,N,2014,N,.,10-25-2016,1,23.661645122771986
C5003,F,TX,39,30s,M,N,2014,N,.,12-21-2018,1,48.82168057044957
C5004,F,TX,69,60s+,M,N,2014,N,.,12-30-2014,1,38.82268563432438
C5005,F,SC,60,60s+,M,N,2014,N,.,12-09-2018,1,36.84197697319961
C5006,F,CA,76,60s+,S,N,2014,N,.,12-12-2015,1,48.837482299430775
C5007,F,FL,69,60s+,M,N,2014,N,.,12-30-2016,1,48.076937398386775
C5008,M,GA,39,30s,M,Y,2014,N,.,12-26-2015,1,40.74933685713398
C5009,M,VA,30,30s,M,Y,2014,Y,2015,11-22-2014,1,3.365991005977599
C5010,M,TN,32,30s,M,N,2014,N,.,12-27-2014,1,27.221373891803985
C5011,F,MI,56,50s,S,N,2014,N,.,12-28-2016,1,41.96358014059158
C5012,F,NV,34,30s,M,Y,2014,N,.,12-22-2017,1,35.22876527064999
C5013,F,LA,47,40s,M,Y,2014,N,.,12-22-2014,1,40.77977296112802
C5014,M,TX,44,40s,M,Y,2014,N,.,12-23-2016,1,41.573025956088635
C5015,M,CT,30,30s,S,N,2014,N,.,12-29-2015,1,30.504906639703986
C5016,M,TN,42,40s,M,Y,2014,N,.,12-28-2015,1,41.37940462743759
C5017,F,WV,75,60s+,M,N,2014,N,.,12-28-2018,1,39.20518082638802
C5018,F,TN,23,20s,S,N,2014,Y,2015,04-05-2014,1,0.9466849704311996
C5019,F,TN,67,60s+,S,N,2014,N,.,12-31-2017,1,40.06402556300359
C5020,M,PA,36,30s,S,N,2014,N,.,12-31-2016,1,40.796827051370855
C5021,M,CA,34,30s,M,Y,2014,N,.,12-09-2016,1,34.33120434915038
C5022,M,TN,53,50s,M,Y,2014,N,.,12-08-2017,1,43.29619619013678
C5023,F,NV,19,10s,S,N,2014,Y,2015,02-22-2014,1,0.9466849704311996
C5024,F,TX,42,40s,M,Y,2014,N,.,12-29-2018,1,38.36654801165719
C5025,M,NY,20,20s,S,N,2014,N,.,12-28-2018,1,25.15264782978999
C5026,M,IA,61,60s+,S,N,2014,N,.,11-15-2017,1,34.99125098856903
C5027,F,NC,59,50s,M,N,2014,N,.,12-09-2016,1,36.794215588517986
C5028,M,CA,35,30s,M,Y,2014,N,.,12-21-2016,1,48.78675827814079
C5029,F,OH,64,60s+,M,N,2014,N,.,12-28-2014,1,39.21145873436399
C5030,F,LA,58,50s,M,N,2014,Y,2015,10-12-2014,1,6.206045917271197
C5031,F,SC,22,20s,M,Y,2014,N,.,12-30-2017,1,36.03315968199999
C5032,M,CA,30,30s,S,Y,2014,N,.,12-13-2016,1,24.90121865064158
C5033,M,NJ,55,50s,M,N,2014,N,.,12-13-2015,1,36.912233684736634
C5034,M,FL,30,30s,M,Y,2014,N,.,12-25-2015,1,31.97771106675878
C5035,F,TX,46,40s,M,Y,2014,N,.,12-26-2017,1,36.811450155010384
C5036,M,MI,35,30s,M,N,2014,N,.,11-24-2016,1,36.15918788138319
C5037,M,AL,42,40s,M,Y,2014,N,.,12-30-2017,1,42.34892933198638
C5038,F,VA,40,40s,S,N,2014,N,.,12-30-2017,1,40.085553653374376
C5039,M,NC,39,30s,M,Y,2014,Y,2015,12-12-2014,1,10.097973017932796
C5040,M,CA,69,60s+,M,N,2014,N,.,12-26-2017,1,38.71350961108807
C5041,F,GA,64,60s+,M,N,2014,N,.,12-29-2016,1,42.696823709359826
C5042,F,IL,64,60s+,M,N,2014,N,.,12-27-2016,1,42.063598137932786
C5043,M,DC,70,60s+,M,N,2014,N,.,12-27-2014,1,39.50621818361439
C5044,F,SC,57,50s,M,N,2014,Y,2015,.,0,.
C5045,M,VA,31,30s,M,Y,2014,N,.,11-25-2017,1,46.845281301803965
C5046,M,CA,74,60s+,S,N,2014,N,.,12-31-2014,1,36.571347118846
C5047,M,MI,46,40s,M,N,2014,N,.,12-21-2014,1,36.01729918496839
C5048,M,VA,68,60s+,M,N,2014,N,.,12-30-2016,1,35.82537712988199
C5049,M,LA,18,10s,M,Y,2014,N,.,12-16-2014,1,33.89254977373463
C5050,M,MA,56,50s,M,N,2014,N,.,12-28-2014,1,35.80871851559983
C5051,F,NC,25,20s,S,N,2014,Y,2015,08-29-2014,1,3.134579124316639
C5052,M,FL,64,60s+,S,N,2014,N,.,12-08-2018,1,40.95489157703166
C5053,M,NC,75,60s+,M,N,2014,N,.,12-19-2014,1,41.59856943999959
C5054,F,IL,18,10s,M,N,2014,N,.,12-17-2015,1,29.749237862267993
C5055,F,NV,24,20s,M,Y,2014,N,.,12-05-2018,1,31.855681530999988
C5056,F,TX,31,30s,M,Y,2014,N,.,12-27-2017,1,31.17234004029919
C5057,F,TN,41,40s,M,N,2014,N,.,12-28-2014,1,39.642480738670265
C5058,M,CA,26,20s,M,Y,2014,N,.,11-19-2015,1,28.314444167789986
C5059,F,NC,72,60s+,S,N,2014,N,.,12-30-2014,1,42.8467271093607
C5060,F,AR,36,30s,S,N,2014,N,.,12-05-2014,1,34.924728883785185
C5061,M,GA,32,30s,M,Y,2014,N,.,12-28-2016,1,32.95869604249039
C5062,F,SC,44,40s,M,Y,2014,N,.,12-25-2015,1,42.45627848573742
C5063,M,TX,74,60s+,S,N,2014,Y,2015,08-01-2014,1,6.206045917271197
C5064,F,VA,57,50s,M,N,2014,N,.,12-11-2015,1,36.787604712241624
C5065,M,NC,47,40s,M,Y,2014,N,.,12-05-2014,1,39.922899023193224
C5066,F,CA,58,50s,S,N,2014,N,.,12-12-2015,1,33.24905415989879
C5067,M,WV,70,60s+,S,N,2014,N,.,12-30-2016,1,41.398707592172784
C5068,F,TN,40,40s,M,Y,2014,N,.,12-15-2014,1,34.37773310358719
C5069,F,SC,21,20s,M,Y,2014,N,.,12-29-2017,1,41.57027474399999
C5070,F,NY,41,40s,M,Y,2014,N,.,12-12-2018,1,37.468620889529824
C5071,M,NC,27,20s,S,N,2014,N,.,12-02-2016,1,24.64714716440399
C5072,M,MD,62,60s+,S,N,2014,N,.,12-26-2015,1,37.072840432488384
C5073,F,TX,36,30s,M,N,2014,N,.,12-24-2017,1,41.99919498773082
C5074,M,NV,33,30s,M,Y,2014,Y,2015,05-21-2014,1,0.9466849704311996
C5075,F,WV,33,30s,S,Y,2014,N,.,12-07-2015,1,31.886814325812384
C5076,F,NV,33,30s,M,Y,2014,N,.,12-29-2016,1,38.56883398233119
C5077,M,NC,29,20s,S,N,2014,N,.,12-29-2017,1,34.48336404878102
C5078,F,PA,60,60s+,M,N,2014,N,.,12-20-2015,1,42.286958642038414
C5079,M,OR,22,20s,S,N,2014,N,.,12-29-2017,1,36.624046430419185
C5080,M,TX,51,50s,M,Y,2014,N,.,12-16-2018,1,41.96106590136358
C5081,F,VA,36,30s,M,Y,2014,Y,2015,12-17-2014,1,7.7628167575358376
C5082,M,CA,21,20s,S,N,2014,N,.,12-06-2016,1,32.33873625514079
C5083,M,NC,70,60s+,M,N,2014,N,.,12-03-2016,1,42.33009968628543
C5084,F,TX,20,20s,S,Y,2014,N,.,12-16-2016,1,29.866043220580387
C5085,F,NY,26,20s,S,N,2014,N,.,12-31-2014,1,30.42019331217199
C5086,M,NC,48,40s,M,Y,2014,Y,2015,10-18-2014,1,9.035582106671118
C5087,F,IN,76,60s+,M,N,2014,N,.,12-24-2014,1,47.06348821471021
C5088,F,FL,21,20s,M,Y,2014,N,.,12-31-2015,1,26.420302382811194
C5089,M,CT,59,50s,M,N,2014,N,.,12-29-2015,1,37.342292334013585
C5090,F,TX,19,10s,M,Y,2014,N,.,12-26-2016,1,32.93692265063119
C5091,F,NC,45,40s,M,Y,2014,N,.,12-29-2015,1,44.43801087627639
C5092,F,MD,66,60s+,S,N,2014,N,.,12-29-2017,1,42.46912881332398
C5093,M,MA,36,30s,M,Y,2014,Y,2015,09-21-2014,1,5.311954556308398
C5094,M,CA,42,40s,M,Y,2014,N,.,12-23-2016,1,42.40776445585662
C5095,M,MD,59,50s,M,N,2014,N,.,12-09-2016,1,43.92576556887822
C5096,F,NC,65,60s+,S,N,2014,N,.,12-22-2016,1,49.041652995910816
C5097,M,SC,22,20s,S,N,2014,N,.,12-18-2017,1,24.669064942999995
C5098,M,VA,58,50s,M,N,2014,N,.,12-24-2016,1,46.50924576576222
C5099,M,NC,36,30s,M,N,2014,Y,2015,11-16-2014,1,7.152730887702397
C5100,M,NC,27,20s,M,Y,2014,N,.,11-17-2017,1,21.191278844068393
C5101,F,MA,54,50s,M,Y,2014,N,.,12-23-2016,1,41.48645279979558
C5102,F,TX,47,40s,M,N,2014,N,.,12-25-2016,1,40.17847293941283
C5103,M,VA,42,40s,M,Y,2014,N,.,12-27-2014,1,51.07663560251638
C5104,F,NC,24,20s,M,Y,2014,N,.,10-31-2015,1,22.02176987634959
C5105,M,NV,20,20s,S,N,2014,N,.,12-06-2017,1,26.950107604999992
C5106,M,NC,57,50s,S,N,2014,N,.,12-28-2014,1,35.8439441855424
C5107,M,CA,35,30s,S,N,2014,N,.,12-29-2017,1,36.84221487379744
C5108,F,AR,44,40s,M,Y,2014,N,.,12-22-2017,1,38.28757726875922
C5109,M,CA,55,50s,M,N,2014,N,.,12-08-2018,1,39.33033033698998
C5110,M,NV,44,40s,M,N,2014,Y,2015,.,0,.
C5111,F,VA,34,30s,M,Y,2014,N,.,12-13-2015,1,30.00510856417199
C5112,F,FL,66,60s+,M,N,2014,N,.,12-08-2017,1,39.56966645180319
C5113,F,NC,39,30s,M,N,2014,N,.,12-23-2018,1,41.57157504277838
C5114,F,TX,40,40s,M,Y,2014,N,.,11-22-2018,1,38.86527560620959
C5115,M,MD,63,60s+,M,N,2014,Y,2015,08-10-2014,1,3.944520710129998
C5116,M,VA,59,50s,M,N,2014,N,.,11-07-2015,1,31.024786010051827
C5117,F,CA,19,10s,S,N,2014,N,.,12-29-2018,1,30.301858361599187
C5118,F,SC,22,20s,M,Y,2014,N,.,12-17-2018,1,40.618857561269984
C5119,M,CA,47,40s,M,N,2014,N,.,12-23-2018,1,36.940657571836226
C5120,F,NY,85,60s+,S,N,2014,N,.,12-30-2017,1,39.25129113293439
C5121,F,AR,58,50s,S,N,2014,N,.,11-20-2015,1,34.34666260081198
C5122,M,FL,42,40s,M,Y,2014,N,.,12-14-2018,1,40.002665750634385
C5123,M,NC,40,40s,M,Y,2014,N,.,12-27-2014,1,42.10241740183863
C5124,F,NC,29,20s,M,Y,2014,N,.,12-11-2016,1,29.385825527131193
C5125,M,NC,58,50s,M,N,2014,Y,2015,10-22-2014,1,6.868725396573038
C5126,F,LA,48,40s,S,N,2014,N,.,12-17-2017,1,36.17171715742319
C5127,M,NY,19,10s,S,N,2014,N,.,12-11-2015,1,27.9376994751084
