customer_id,gender,state,age,age_group,married,kids_under12,register_year,drop_flag,drop_year,last_down_date,down_flag,customer_sales,download_cnt,duration,expiration,first_down_date,activation_day
C5001,F,NC,51,50s,M,N,2014,Y,2015,2014-12-23 00:00:00,1,10.997323739842438,11.0,1.0,2015-12-23 00:00:00,2014-01-10,712
C5002,M,CA,23,20s,S,N,2014,N,.,2016-10-25 00:00:00,1,23.661645122771986,23.0,4.0,2017-10-25 00:00:00,2014-02-26,1337
C5003,F,TX,39,30s,M,N,2014,N,.,2018-12-21 00:00:00,1,48.82168057044957,50.0,4.0,2018-12-31 00:00:00,2014-01-19,1807
C5004,F,TX,69,60s+,M,N,2014,N,.,2014-12-30 00:00:00,1,38.82268563432438,40.0,4.0,2015-12-30 00:00:00,2014-02-28,670
C5005,F,SC,60,60s+,M,N,2014,N,.,2018-12-09 00:00:00,1,36.84197697319961,38.0,4.0,2018-12-31 00:00:00,2014-11-24,1498
C5006,F,CA,76,60s+,S,N,2014,N,.,2015-12-12 00:00:00,1,48.837482299430775,50.0,4.0,2016-12-12 00:00:00,2014-04-01,986
C5007,F,FL,69,60s+,M,N,2014,N,.,2016-12-30 00:00:00,1,48.076937398386775,50.0,4.0,2017-12-30 00:00:00,2014-02-02,1427
C5008,M,GA,39,30s,M,Y,2014,N,.,2015-12-26 00:00:00,1,40.74933685713398,42.0,4.0,2016-12-26 00:00:00,2014-01-15,1076
C5009,M,VA,30,30s,M,Y,2014,Y,2015,2014-11-22 00:00:00,1,3.365991005977599,3.0,1.0,2015-11-22 00:00:00,2014-01-19,672
C5010,M,TN,32,30s,M,N,2014,N,.,2014-12-27 00:00:00,1,27.221373891803985,27.0,4.0,2015-12-27 00:00:00,2014-08-09,505
C5011,F,MI,56,50s,S,N,2014,N,.,2016-12-28 00:00:00,1,41.96358014059158,44.0,4.0,2017-12-28 00:00:00,2014-02-03,1424
C5012,F,NV,34,30s,M,Y,2014,N,.,2017-12-22 00:00:00,1,35.22876527064999,36.0,4.0,2018-12-22 00:00:00,2015-02-13,1408
C5013,F,LA,47,40s,M,Y,2014,N,.,2014-12-22 00:00:00,1,40.77977296112802,41.0,4.0,2015-12-22 00:00:00,2014-01-12,709
C5014,M,TX,44,40s,M,Y,2014,N,.,2016-12-23 00:00:00,1,41.573025956088635,43.0,4.0,2017-12-23 00:00:00,2014-01-24,1429
C5015,M,CT,30,30s,S,N,2014,N,.,2015-12-29 00:00:00,1,30.504906639703986,30.0,4.0,2016-12-29 00:00:00,2014-05-17,957
C5016,M,TN,42,40s,M,Y,2014,N,.,2015-12-28 00:00:00,1,41.37940462743759,43.0,4.0,2016-12-28 00:00:00,2014-01-30,1063
C5017,F,WV,75,60s+,M,N,2014,N,.,2018-12-28 00:00:00,1,39.20518082638802,40.0,4.0,2018-12-31 00:00:00,2014-03-31,1736
C5018,F,TN,23,20s,S,N,2014,Y,2015,2014-04-05 00:00:00,1,0.9466849704311996,1.0,1.0,2015-04-05 00:00:00,2014-04-05,365
