movie_id,title,release_year,release_date,runtime,mpa_rating,imdb_score,dvd_sales,blu_sales,total_sales,legs,share,inf_income_usa,theater_opening,theater_total,src,awards,poster,metascore,release_dvd,big_awards_num,awards_win_num,awards_nomin_num,reviews_users,reviews_critics,prd_mthd,budget,series_new,income_opening,votes,income_usa,income_int,income_ww,item_id,inv_exist,contract_year,inf,genre_action,genre_adventure,genre_drama,genre_sci-fi,genre_fantasy,genre_thriller,genre_animation,genre_family,genre_musical,genre_comedy,genre_romance,genre_mystery,genre_war,genre_western,genre_history,genre_sport,genre_horror,genre_crime,genre_music,genre_biography,genre_documentary,dvd_over_income,movie_down_sales,contract_price_inf,net_profit,studio,positive_probability,english,dvd,blu,cntry_USA,actor_A,actor_B,actor_C,director_A,director_B,director_C,APPROVED,G,NC-17,NOT RATED,PASSED,PG,PG-13,R,TV-14,TV-G,TV-MA,TV-PG,TV-Y7,inf_income_int,inf_income_ww,inf_budget,inf_income_opening,studio_score,price_class,contract_price
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,40683,136,PG-13,6.6,35478573.0,58936309.0,94414882.0,2.673972705,23.0536677,276934662.0,4155,4164,based on theme park ride,3 wins & 31 nominations.,https://m.media-amazon.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_SX300.jpg,45.0,18-10-2011,0,3,34,529,467,live action,379000000.0,1,90151958.0,460865,241063875.0,804600000.0,1045663875.0,.,0,.,1.1488020011293687,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147174988,.,.,.,BUENA VISTA,0.9770141240000001,1,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,924326090.10869,1201260752.10869,435395958.4280307,103566749.7561308,6,1,650
tt2395427,Avengers: Age of Ultron,2015,42125,141,PG-13,7.3,33569045.0,55802159.0,89371204.0,2.399765811,32.71570206,496031246.0,4276,4276,based on comic/graphic novel,8 wins & 47 nominations.,https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,66.0,2/10/2015,0,8,55,1283,689,animation/live action,365000000.0,1,191271109.0,697604,459005868.0,944008095.0,1403013963.0,I-1048,1,2015.0,1.0806642803093751,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073134239,1042.255387,755.7743092999997,286.48107789999995,BUENA VISTA,0.861668587,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1020155828.5893992,1516187074.5893993,394442462.31292194,206699855.35146105,6,1,650
tt4154756,Avengers: Infinity War,2018,43217,156,PG-13,8.5,23700665.0,77736363.0,101437028.0,2.634149275,33.13946589,678815482.0,4474,4474,based on comic/graphic novel,Nominated for 1 Oscar. Another 44 wins & 70 nominations.,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg,68.0,14-08-2018,1,44,114,4191,605,animation/live action,300000000.0,1,257698183.0,748996,678815482.0,1369544272.0,2048359754.0,I-1097,1,2018.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034914738,161.0,1000.0,-839.0,BUENA VISTA,0.155046225,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1369544272.0,2048359754.0,300000000.0,257698183.0,6,10,920
tt0449088,Pirates of the Caribbean: At World's End,2007,39227,167,PG-13,7.1,314040375.0,7640482.0,321680857.0,2.69687806,32.11686373,409712211.0,4362,4362,based on theme park ride,Nominated for 2 Oscars. Another 20 wins & 44 nominations.,https://m.media-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg,50.0,4/12/2007,1,20,64,1280,327,live action,300000000.0,1,114732820.0,572118,309420425.0,654000000.0,963420425.0,I-1007,1,2014.0,1.3241278787591348,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.014930979,1019.2433990000001,767.8666982000003,251.3767009,BUENA VISTA,0.876586437,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,865979632.7084742,1275691843.7084742,397238363.62774044,151920925.57065365,6,1,650
tt0974015,Justice League,2017,43056,121,PG-13,6.4,19449630.0,40475432.0,59925062.0,2.440524623,34.91515631,232544520.0,4051,4051,based on comic/graphic novel,2 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,45.0,13-03-2018,0,2,15,1963,494,live action,300000000.0,1,93842239.0,352866,229024295.0,426920914.0,655945209.0,I-1092,1,2017.0,1.0153705308862535,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084923872,375.43,745.33,-369.9,WB,0.7421349290000001,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,433482915.0946246,666027435.0946245,304611159.26587605,95284644.03298469,6,1,650
tt2379713,Spectre,2015,42314,148,PG-13,6.8,12917812.0,24092452.0,37010264.0,2.841835638,22.74549977,216131343.0,3929,3929,based on fiction book/short story,Won 1 Oscar. Another 7 wins & 34 nominations.,https://m.media-amazon.com/images/M/MV5BOWQ1MDE1NzgtNTQ4OC00ZjliLTllZDAtN2IyOTVmMTc5YjUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,60.0,9/2/2016,1,7,41,1129,638,live action,300000000.0,1,70403148.0,365008,200074175.0,679546748.0,879620923.0,I-1062,1,2015.0,1.080256075028174,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064565114,472.1095653,755.7743092999997,-283.664744,Sony Pictures/Columbia,0.74442035,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,734084502.7926396,950215845.7926396,324076822.5084522,76053428.32810764,6,1,650
tt3778644,Solo: A Star Wars Story,2018,43245,135,PG-13,6.9,16048812.0,39496763.0,55545575.0,2.532175714,54.37282961,213767512.0,4381,4381,spin-off,Nominated for 1 Oscar. Another 4 wins & 22 nominations.,https://m.media-amazon.com/images/M/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_SX300.jpg,62.0,14-09-2018,1,4,26,2442,538,animation/live action,275000000.0,1,84420489.0,259822,213767512.0,179383835.0,393151347.0,I-1099,1,2018.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075076011,144.0,730.0,-586.0,BUENA VISTA,0.9000870590000001,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,179383835.0,393151347.0,275000000.0,84420489.0,6,1,650
tt0401729,John Carter,2012,40977,132,PG-13,6.6,24755272.0,16426306.0,41181578.0,2.4207496319999997,25.83604565,83613639.0,3749,3749,based on fiction book/short story,2 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMDEwZmIzNjYtNjUwNS00MzgzLWJiOGYtZWMxZGQ5NDcxZjUwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,51.0,5/6/2012,0,2,10,873,481,live action,263700000.0,0,30180188.0,247277,73058679.0,209719421.0,282778100.0,.,0,.,1.1444723630987086,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338840947,.,.,.,BUENA VISTA,0.9802296159999999,1,1,1,1,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,240018081.33956292,323631720.33956295,301797362.14912945,34540391.07912329,6,1,650
tt2975590,Batman v Superman: Dawn of Justice,2016,42454,151,PG-13,6.5,22477700.0,57744481.0,80222181.0,1.9900335740000001,37.81444478,347928482.0,4242,4256,based on comic/graphic novel,14 wins & 33 nominations.,https://m.media-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,44.0,19-07-2016,0,14,47,3639,804,live action,263000000.0,1,166007347.0,596317,330360194.0,543274725.0,873634919.0,I-1070,1,2016.0,1.0531791914373316,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068039977,828.377852,755.0192900000003,73.358562,WB,0.077453889,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,572165635.6038387,920094117.6038387,276986127.3480182,174835483.48611653,6,1,650
tt0398286,Tangled,2010,40506,101,PG,7.7,179787688.0,65663692.0,245451380.0,4.117983921,34.24206812,231682049.0,3603,3603,based on folk tale/legend/fairytale,Nominated for 1 Oscar. Another 10 wins & 40 nominations.,https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,71.0,29-03-2011,1,10,50,471,341,digital animation,260000000.0,0,48767052.0,381931,200821936.0,385655304.0,586477240.0,.,0,.,1.1536690344425322,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.8952592109999999,.,.,.,BUENA VISTA,0.952185631,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,444918582.1933212,676600631.1933212,299953948.9550584,56261037.79344876,6,10,920
tt0413300,Spider-Man 3,2007,39206,139,PG-13,6.2,125012364.0,825031.0,125837395.0,2.226959117,37.60702417,445609164.0,4252,4324,based on comic/graphic novel,Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.,https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,59.0,30-10-2007,1,3,35,2045,420,live action,258000000.0,1,151116516.0,476481,336530303.0,558329927.0,894860230.0,I-1005,1,2014.0,1.3241279017895753,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371474316,706.6194466,767.8666982000003,-61.24725164,Sony Pictures/Columbia,0.984927297,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,739300234.7448367,1184909398.7448368,341624998.66171044,200097595.25683078,6,1,650
tt3498820,Captain America: Civil War,2016,42496,146,PG-13,7.8,23036580.0,62014273.0,85050853.0,2.278030052,35.38453889,429785941.0,4226,4226,based on comic/graphic novel,16 wins & 68 nominations.,https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,75.0,13-09-2016,0,16,84,1385,665,live action,250000000.0,1,179139142.0,619898,408084349.0,745200000.0,1153284349.0,I-1071,1,2016.0,1.0531791823263479,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056450535,483.946034,1034.2730000000001,-550.326966,BUENA VISTA,0.338520944,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,784829126.6695944,1214615067.6695945,263294795.58158696,188665615.09420353,6,10,920
tt0417741,Harry Potter and the Half-Blood Prince,2009,40009,153,PG,7.6,148026330.0,51295876.0,199322206.0,3.881113335,32.30162864,366779769.0,4325,4455,based on fiction book/short story,Nominated for 1 Oscar. Another 8 wins & 35 nominations.,https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,78.0,8/12/2009,1,8,43,1037,395,animation/live action,250000000.0,1,77835727.0,439445,302089278.0,633124489.0,935213767.0,I-1018,1,2014.0,1.2141436181657528,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.49000855299999996,836.7209042999997,1051.8721890000004,-215.15128509999997,WB,0.932054698,1,1,1,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,768704057.8238033,1135483826.8238032,303535904.5414382,94503751.20234178,6,10,920
tt1170358,The Hobbit: The Desolation of Smaug,2013,41621,201,PG-13,7.8,43920300.0,63102667.0,107022967.0,3.5065629869999997,26.89339256,289209476.0,3903,3928,based on fiction book/short story,Nominated for 3 Oscars. Another 18 wins & 87 nominations.,https://m.media-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg,66.0,8/4/2014,1,18,105,985,533,animation/live action,250000000.0,1,73645197.0,580014,258241522.0,702000000.0,960241522.0,I-1040,1,2014.0,1.119918569872741,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17007450899999998,828.5585874,967.7224142000001,-139.1638268,Fathom,0.263583571,1,1,1,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,786182836.0506642,1075392312.0506642,279979642.46818525,82476623.70223628,4,10,880
tt2310332,The Hobbit: The Battle of the Five Armies,2014,41990,144,PG-13,7.4,29485612.0,48209740.0,77695352.0,4.661907589,26.98031154,283285507.0,3875,3875,based on fiction book/short story,Nominated for 1 Oscar. Another 7 wins & 53 nominations.,https://m.media-amazon.com/images/M/MV5BODAzMDgxMDc1MF5BMl5BanBnXkFtZTgwMTI0OTAzMjE@._V1_SX300.jpg,59.0,24-03-2015,1,7,60,880,451,animation/live action,250000000.0,1,54724334.0,452340,255119788.0,690457833.0,945577621.0,I-1044,1,2014.0,1.1104019379319958,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11557555900000001,1172.606074,967.7224142000001,204.8836596,Fathom,0.9207689170000001,1,1,1,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,766685715.8235264,1049971222.8235263,277600484.48299897,60766006.525637805,4,1,610
tt4630562,The Fate of the Furious,2017,42839,136,PG-13,6.7,20182603.0,25507551.0,45690154.0,2.285376003,18.22499084,229288406.0,4310,4329,original screenplay,1 win & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMjMxODI2NDM5Nl5BMl5BanBnXkFtZTgwNjgzOTk1MTI@._V1_SX300.jpg,56.0,11/7/2017,0,1,12,586,423,live action,250000000.0,1,98786705.0,191911,225764765.0,1013000000.0,1238764765.0,I-1084,1,2017.0,1.0156075772054156,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089396603,436.744,663.65,-226.90599999999998,Universal,0.9301557540000001,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1028810475.7090861,1258098881.709086,253901894.3013539,100328526.12515612,6,1,650
tt0499549,Avatar,2009,40165,162,PG-13,7.8,236772277.0,220112390.0,456884667.0,9.873455058,27.26121759,899243135.0,3452,3461,original screenplay,Won 3 Oscars. Another 86 wins & 129 nominations.,https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,83.0,22-04-2010,1,86,215,3369,731,animation/live action,237000000.0,1,77025481.0,1078016,760507625.0,2029197650.0,2789705275.0,I-1021,1,2014.0,1.1824248770681294,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31133452100000003,653.7990002,967.7224142000001,-313.9234140000001,20th Century Fox,0.45292156899999997,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2399373781.848187,3298616916.848187,280234695.86514664,91076844.90253854,6,10,920
tt0348150,Superman Returns,2006,38896,150,PG-13,6.0,85846298.0,.,85846298.0,3.80926305,51.17095992,278334833.0,4065,4065,based on comic/graphic novel,Nominated for 1 Oscar. Another 12 wins & 41 nominations.,https://m.media-amazon.com/images/M/MV5BNzY2ZDQ2MTctYzlhOC00MWJhLTgxMmItMDgzNDQwMDdhOWI2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,72.0,28-11-2006,1,12,53,2410,418,live action,232000000.0,1,52535096.0,264816,200120000.0,190961192.0,391081192.0,.,0,.,1.390839661203278,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428974106,.,.,.,WB,0.993267775,1,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,265596399.58425415,543931232.5842541,322674801.3991605,73067895.12192169,6,1,650
tt1345836,The Dark Knight Rises,2012,41110,164,PG-13,8.4,71941288.0,85805706.0,157746994.0,2.785422547,41.32450586,512882806.0,4404,4404,based on comic/graphic novel,Nominated for 1 BAFTA Film Award. Another 38 wins & 101 nominations.,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,78.0,3/12/2012,1,38,139,2942,842,live action,230000000.0,1,160887295.0,1439795,448139099.0,636300000.0,1084439099.0,I-1031,1,2014.0,1.1444723460739583,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160533388,829.6341096,1051.8721890000004,-222.2380798,WB,0.958507478,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,728227753.8068597,1241110559.8068595,263228639.5970104,184131059.96214303,6,10,920
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017,42881,135,PG-13,6.6,9163271.0,23110613.0,32273884.0,2.739758075,21.89163543,175252095.0,4276,4276,based on theme park ride,1 win & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMTYyMTcxNzc5M15BMl5BanBnXkFtZTgwOTg2ODE2MTI@._V1_SX300.jpg,39.0,3/10/2017,0,1,13,644,407,animation/live action,230000000.0,1,62983253.0,242432,172558876.0,615682261.0,788241137.0,.,0,.,1.0156075367574833,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053102287000000005,.,.,.,BUENA VISTA,0.612770915,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625291544.5194879,800543639.5194879,233589733.45422116,63966266.43630337,6,1,650
tt0830515,Quantum of Solace,2008,39766,106,PG-13,6.6,53696436.0,7757261.0,61453697.0,2.5080887169999997,28.62442025,214757090.0,3451,3501,based on fiction book/short story,Nominated for 2 BAFTA Film Awards. Another 4 wins & 30 nominations.,https://m.media-amazon.com/images/M/MV5BMjZiYTUzMzktZWI5Yy00Mzk4LWFlMDgtYjRmNWU0Mzc0MzNiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,58.0,24-03-2009,1,4,34,1302,336,live action,230000000.0,1,67528882.0,388032,169368427.0,422323651.0,591692078.0,.,0,.,1.2679877460277764,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317039232,.,.,.,Sony Pictures/Columbia,0.08468442400000001,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,535501214.3257113,750258304.3257113,291637181.5863886,85625794.87895568,6,1,650
tt0848228,The Avengers,2012,41033,143,PG-13,8.0,118602534.0,131496092.0,250098626.0,3.005022139,41.04244005,713415897.0,4349,4349,based on comic/graphic novel,Nominated for 1 Oscar. Another 38 wins & 79 nominations.,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,69.0,25-09-2012,1,38,117,1912,746,animation/live action,225000000.0,1,207438708.0,1216895,623357910.0,895455078.0,1518812988.0,.,0,.,1.1444723577823854,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19026394300000002,.,.,.,BUENA VISTA,0.746153891,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1024823584.4068699,1738239481.40687,257506280.50103673,237407867.24009177,6,10,920
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,38905,151,PG-13,7.3,320862526.0,5141564.0,326004090.0,3.12100272,39.70263874,588764432.0,4133,4133,based on theme park ride,Won 1 Oscar. Another 43 wins & 53 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_SX300.jpg,53.0,5/12/2006,1,43,96,1875,323,live action,225000000.0,1,135634554.0,629595,423315812.0,642900000.0,1066215812.0,I-1004,1,2014.0,1.3908396882656489,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757974347,368.46058389999996,767.8666982000003,-399.4061143,BUENA VISTA,0.961818755,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,894170835.5859857,1482935267.5859857,312938929.859771,188645920.80341032,6,1,650
tt0770828,Man of Steel,2013,41439,142,PG-13,7.1,44195455.0,75288060.0,119483515.0,2.495687792,43.56971976,326128489.0,4207,4207,based on comic/graphic novel,7 wins & 46 nominations.,https://m.media-amazon.com/images/M/MV5BMTk5ODk1NDkxMF5BMl5BanBnXkFtZTcwNTA5OTY0OQ@@._V1_SX300.jpg,55.0,12/11/2013,0,7,53,2727,761,live action,225000000.0,1,116619362.0,664610,291045518.0,376954000.0,667999518.0,I-1034,1,2014.0,1.1205411828399985,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151850663,672.2721741,767.8666982000003,-95.59452415,WB,0.924690247,1,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,422392481.0362688,748520970.0362688,252121766.13899967,130676797.83752598,6,1,650
