customer_id,gender,state,age,age_group,married,kids_under12,register_year,drop_flag,drop_year
C5001,F,NC,51,50s,M,N,2014,Y,2015
C5002,M,CA,23,20s,S,N,2014,N,.
C5003,F,TX,39,30s,M,N,2014,N,.
C5004,F,TX,69,60s+,M,N,2014,N,.
C5005,F,SC,60,60s+,M,N,2014,N,.
C5006,F,CA,76,60s+,S,N,2014,N,.
C5007,F,FL,69,60s+,M,N,2014,N,.
C5008,M,GA,39,30s,M,Y,2014,N,.
C5009,M,VA,30,30s,M,Y,2014,Y,2015
C5010,M,TN,32,30s,M,N,2014,N,.
C5011,F,MI,56,50s,S,N,2014,N,.
C5012,F,NV,34,30s,M,Y,2014,N,.
C5013,F,LA,47,40s,M,Y,2014,N,.
C5014,M,TX,44,40s,M,Y,2014,N,.
C5015,M,CT,30,30s,S,N,2014,N,.
C5016,M,TN,42,40s,M,Y,2014,N,.
C5017,F,WV,75,60s+,M,N,2014,N,.
C5018,F,TN,23,20s,S,N,2014,Y,2015
C5019,F,TN,67,60s+,S,N,2014,N,.
C5020,M,PA,36,30s,S,N,2014,N,.
C5021,M,CA,34,30s,M,Y,2014,N,.
C5022,M,TN,53,50s,M,Y,2014,N,.
C5023,F,NV,19,10s,S,N,2014,Y,2015
C5024,F,TX,42,40s,M,Y,2014,N,.
C5025,M,NY,20,20s,S,N,2014,N,.
C5026,M,IA,61,60s+,S,N,2014,N,.
C5027,F,NC,59,50s,M,N,2014,N,.
C5028,M,CA,35,30s,M,Y,2014,N,.
C5029,F,OH,64,60s+,M,N,2014,N,.
C5030,F,LA,58,50s,M,N,2014,Y,2015
C5031,F,SC,22,20s,M,Y,2014,N,.
C5032,M,CA,30,30s,S,Y,2014,N,.
C5033,M,NJ,55,50s,M,N,2014,N,.
C5034,M,FL,30,30s,M,Y,2014,N,.
C5035,F,TX,46,40s,M,Y,2014,N,.
C5036,M,MI,35,30s,M,N,2014,N,.
C5037,M,AL,42,40s,M,Y,2014,N,.
C5038,F,VA,40,40s,S,N,2014,N,.
C5039,M,NC,39,30s,M,Y,2014,Y,2015
C5040,M,CA,69,60s+,M,N,2014,N,.
C5041,F,GA,64,60s+,M,N,2014,N,.
C5042,F,IL,64,60s+,M,N,2014,N,.
C5043,M,DC,70,60s+,M,N,2014,N,.
C5044,F,SC,57,50s,M,N,2014,Y,2015
C5045,M,VA,31,30s,M,Y,2014,N,.
C5046,M,CA,74,60s+,S,N,2014,N,.
C5047,M,MI,46,40s,M,N,2014,N,.
C5048,M,VA,68,60s+,M,N,2014,N,.
C5049,M,LA,18,10s,M,Y,2014,N,.
C5050,M,MA,56,50s,M,N,2014,N,.
C5051,F,NC,25,20s,S,N,2014,Y,2015
C5052,M,FL,64,60s+,S,N,2014,N,.
C5053,M,NC,75,60s+,M,N,2014,N,.
C5054,F,IL,18,10s,M,N,2014,N,.
C5055,F,NV,24,20s,M,Y,2014,N,.
C5056,F,TX,31,30s,M,Y,2014,N,.
C5057,F,TN,41,40s,M,N,2014,N,.
C5058,M,CA,26,20s,M,Y,2014,N,.
C5059,F,NC,72,60s+,S,N,2014,N,.
C5060,F,AR,36,30s,S,N,2014,N,.
C5061,M,GA,32,30s,M,Y,2014,N,.
C5062,F,SC,44,40s,M,Y,2014,N,.
C5063,M,TX,74,60s+,S,N,2014,Y,2015
C5064,F,VA,57,50s,M,N,2014,N,.
C5065,M,NC,47,40s,M,Y,2014,N,.
C5066,F,CA,58,50s,S,N,2014,N,.
C5067,M,WV,70,60s+,S,N,2014,N,.
C5068,F,TN,40,40s,M,Y,2014,N,.
C5069,F,SC,21,20s,M,Y,2014,N,.
C5070,F,NY,41,40s,M,Y,2014,N,.
C5071,M,NC,27,20s,S,N,2014,N,.
C5072,M,MD,62,60s+,S,N,2014,N,.
C5073,F,TX,36,30s,M,N,2014,N,.
C5074,M,NV,33,30s,M,Y,2014,Y,2015
C5075,F,WV,33,30s,S,Y,2014,N,.
C5076,F,NV,33,30s,M,Y,2014,N,.
C5077,M,NC,29,20s,S,N,2014,N,.
C5078,F,PA,60,60s+,M,N,2014,N,.
C5079,M,OR,22,20s,S,N,2014,N,.
C5080,M,TX,51,50s,M,Y,2014,N,.
C5081,F,VA,36,30s,M,Y,2014,Y,2015
C5082,M,CA,21,20s,S,N,2014,N,.
C5083,M,NC,70,60s+,M,N,2014,N,.
C5084,F,TX,20,20s,S,Y,2014,N,.
C5085,F,NY,26,20s,S,N,2014,N,.
C5086,M,NC,48,40s,M,Y,2014,Y,2015
C5087,F,IN,76,60s+,M,N,2014,N,.
C5088,F,FL,21,20s,M,Y,2014,N,.
C5089,M,CT,59,50s,M,N,2014,N,.
C5090,F,TX,19,10s,M,Y,2014,N,.
C5091,F,NC,45,40s,M,Y,2014,N,.
C5092,F,MD,66,60s+,S,N,2014,N,.
C5093,M,MA,36,30s,M,Y,2014,Y,2015
C5094,M,CA,42,40s,M,Y,2014,N,.
C5095,M,MD,59,50s,M,N,2014,N,.
C5096,F,NC,65,60s+,S,N,2014,N,.
C5097,M,SC,22,20s,S,N,2014,N,.
C5098,M,VA,58,50s,M,N,2014,N,.
C5099,M,NC,36,30s,M,N,2014,Y,2015
C5100,M,NC,27,20s,M,Y,2014,N,.
C5101,F,MA,54,50s,M,Y,2014,N,.
C5102,F,TX,47,40s,M,N,2014,N,.
C5103,M,VA,42,40s,M,Y,2014,N,.
C5104,F,NC,24,20s,M,Y,2014,N,.
C5105,M,NV,20,20s,S,N,2014,N,.
C5106,M,NC,57,50s,S,N,2014,N,.
C5107,M,CA,35,30s,S,N,2014,N,.
