movie_id,title,release_year,release_date,runtime,mpa_rating,mpa_rating_origin,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,theater_opening,theater_total,genre_1,genre_2,genre_3,country_1,country_2,country_3,director,actor_1,actor_2,actor_3,studio,description,contract_price,studio_score,price_class
tt0484562,The Seeker: The Dark Is Rising,2007,10-05-2007,99,PG,PG,4.8,14378,167,105,45000000,8794452,31400740,3141,3173,Adventure,Drama,Family,USA,,,David L. Cunningh,Alexander Ludwig,Christopher Eccleston,Ian McShane,20th Century Fox,A boy's life is turned upside down when he learns that he is the last of a group of immortal warriors who have dedicated their lives to fighting the forces of the dark.,650,6,1
tt1047540,Parental Guidance,2012,12-25-2012,105,PG,PG,6,24024,119,139,25000000,77267296,119772232,3367,3368,Comedy,Family,,USA,,,Andy Fickman,Billy Crystal,Bette Midler,Marisa Tomei,20th Century Fox,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,710,6,3
tt0770703,What's Your Number?,2011,09-30-2011,106,R,R,6.1,69065,102,147,20000000,14011084,30426096,3002,3011,Comedy,Romance,,USA,,,Mark Mylod,Anna Faris,Chris Evans,Ari Graynor,20th Century Fox,A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,650,6,1
tt1596350,This Means War,2012,02-17-2012,103,PG-13,PG-13,6.3,169657,258,243,65000000,54760791,156491279,3189,3189,Action,Comedy,Romance,USA,,,McG,Reese Witherspoon,Chris Pine,Tom Hardy,20th Century Fox,A pair of C.I.A. operatives wage an epic battle against one another when they discover they are dating the same woman.,710,6,3
tt0358082,Robots,2005,03-11-2005,91,PG,PG,6.3,125016,284,165,75000000,128200012,260696994,3776,3776,Animation,Adventure,Comedy,USA,,,Chris Wedge,Paula Abdul,Halle Berry,Lucille Bliss,20th Century Fox,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.",650,6,1
tt0804461,Death Sentence,2007,08-31-2007,105,R,R,6.8,66747,330,174,20000000,9534258,16974459,1822,1823,Action,Crime,Thrille,USA,,,James Wan,Kevin Bacon,Garrett Hedlund,Kelly Preston,20th Century Fox,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.",650,6,1
tt0449010,Eragon,2006,12-15-2006,104,PG,PG,5.1,118326,1713,182,100000000,75030163,249488115,3020,3030,Action,Adventure,Family,USA,UK,Hunga,Stefen Fangmeier,Ed Speleers,Jeremy Irons,Sienna Guillory,20th Century Fox,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.",710,6,3
tt2364841,Runner Runner,2013,10-04-2013,88,R,R,5.6,58803,104,187,30000000,19316646,62675095,3026,3026,Crime,Thriller,,USA,,,Brad Furman,Justin Timberlake,Ben Affleck,Gemma Arterton,20th Century Fox,"When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",650,6,1
tt0808510,Tooth Fairy,2010,01-22-2010,101,PG,PG,5,39057,82,115,48000000,60022256,112462508,3344,3345,Comedy,Family,Fantasy,USA,Canada,,Michael Lembeck,Dwayne Johnson,Ashley Judd,Stephen Merchant,20th Century Fox,A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.,710,6,3
tt2193215,The Counselor,2013,10-25-2013,117,R,R,5.3,93140,479,343,25000000,16973715,71009334,3044,3044,Crime,Drama,Thrille,UK,USA,,Ridley Scott,Michael Fassbende,Pen¢®¢®lope Cruz,Cameron Diaz,20th Century Fox,A lawyer finds himself in over his head when he gets involved in drug trafficking.,650,6,1
tt0364970,Babylon A.D.,2008,08-29-2008,90,PG-13,PG-13,5.6,90797,223,166,70000000,22532572,72109200,3390,3425,Action,Adventure,Crime,Fra,UK,,Mathieu Kassovitz,Vin Diesel,Michelle Yeoh,M¢®¢®lanie Thierry,20th Century Fox,Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.,650,6,1
