movie_id,reviews_users,reviews_critics
tt4154796,8647,549
tt1298650,529,467
tt2395427,1283,689
tt4154756,4191,605
tt0449088,1280,327
tt0974015,1963,494
tt2379713,1129,638
tt3778644,2442,538
tt0401729,873,481
tt2975590,3639,804
tt6105098,2796,366
tt0398286,471,341
tt0413300,2045,420
tt3498820,1385,665
tt0417741,1037,395
tt1170358,985,533
tt2310332,880,451
tt4630562,586,423
tt2382320,1,.
tt0499549,3369,731
tt0348150,2410,418
tt1345836,2942,842
tt1790809,644,407
tt0830515,1302,336
tt0848228,1912,746
tt0383574,1875,323
tt0770828,2727,761
tt0499448,460,264
tt1210819,761,466
tt6723592,1,.
tt0948470,1328,630
tt1440129,849,392
tt3371366,862,291
tt0369610,1512,693
tt1409024,387,456
tt1055369,1491,375
tt2109248,1005,402
tt0376994,1956,349
tt0955308,620,342
tt0360717,2684,459
tt0385752,705,262
tt1825683,3155,675
tt0120338,2801,329
tt3606756,1055,392
tt3748528,1727,702
tt2277860,416,446
tt1979376,1238,377
tt0435761,858,477
tt1300854,1291,648
tt3896198,1023,578
tt0316654,1440,320
tt1014759,781,471
tt1074638,1574,738
tt0903624,1424,667
tt1453405,316,391
tt1623205,538,543
tt1877832,814,566
tt1872181,1168,536
tt1216475,328,318
tt6806448,1184,299
tt1104001,733,483
tt1190080,1167,230
tt4123430,1450,331
tt0438488,1069,439
tt1133985,627,440
tt6565702,1964,335
tt1399103,935,436
tt2345759,892,432
tt1351685,221,321
tt2820852,728,458
tt1408101,1236,622
tt0816711,1107,668
tt1343092,880,445
tt1663662,1225,605
tt1979388,466,333
tt0371746,1290,532
tt0468569,6641,420
tt0367882,2141,468
tt1217209,496,506
tt3731562,928,581
tt2660888,809,478
tt4777008,621,207
tt1856101,2284,634
tt6450804,2679,348
tt6139732,2223,339
tt3501632,1541,516
tt1587310,750,426
tt3183660,806,442
tt0910970,1226,268
tt0293564,233,167
tt0918940,456,329
tt0970179,743,705
tt2239822,1065,380
tt1617661,879,413
tt4912910,1592,488
tt3385516,827,485
tt4779682,1427,397
tt1631867,939,625
tt4154664,7127,505
tt3040964,578,452
tt2096673,1006,585
tt2250912,1331,562
tt1386697,2216,699
tt1049413,854,423
tt2380307,1037,402
tt5848272,757,273
tt0892782,209,231
tt3606752,328,273
tt1046173,548,129
tt0120891,635,95
tt0859163,546,281
tt0413099,287,189
tt0114898,366,122
tt6673612,571,169
tt1972591,922,352
