movie_id,release_date,genre,country,language
tt4154796,26-Apr-19,"Action, Adventure, Drama, Sci-Fi",USA,english
tt1298650,20-May-11,"Action, Adventure, Fantasy","USA, UK",english
tt2395427,01-May-15,"Action, Adventure, Sci-Fi",USA,english
tt4154756,27-Apr-18,"Action, Adventure, Sci-Fi",USA,english
tt0449088,25-May-07,"Action, Adventure, Fantasy",USA,english
tt0974015,17-Nov-17,"Action, Adventure, Fantasy, Sci-Fi","USA, Canada, UK",english
tt2379713,06-Nov-15,"Action, Adventure, Thriller","UK, USA, Austria, Mexico, Italy, Morocco",english
tt3778644,25-May-18,"Action, Adventure, Sci-Fi",USA,english
tt0401729,09-Mar-12,"Action, Adventure, Sci-Fi",USA,"apache, english"
tt2975590,25-Mar-16,"Action, Adventure, Sci-Fi",USA,english
tt6105098,19-Jul-19,"Animation, Adventure, Drama, Family, Musical",USA,english
tt0398286,24-Nov-10,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",USA,english
tt0413300,04-May-07,"Action, Sci-Fi",USA,english
tt3498820,06-May-16,"Action, Adventure, Sci-Fi",USA,english
tt0417741,15-Jul-09,"Action, Adventure, Family, Fantasy, Mystery","UK, USA",english
tt1170358,13-Dec-13,"Adventure, Fantasy","USA, New Zealand",english
tt2310332,17-Dec-14,"Adventure, Fantasy","New Zealand, USA",english
tt4630562,14-Apr-17,"Action, Adventure, Thriller","China, USA, Japan",english
tt2382320,10-Apr-20,"Action, Adventure, Thriller","UK, USA",english
tt0499549,18-Dec-09,"Action, Adventure, Fantasy, Sci-Fi",USA,"english, na'vi"
tt0348150,28-Jun-06,"Action, Sci-Fi",USA,english
tt1345836,20-Jul-12,"Action, Adventure, Thriller","UK, USA",english
tt1790809,26-May-17,"Action, Adventure, Fantasy",USA,english
tt0830515,14-Nov-08,"Action, Adventure, Thriller","UK, USA",english
tt0848228,04-May-12,"Action, Adventure, Sci-Fi",USA,english
tt0383574,07-Jul-06,"Action, Adventure, Fantasy",USA,english
tt0770828,14-Jun-13,"Action, Adventure, Sci-Fi","USA, UK",english
tt0499448,16-May-08,"Action, Adventure, Family, Fantasy","USA, Poland, Slovenia, Czech Republic, UK",english
tt1210819,03-Jul-13,"Action, Adventure, Comedy, Thriller, War, Western",USA,english
tt6723592,17-Jul-20,"Action, Drama, Thriller","USA, UK",english
tt0948470,03-Jul-12,"Action, Sci-Fi",USA,english
tt1440129,18-May-12,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt3371366,21-Jun-17,"Action, Adventure, Sci-Fi","USA, China, Canada",english
tt0369610,12-Jun-15,"Action, Adventure, Sci-Fi",USA,english
tt1409024,25-May-12,"Action, Adventure, Comedy, Sci-Fi","USA, United Arab Emirates",english
tt1055369,24-Jun-09,"Action, Adventure, Sci-Fi",USA,english
tt2109248,27-Jun-14,"Action, Adventure, Sci-Fi","USA, China, Hong Kong",english
tt0376994,26-May-06,"Action, Sci-Fi","Canada, USA, UK",english
tt0955308,14-May-10,"Action, Drama, History, Romance","USA, UK",english
tt0360717,14-Dec-05,"Action, Adventure, Drama, Romance","New Zealand, USA, Germany",english
tt0385752,07-Dec-07,"Adventure, Family, Fantasy","UK, USA",english
tt1825683,16-Feb-18,"Action, Adventure, Sci-Fi",USA,english
tt0120338,19-Dec-97,"Drama, Romance",USA,"english, italian, swedish"
tt3606756,15-Jun-18,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",USA,english
tt3748528,16-Dec-16,"Action, Adventure, Sci-Fi",USA,english
tt2277860,17-Jun-16,"Animation, Adventure, Comedy, Family",USA,english
tt1979376,21-Jun-19,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt0435761,18-Jun-10,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt1300854,03-May-13,"Action, Adventure, Sci-Fi",USA,english
tt3896198,05-May-17,"Action, Adventure, Comedy, Sci-Fi",USA,english
tt0316654,30-Jun-04,"Action, Adventure, Sci-Fi",USA,english
tt1014759,05-Mar-10,"Adventure, Family, Fantasy",USA,english
tt1074638,09-Nov-12,"Action, Adventure, Thriller","UK, USA",english
tt0903624,14-Dec-12,"Adventure, Family, Fantasy","New Zealand, USA",english
tt1453405,21-Jun-13,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt1623205,08-Mar-13,"Adventure, Family, Fantasy",USA,english
tt1877832,23-May-14,"Action, Adventure, Sci-Fi, Thriller","USA, UK, Canada",english
tt1872181,02-May-14,"Action, Adventure, Sci-Fi",USA,english
tt1216475,24-Jun-11,"Animation, Adventure, Comedy, Family, Sport",USA,english
tt6806448,02-Aug-19,"Action, Adventure",USA,english
tt1104001,17-Dec-10,"Action, Adventure, Sci-Fi",USA,english
tt1190080,13-Nov-09,"Action, Adventure, Sci-Fi",USA,english
tt4123430,16-Nov-18,"Adventure, Family, Fantasy","UK, USA",english
tt0438488,21-May-09,"Action, Sci-Fi","USA, Germany, UK, Italy",english
tt1133985,17-Jun-11,"Action, Adventure, Sci-Fi",USA,english
tt6565702,07-Jun-19,"Action, Adventure, Sci-Fi","USA, Canada",english
tt1399103,29-Jun-11,"Action, Adventure, Sci-Fi",USA,english
tt2345759,09-Jun-17,"Action, Adventure, Fantasy, Thriller","USA, China, Japan",english
tt1351685,01-Mar-13,"Adventure, Fantasy",UK,english
tt2820852,03-Apr-15,"Action, Adventure, Thriller","USA, China, Japan, Canada, United Arab Emirates",english
tt1408101,16-May-13,"Action, Adventure, Sci-Fi",USA,"english, klingon"
tt0816711,21-Jun-13,"Action, Adventure, Horror, Sci-Fi","USA, UK, Malta",english
tt1343092,10-May-13,"Drama, Romance","Australia, USA",english
tt1663662,12-Jul-13,"Action, Adventure, Sci-Fi",USA,"cantonese, english, japanese"
tt1979388,25-Nov-15,"Animation, Adventure, Comedy, Drama, Family, Fantasy",USA,english
tt0371746,02-May-08,"Action, Adventure, Sci-Fi",USA,english
tt0468569,18-Jul-08,"Action, Crime, Drama, Thriller","USA, UK","english, mandarin"
tt0367882,22-May-08,"Action, Adventure",USA,"english, german, russian"
tt1217209,22-Jun-12,"Animation, Adventure, Comedy, Family, Fantasy","USA, UK",english
tt3731562,10-Mar-17,"Action, Adventure, Fantasy, Sci-Fi","USA, China",english
tt2660888,22-Jul-16,"Action, Adventure, Sci-Fi, Thriller","USA, China, United Arab Emirates, Canada",english
tt4777008,18-Oct-19,"Adventure, Family, Fantasy","USA, UK",english
tt1856101,06-Oct-17,"Action, Drama, Mystery, Sci-Fi, Thriller","USA, UK, Hungary, Canada, Spain",english
tt6450804,01-Nov-19,"Action, Adventure, Sci-Fi","USA, Spain, Hungary, China",english
tt6139732,24-May-19,"Adventure, Family, Fantasy, Musical, Romance",USA,english
tt3501632,03-Nov-17,"Action, Adventure, Comedy, Fantasy, Sci-Fi",USA,english
tt1587310,30-May-14,"Action, Adventure, Family, Fantasy, Romance",USA,english
tt3183660,18-Nov-16,"Adventure, Family, Fantasy","UK, USA",english
tt0910970,27-Jun-08,"Animation, Adventure, Family, Sci-Fi",USA,english
tt0293564,10-Aug-07,"Action, Comedy, Crime, Thriller","USA, Germany","cantonese, english, french, japanese"
tt0918940,01-Jul-16,"Action, Adventure, Drama, Fantasy, Romance","UK, Canada, USA",english
tt0970179,23-Nov-11,"Drama, Family, Fantasy, Mystery","UK, USA, France",english
tt2239822,21-Jul-17,"Action, Adventure, Fantasy, Sci-Fi","France, China, Belgium, Germany, United Arab Emirates, USA",english
tt1617661,06-Feb-15,"Action, Adventure, Sci-Fi","USA, Australia",english
tt4912910,27-Jul-18,"Action, Adventure, Thriller","USA, China, France, Norway, UK",english
tt3385516,27-May-16,"Action, Adventure, Sci-Fi",USA,english
tt4779682,10-Aug-18,"Action, Horror, Sci-Fi, Thriller","USA, China",english
tt1631867,06-Jun-14,"Action, Sci-Fi","USA, Canada",english
tt4154664,08-Mar-19,"Action, Adventure, Sci-Fi","USA, Australia",english
