movie_id,income_opening,votes,income_usa,income_int,income_ww
tt4154796,357115007,661719,858373000,1939427564,2797800564
tt1298650,90151958,460865,241063875,804600000,1045663875
tt2395427,191271109,697604,459005868,944008095,1403013963
tt4154756,257698183,748996,678815482,1369544272,2048359754
tt0449088,114732820,572118,309420425,654000000,963420425
tt0974015,93842239,352866,229024295,426920914,655945209
tt2379713,70403148,365008,200074175,679546748,879620923
tt3778644,84420489,259822,213767512,179383835,393151347
tt0401729,30180188,247277,73058679,209719421,282778100
tt2975590,166007347,596317,330360194,543274725,873634919
tt6105098,191770759,162301,543638043,1112675054,1656313097
tt0398286,48767052,381931,200821936,385655304,586477240
tt0413300,151116516,476481,336530303,558329927,894860230
tt3498820,179139142,619898,408084349,745200000,1153284349
tt0417741,77835727,439445,302089278,633124489,935213767
tt1170358,73645197,580014,258241522,702000000,960241522
tt2310332,54724334,452340,255119788,690457833,945577621
tt4630562,98786705,191911,225764765,1013000000,1238764765
tt2382320,.,0,.,.,.
tt0499549,77025481,1078016,760507625,2029197650,2789705275
tt0348150,52535096,264816,200120000,190961192,391081192
tt1345836,160887295,1439795,448139099,636300000,1084439099
tt1790809,62983253,242432,172558876,615682261,788241137
tt0830515,67528882,388032,169368427,422323651,591692078
tt0848228,207438708,1216895,623357910,895455078,1518812988
tt0383574,135634554,629595,423315812,642900000,1066215812
tt0770828,116619362,664610,291045518,376954000,667999518
tt0499448,55034805,185646,141621490,275719798,417341288
tt1210819,29210849,213753,89302115,170700000,260002115
tt6723592,.,0,.,.,.
tt0948470,62004688,539822,262030663,495859604,757890267
tt1440129,25534825,228999,65233400,248244317,313477717
tt3371366,44680073,126740,130168683,472724657,602893340
tt0369610,208806270,556312,652270625,996584239,1648854864
tt1409024,54592779,322482,179020854,475192631,654213485
tt1055369,108966307,373138,402111870,434407829,836519699
tt2109248,100038390,290074,245439076,858614996,1104054072
tt0376994,102750665,465130,234362462,224898484,459260946
tt0955308,36063385,245047,105487148,216971858,322459006
tt0360717,50130145,376718,218080025,332437332,550517357
tt0385752,25783232,173653,70107728,297154830,367262558
tt1825683,202003951,561637,700059566,646853595,1346913161
tt0120338,28638131,993202,659363944,1548844451,2208208395
tt3606756,182687905,225556,608581744,634223615,1242805359
tt3748528,155081681,519590,532177324,523879949,1056057273
tt2277860,135060273,224264,486295561,542275328,1028570889
tt1979376,120908065,150731,434038008,639356805,1073394813
tt0435761,110307189,715841,415004880,653874642,1068879522
tt1300854,174144585,719976,408992272,806400000,1215392272
tt3896198,146510104,522765,389813101,479300000,869113101
tt0316654,88156227,518755,373524485,421586185,795110670
tt1014759,116101023,368698,334191110,691300000,1025491110
tt1074638,88364714,607463,304360277,806166704,1110526981
tt0903624,84617303,734164,303003568,714000000,1017003568
tt1453405,82429469,304416,268488329,475100000,743588329
tt1623205,79110453,194518,234770996,255588055,490359051
tt1877832,90823660,638387,233921534,513941241,747862775
tt1872181,91608337,400753,202853933,506142403,708996336
tt1216475,66135507,147872,191450875,368704508,560155383
tt6806448,60038950,131293,173956935,586625355,760582290
tt1104001,44026211,303554,172062763,228000000,400062763
tt1190080,65237614,337740,166112167,591565581,757677748
tt4123430,62163104,194147,159555901,492664185,652220086
tt0438488,42558390,331119,125322469,240169323,365491792
tt1133985,53174303,258273,116601172,102934320,219535492
tt6565702,32828348,123078,65845974,180510921,246356895
tt1399103,97852865,374098,352390543,771403536,1123794079
tt2345759,31668375,163725,80101125,329852780,409953905
tt1351685,27202226,126921,65187603,132500000,197687603
tt2820852,147163560,344990,353007020,1165715774,1518722794
tt1408101,70165559,452758,228778661,238602923,467381584
tt0816711,66411834,571012,202359711,329154939,531514650
tt1343092,50085184,450725,144840419,208800000,353640419
tt1663662,37285325,452566,101802906,309200000,411002906
tt1979388,39155217,95385,123087120,210683917,333771037
tt0371746,102118668,896884,318604126,266567421,585171547
tt0468569,158411483,2173344,535234033,468275260,1003509293
tt0367882,100137835,406135,317101119,469534294,786635413
tt1217209,66323594,352838,237282182,317324350,554606532
tt3731562,61025472,252647,168052812,393019247,561072059
tt2660888,59253211,217362,158848340,176953893,335802233
tt4777008,36948713,51334,113929605,375816221,489745826
tt1856101,32753122,412480,92054159,167303249,259357408
tt6450804,29033832,87298,62253077,188238086,250491163
tt6139732,91500929,182623,355559216,695400000,1050959216
tt3501632,122744989,532010,315058289,538900000,853958289
tt1587310,69431298,326404,241407328,517129407,758536735
tt3183660,74403387,384615,234037575,580000000,814037575
tt0910970,63087526,944782,223808164,308699861,532508025
tt0293564,49100158,146593,140125968,116459914,256585882
tt0918940,38527856,156091,126643061,222258964,348902025
tt0970179,11364505,291357,73864507,106183277,180047784
tt2239822,17007624,150688,40479370,174618986,215098356
tt1617661,18372372,171184,47482519,134500000,181982519
tt4912910,61236534,261997,220159104,567297448,787456552
tt3385516,65769562,373401,155442489,387095057,542537546
tt4779682,45402195,130153,145443742,384086973,529530715
tt1631867,28760246,567950,100206256,270335000,370541256
tt4154664,153433423,394382,426829839,702900000,1129729839
tt3040964,103261464,248775,364001123,598853424,962854547
tt2096673,90440272,567084,356461711,501100000,857561711
tt2250912,117027503,470359,334201140,545965210,880166350
tt1386697,133682248,565160,325100054,420959833,746059887
tt1049413,68108790,882822,293004164,438459213,731463377
tt2380307,50802605,320987,209726015,597400000,807126015
tt5848272,56237634,112358,201091711,328199119,529290830
tt0892782,59321095,140534,198351526,183335854,381687380
tt3606752,53688680,66096,152901115,230640254,383541369
tt1046173,54713046,194328,150201498,152267519,302469017
tt0120891,27687484,148129,113805681,107423654,221229335
tt0859163,40457770,145353,102491776,303268449,405760225
tt0413099,31192615,133855,100289690,73841639,174131329
tt0114898,21171780,171645,88246220,176000000,264246220
tt6673612,21844045,16038,72644290,112824734,185469024
tt1972591,15371270,178403,39175066,100455270,139630336
tt1335975,9910310,139967,38362475,113354340,151716815
tt4881806,148024610,240399,417719760,890751228,1308470988
tt2015381,94320883,996325,333172112,439600000,772772112
tt1228705,128122480,686304,312433331,308723058,621156389
tt1843866,95023721,698443,259746958,454654931,714401889
tt2103281,72611427,399367,208545589,502098977,710644566
tt0338348,23325035,163883,188042855,124140582,312183437
tt1735898,56217700,264464,155136755,245884991,401021746
tt0181852,44041440,363056,150358296,282700000,433058296
tt0338526,51748040,235060,120150546,180000000,300150546
tt3861390,45990748,55744,114766307,238400000,353166307
tt3741700,47776293,108354,110500138,272799777,383299915
tt1964418,33028165,165737,93436322,113191196,206627518
tt0437086,28525613,190307,85710210,317261058,402971268
tt2567026,26858726,85178,77042381,199885731,276928112
tt0892791,70838207,174201,238736787,517507886,756244673
tt1211837,85058311,553897,232641920,443762646,676404566
tt2245084,56215889,388240,222527828,429600000,652127828
tt0892769,43732319,633620,217581232,277289760,494870992
tt1772341,49038712,360733,189412677,307098844,496511521
tt0816692,47510360,1372934,188017894,477252582,665270476
tt1628841,41039944,159909,103144286,281025138,384169424
tt2771200,174750616,253795,504014165,759506961,1263521126
tt6320628,92579212,260577,390532085,741395911,1131927996
tt1477834,67873522,323678,335061807,811832833,1146894640
tt0413267,121629270,265582,322719944,484610992,807330936
tt1375666,62785337,1924665,292576195,542049503,834625698
tt1951266,102665981,265897,281723902,367262885,648986787
tt0831387,93188384,363313,200676069,328400000,529076069
tt1270798,55101604,625205,146408305,209000000,355408305
tt0421715,26853816,556750,127509326,202122632,329631958
tt0963966,17619622,147494,63150991,154835329,217986320
tt0409182,22155410,94257,60674817,121000000,181674817
tt0803096,24166110,232756,47365290,391534534,438899824
tt1302006,.,247813,.,915347,915347
tt1860357,20223544,139789,61433527,61170297,122603824
tt1340138,27018486,247603,89760956,342389938,432150894
tt2557478,28116535,97535,59874525,231055623,290930148
tt0346491,13687087,157355,34297191,133000000,167297191
tt3450958,56262929,213244,146880162,342712105,489592267
tt0213149,59078912,300679,198539855,250700000,449239855
tt0418279,70502384,580490,319246193,389026399,708272592
tt4520988,130263358,62060,476076353,955019152,1431095505
tt0451279,103251471,514672,412563408,408569970,821133378
tt2294629,243390,544382,400738009,870015613,1270753622
tt2948356,75063401,404133,341268248,682515947,1023784195
tt0373889,77108414,475306,292137260,650939197,943076457
tt0330373,102685961,510285,290201752,606898042,897099794
tt0234215,91774413,493197,281553689,457023240,738576929
tt0480249,77211321,652881,256393010,329139674,585532684
tt3521164,56631401,243501,248757044,388760321,637517365
tt0448157,62603879,426405,227946274,396287998,624234272
tt0372784,48745440,1241089,206852432,153798948,360651380
tt0367594,56178450,403743,206459076,269366408,475825484
tt0382932,47027395,604573,206445654,420104041,626549695
tt1981115,85737841,564401,206362140,438240376,644602516
tt2381249,55520089,324487,195042377,493816615,688858992
tt5013056,50513488,501037,190068280,337200000,527268280
tt0800369,65723338,710805,181030624,268295994,449326618
tt0479952,63106589,193033,180174880,419505894,599680774
tt0458525,85058003,449601,179883157,194942603,374825760
tt1078912,54173286,166549,177243721,224987342,402231063
tt1302011,47656302,238874,165249063,499588484,664837547
tt1392190,45428128,815949,153636354,216461666,370098020
tt5884052,54365242,113090,144105346,285579676,429685022
tt0242653,48475154,428318,139270910,288029350,427300260
