movie_id,prd_company
tt4154796,Marvel Studios
tt1298650,Walt Disney Pictures
tt2395427,Marvel Studios
tt4154756,Marvel Studios
tt0449088,"Walt Disney Pictures, Jerry Bruckheimer"
tt0974015,"DC Films, RatPac Entertainment, Atlas Entertainment, Cruel and Unusual Films"
tt2379713,Eon Productions
tt3778644,Lucasfilm
tt0401729,"Walt Disney Pictures, Jim Morris"
tt2975590,"Warner Bros., RatPac Entertainment, Dune Entertainment, Atlas Entertainment, Cruel and Unusual Films"
tt6105098,"Walt Disney Pictures, Fairview Entertainment"
tt0398286,Walt Disney Animation Studios
tt0413300,"Columbia Pictures, Marvel Studios, Laura Ziskin Productions"
tt3498820,Marvel Studios
tt0417741,Heyday Films
tt1170358,Wingnut Films
tt2310332,"New Line Cinema, Wingnut Films, Metro-Goldwyn-Mayer Pictures"
tt4630562,"Universal Pictures, Original Film, One Race Films"
tt2382320,"Eon Productions, Metro-Goldwyn-Mayer Pictures"
tt0499549,"Dune Entertainment, 20th Century Fox, Ingenious Film Partners"
tt0348150,"Warner Bros., Legendary Pictures, Jon Peters, Bad Hat Harry Productions"
tt1345836,"Warner Bros., Legendary Pictures, Syncopy"
tt1790809,"Walt Disney Pictures, Jerry Bruckheimer Films"
tt0830515,"Eon Productions, Metro-Goldwyn-Mayer Pictures, Columbia Pictures"
tt0848228,.
tt0383574,"Walt Disney Pictures, Jerry Bruckheimer"
tt0770828,"Warner Bros., Legendary Pictures, Syncopy"
tt0499448,"Walt Disney Pictures, Walden Media, Mark Johnson, Silverbell Films"
tt1210819,"Walt Disney Pictures, Jerry Bruckheimer, Blind Wink, Infinitum Nihil"
tt6723592,Syncopy
tt0948470,"Columbia Pictures, Marvel Studios"
tt1440129,"Universal Pictures, Hasbro Studios, Bluegrass Films, Film 44"
tt3371366,"di Bonaventura Pictures, Paramount Pictures, Hasbro Studios"
tt0369610,"Universal Pictures, Amblin Entertainment, Legendary Pictures"
tt1409024,"Columbia Pictures, Hemisphere Media Capital, Amblin Entertainment, Parkes+Macdonald Productions, Image Nation"
tt1055369,"DreamWorks Pictures, Paramount Pictures, Hasbro Studios, di Bonaventura Pictures, Tom DeSanto, Don Murphy"
tt2109248,"di Bonaventura Pictures, Tom DeSanto, Don Murphy"
tt0376994,20th Century Fox
tt0955308,"United Artists, Fairbanks"
tt0360717,Radio Pictures
tt0385752,"New Line Cinema, Ingenious Film Partners, Scholastic Entertainment Inc., Depth of Field"
tt1825683,Marvel Studios
tt0120338,"20th Century Fox, Paramount Pictures, Lightstorm Entertainment"
tt3606756,Disney-Pixar
tt3748528,Lucasfilm
tt2277860,Disney-Pixar
tt1979376,Disney-Pixar
tt0435761,"Walt Disney Pictures, Disney-Pixar"
tt1300854,"Marvel Studios, Paramount Pictures, DMG Entertainment"
tt3896198,Marvel Studios
tt0316654,"Columbia Pictures, Marvel Studios, Laura Ziskin Productions"
tt1014759,Walt Disney Productions
tt1074638,"Eon Productions, B23, Metro-Goldwyn-Mayer Pictures, Columbia Pictures"
tt0903624,"New Line Cinema, Metro-Goldwyn-Mayer Pictures, Wingnut Films"
tt1453405,"Disney-Pixar, Walt Disney Pictures"
tt1623205,"Walt Disney Pictures, Roth Films, Curtis-Donen Productions"
tt1877832,"Bad Hat Harry Productions, Donnersâ? Company, Simon Kinberg, Ingenious Media"
tt1872181,Marvel Studios
tt1216475,"Disney-Pixar, Walt Disney Pictures"
tt6806448,"Seven Bucks Productions, Chris Morgan Productions, Universal Pictures"
tt1104001,Walt Disney Pictures
tt1190080,"Centropolis Entertainment, Columbia Pictures"
tt4123430,"Heyday Films, Warner Bros."
tt0438488,"Halcyon Company, Moritz Borman, Wonderland Sound and Vision"
tt1133985,"De Line Pictures, Warner Bros."
tt6565702,"Marvel Studios, Kinberg Genre, Twentieth Century Fox, Hutch Parker"
tt1399103,"Paramount Pictures, di Bonaventura Pictures, Hasbro Studios"
tt2345759,"Universal Pictures, Perfect World Pictures, Secret Hideout, Conspiracy Factory, Sean Daniel Company"
tt1351685,"New Line Cinema, Legendary Pictures, Original Film, Big Kid Pictures, Bad Hat Harry Productions, Bryan Singer"
tt2820852,"Original Film, One Race Films, Universal Pictures, MRC, China Film Company, Dentsu Inc."
tt1408101,"Bad Robot, Skydance Productions, Paramount Pictures"
tt0816711,"Skydance Productions, Hemisphere Media Capital, GK Films, Plan B Entertainment, 2Dux2"
tt1343092,.
tt1663662,"Warner Bros., Legendary Pictures, Guillermo del Toro, DDY"
tt1979388,Disney-Pixar
tt0371746,"Paramount Pictures, Marvel Studios, Fairview Entertainment"
tt0468569,"Legendary Pictures, Warner Bros., Syncopy"
tt0367882,Lucasfilm
tt1217209,Disney-Pixar
tt3731562,"Legendary Pictures, Warner Bros., Tencent Pictures "
tt2660888,"Sneaky Shark, Paramount Pictures, Bad Robot, Skydance Productions, Perfect Storm Entertainment"
tt4777008,"Walt Disney Pictures, Roth Films"
tt1856101,"Alcon Entertainment, Thunderbird Films, Columbia Pictures, Ridley Scott Associates, Bud Yorkin, Torridon Films, 16:14 Entertainment"
tt6450804,"Paramount Pictures, Skydance Productions, Twentieth Century Fox, Tencent Pictures , TSG Entertainment, Lightstorm Entertainment"
tt6139732,"Walt Disney Pictures, Rideback"
tt3501632,Marvel Studios
tt1587310,Roth Films
tt3183660,"Warner Bros., Heyday Films"
tt0910970,"Disney-Pixar, Walt Disney Pictures"
tt0293564,"New Line Cinema, Arthur Sarkissian, Roger Birnbaum"
tt0918940,"Warner Bros., Village Roadshow Productions, RatPac Entertainment, Dune Entertainment, Jerry Weintraub, Riche-Ludwig, Beaglepug"
tt0970179,"GK Films, Infinitum Nihil"
tt2239822,"EuropaCorp, Fundamental Films, BNP Paribas Film Fund, River Road Entertainment, Belga Films, Valerian S.A.S., TF1 Film Productions, OCS., Orange Studio, Universum Film, Novo Pictures"
tt1617661,"Warner Bros., Village Roadshow Productions, Anarchos Productions, RatPac Entertainment, Dune Entertainment"
tt4912910,"Skydance Productions, Bad Robot, Paramount Pictures"
tt3385516,"Twentieth Century Fox, Marvel Studios, TSG Entertainment, Bad Hat Harry Productions, Kinberg Genre, Hutch Parker, Donnersâ? Company"
tt4779682,"Warner Bros., Gravity Pictures, Flagship Entertainment, Apelles Entertainment, di Bonaventura Pictures, Maeday Productions, On a Roll Productions"
tt1631867,"Warner Bros., Village Roadshow Productions, RatPac Entertainment, Dune Entertainment"
tt4154664,Marvel Studios
tt3040964,"Baloo Productions, Jungle Book Films, Walt Disney Pictures"
tt2096673,Disney-Pixar
