prd_company,num_movies,com_dom_bo,com_wrld_bo
Warner Bros.,240,18794567812,43565575875
Columbia Pictures,234,18125160061,40846061401
Universal Pictures,239,"$17,582,725,036","$42,395,375,983"
Walt Disney Pictures,126,"$15,746,091,331","$38,264,201,563"
Marvel Studios,61,"$12,978,459,542","$33,726,541,326"
Paramount Pictures,143,"$12,046,260,016","$28,562,774,128"
20th Century Fox,105,"$9,991,847,626","$25,080,590,608"
Relativity Media,116,"$7,262,861,915","$15,176,714,944"
DreamWorks Pictures,82,"$6,698,128,458","$13,353,758,516"
Legendary Pictures,60,"$6,310,074,576","$16,262,572,703"
Dune Entertainment,70,"$6,307,177,998","$16,498,964,652"
New Line Cinema,106,"$6,175,853,720","$14,124,239,821"
Disney-Pixar,24,"$6,013,201,814","$14,408,668,663"
Amblin Entertainment,63,"$5,955,058,398","$14,584,849,735"
Regency Enterprises,144,"$5,946,181,275","$12,940,317,968"
DreamWorks Animation,45,"$5,658,598,565","$15,207,820,818"
Lucasfilm,23,"$5,657,196,560","$11,627,844,246"
Village Roadshow Productions,77,"$5,635,843,271","$13,410,480,466"
Lionsgate,160,"$5,060,237,359","$9,731,795,306"
Metro-Goldwyn-Mayer Pictures,94,"$5,043,904,211","$12,168,318,327"
Touchstone Pictures,65,"$4,308,703,316","$8,280,684,053"
RatPac Entertainment,46,"$3,963,515,749","$10,006,907,270"
Walt Disney Animation Studios,23,"$3,760,542,473","$10,196,517,291"
Heyday Films,25,"$3,516,213,744","$11,024,384,106"
Summit Entertainment,71,"$3,360,966,881","$8,459,459,104"
Jerry Bruckheimer,21,"$3,100,355,178","$7,379,881,917"
Bad Robot,20,"$3,053,464,843","$7,137,287,554"
di Bonaventura Pictures,31,"$2,741,315,020","$7,607,033,196"
Fox 2000 Pictures,50,"$2,656,928,451","$5,740,837,222"
Illumination Entertainment,12,"$2,610,573,965","$6,720,546,862"
Imagine Entertainment,52,"$2,608,296,276","$5,306,355,476"
TSG Entertainment,44,"$2,512,954,785","$6,950,270,036"
Original Film,34,"$2,490,233,612","$7,259,811,012"
1492 Pictures,22,"$2,473,204,496","$6,163,030,266"
The Kennedy/Marshall Company,30,"$2,445,568,419","$5,831,950,961"
Working Title Films,95,"$2,428,184,266","$7,757,877,817"
Blumhouse,101,"$2,364,384,903","$4,479,478,035"
Happy Madison,35,"$2,338,633,161","$3,907,145,972"
Spyglass Entertainment,30,"$2,311,618,021","$4,392,491,384"
Perfect World Pictures,35,"$2,286,266,774","$5,976,885,742"
Twentieth Century Fox,42,"$2,201,798,396","$5,694,313,297"
Scott Rudin Productions,43,"$2,135,382,420","$3,737,293,531"
Temple Hill Entertainment,32,"$2,079,270,207","$5,039,635,391"
Skydance Productions,26,"$2,045,149,516","$5,912,612,916"
Wingnut Films,12,"$2,026,409,907","$6,308,739,568"
Silver Pictures,34,"$2,019,545,469","$4,464,395,953"
Syncopy,7,"$1,945,132,877","$4,783,164,222"
PDI,9,"$1,938,568,463","$4,842,419,002"
Tri-Star Pictures,48,"$1,926,572,052","$3,735,131,772"
New Regency,61,"$1,913,138,282","$4,449,958,780"
Eon Productions,25,"$1,907,784,162","$6,355,644,336"
Chernin Entertainment,23,"$1,893,920,161","$4,629,561,720"
Castle Rock Entertainment,52,"$1,863,515,133","$3,090,732,456"
Donners’ Company,15,"$1,797,626,246","$4,551,841,242"
Color Force,12,"$1,780,595,298","$3,471,298,525"
Revolution Studios,35,"$1,764,350,680","$3,128,746,630"
Hasbro Studios,14,"$1,755,071,351","$4,913,495,236"
Sony Pictures Animation,23,"$1,752,216,821","$4,878,307,872"
Screen Gems,51,"$1,728,355,172","$3,359,100,865"
Walden Media,34,"$1,726,270,472","$4,133,489,638"
Overbrook Entertainment,21,"$1,712,188,850","$3,843,172,158"
Fairview Entertainment,6,"$1,670,469,187","$4,048,363,213"
Atlas Entertainment,17,"$1,668,697,466","$4,473,519,540"
Chris Meledandri,7,"$1,642,848,674","$3,713,732,726"
Sunswept Entertainment,15,"$1,632,914,506","$3,926,522,745"
Scott Free Films,46,"$1,618,885,942","$4,149,223,476"
Participant Media,88,"$1,600,372,784","$3,193,365,351"
