title,dom_bo,int_bo,wrld_bo,dvd_sales,blu_sales,total_sales,opening,runtime,legs,share,budget,theater_opening,theater_max,inf_dom_bo,release,vdo_release,mpaa,series,genre,kwrds,src,prd_mthd,creative_type,prd_company,prd_country,lang,synop
"https://www.the-numbers.com/movie/Seeker-The-Dark-is-Rising-The#tab=summary
",8794452,22606288,31400740,13197513,.,.,3745315,99.0,2.35,28.0,.,3141,3173,11644976,"October 5th, 2007","March 18th, 2008",PG,.,adventure,"good vs. evil, secret magic",based on fiction book/short story,live action,fantasy,.,united states,english,"
 

"
"https://www.the-numbers.com/movie/Whats-Your-Number#tab=summary
",14011084,16152701,30163785,5003554,1235556,6239110,5421669,106.0,2.58,46.5,20000000,3002,3011,16095958,"September 30th, 2011","January 10th, 2012",R,.,romantic comedy,"relationship advice, relationships gone wrong, gratuitous cameos, romance, one night stand",original screenplay,live action,contemporary fiction,"Regency Enterprises, New Regency, Contrafilm",united states,english,"ally darling embarks on a quest to find the best ""ex"" of her life, by any means necessary, when she reads a magazine article warning that people who have had 20 or more relationships have missed their chance at true love.
ally is an original modern heroine.  she is smart, attractive, funny and romantic - a young woman trying to figure out who she really is, as well as whom she should be with.  while her quest to find her best ""ex,"" or former boyfriend, is triggered by a magazine article, it also signifies something even more intriguing: ally is at a point in her life when she doesnât have the husband, job or life she thought sheâd have. she is at a crossroads, which leads her to wonder if she has missed something - or someone - important during the past decade. 

"
"https://www.the-numbers.com/movie/Counselor-The#tab=summary
",16973715,54035619,71009334,4453428,2658820,7112248,7842930,111.0,2.16,23.9,25000000,3044,3044,19019667,"October 25th, 2013","February 11th, 2014",R,.,thriller/suspense,"lawyers, romance, narcotics, organized crime, unnamed character",original screenplay,live action,contemporary fiction,"Scott Free Films, Nick Wechsler, Chockstone Pictures, TSG Entertainment, Ingenious Media, Fox 2000 Pictures","united kingdom, united states",english,"a respected lawyer's one-time dalliance with an illegal business deal spirals out of control.
"
"https://www.the-numbers.com/movie/Wont-Back-Down#tab=summary
",5310554,434949,5745503,863742,106956,970698,2603370,121.0,2.04,92.4,19000000,2515,2517,6077782,"September 28th, 2012","January 15th, 2013",PG,.,drama,"agitprop, inspired by a true story, inspirational teacher, political, teachers",original screenplay,live action,contemporary fiction,"Walden Media, Gran Via",united states,english,"two determined mothersâ­, one a teacher, will stop at nothing to transform their children's failing inner city school. facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children. this powerful story of parenthood, friendship and courage mirrors events that are making headlines daily.
"
"https://www.the-numbers.com/movie/Jennifers-Body#tab=summary
",16204793,15738608,31943401,6173265,1814730,7987995,6868397,102.0,2.36,50.7,16000000,2702,2738,19683421,"September 18th, 2009","December 29th, 2009",R,.,thriller/suspense,"rock 'n' roll, musicians, occult, succubi",original screenplay,live action,fantasy,"Fox Atomic, Dubiecki, Novick, Ivan Reitman Production",united states,english,"
 

"
"https://www.the-numbers.com/movie/Sentinel-The#tab=summary
",36280697,41800000,78080697,21359136,.,.,14367854,.,2.53,46.5,60000000,2822,2851,50460627,"April 21st, 2006","August 29th, 2006",PG-13,.,thriller/suspense,hitmen,based on fiction book/short story,live action,contemporary fiction,"20th Century Fox, Regency Enterprises, Further Films, New Regency",united states,.,"
 

"
"https://www.the-numbers.com/movie/Stay#tab=summary
",3626883,491000,4117883,.,.,.,2188199,.,1.66,88.1,.,1684,1684,5154584,"October 21st, 2005",.,R,.,thriller/suspense,surprise twist,original screenplay,live action,contemporary fiction,Regency Enterprises,united states,english,"
 

"
"https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader-The#tab=summary
",104386950,313800000,418186950,38204887,11481502,49686389,24005069,115.0,4.35,25.0,155000000,3555,3555,120426201,"December 10th, 2010","April 8th, 2011",PG,Chronicles of Narnia,adventure,"3-d, prince/princess, dragon, rescue, talking animals, sword and sandal, gratuitous cameos, coming of age, dysfunctional family, voiceover/narration, 3-d - post-production conversion",based on fiction book/short story,animation/live action,fantasy,"Walden Media, Fox 2000 Pictures","united kingdom, united states",english,"edmund and lucy pevensie, along with their cousin eustace and their royal friend king caspian, find themselves swallowed into a painting and on to the narnian ship, the dawn treader. as they embark on an adventure of destiny and discovery, they confront obstacles beyond imagination.
"
"https://www.the-numbers.com/movie/Marine-The#tab=summary
",18844784,3320824,22165608,29928011,.,.,7138774,.,2.64,85.0,15000000,2545,2545,26205944,"October 13th, 2006","January 30th, 2007",PG-13,The Marine,action,"kidnap, returning soldiers, war",original screenplay,live action,contemporary fiction,.,united states,.,"
 

"
"https://www.the-numbers.com/movie/Monte-Carlo#tab=summary
",23186769,16500000,39686769,10041593,983116,11024709,7453944,109.0,3.11,58.4,20000000,2473,2473,26637011,"July 1st, 2011","October 18th, 2011",PG,.,romantic comedy,"mistaken identity, romance, cross-class romance, prince/princess, doppelganger, dysfunctional family, step-family, foreign language, young child dealing with the death of a parent, monte carlo",based on fiction book/short story,live action,contemporary fiction,"Fox 2000 Pictures, Regency Enterprises, Di Novi Pictures",united states,english,"three graduates fulfill their dreams of vacationing in paris. they accidentally find themselves in a lavish world, where they live like royalty and experience romance. but at the end of their journey, they discover the true magic of friendship.
"
"https://www.the-numbers.com/movie/Robert-Rodriguezs-Predators#tab=summary
",52000688,75233701,127234389,23702268,10463477,34165745,24760882,107.0,2.1,40.9,40000000,2669,2669,60041350,"July 9th, 2010","October 19th, 2010",R,Predator,action,"serial killer, special ops, alien invasion, kidnap",original screenplay,live action,science fiction,"Twentieth Century Fox, Troublemaker Studios, Davis Entertainment",united states,english,"royce, a mercenary who reluctantly leads a group of elite warriors who come to realize they've been brought together on an alien planet... as prey. with the exception of a disgraced physician, they are all cold-blooded killers - mercenaries, yakuza, convicts, death squad members - human ""predators"" that are now being systemically hunted and eliminated by a new breed of alien predators.
"
"https://www.the-numbers.com/movie/Watch-The#tab=summary
",34353000,32777045,67130045,6505285,2028471,8533756,12750297,87.0,2.69,51.2,55000000,3168,3168,39316054,"July 27th, 2012","November 13th, 2012",R,.,comedy,"alien invasion, buddy comedy, dysfunctional family",original screenplay,live action,contemporary fiction,"20th Century Fox, Dune Entertainment, 21 Laps Entertainment, Ingenious Media",united states,english,"four everyday suburban guys come together to form a neighborhood watch group, but only as an excuse to escape their wives and their humdrum lives, one night a week.  when they accidentally discover that their town has become overrun with aliens posing as ordinary suburbanites, they have no choice but to save their neighborhood -- and the world -- from total extermination.
"
"https://www.the-numbers.com/movie/Internship-The#tab=summary
",44672764,49000000,93672764,7193934,6018582,13212516,17325307,119.0,2.58,47.7,58000000,3366,3399,50057664,"June 7th, 2013","October 22nd, 2013",PG-13,.,comedy,"fired, generational conflict, delayed adulthood, underdog, screenplay written by the star, internet, job interview",original screenplay,live action,contemporary fiction,"20th Century Fox, Regency Enterprises, Wild West Picture Show, 21 Laps Entertainment",united states,english,"billy and nick are salesmen whose careers have been torpedoed by the digital world. trying to prove they are not obsolete, they defy the odds by talking their way into a coveted internship at google, along with a battalion of brilliant college students. but, gaining entrance to this utopia is only half the battle. now they must compete with a group of the nationâs most elite, tech-savvy geniuses to prove that necessity really is the mother of re-invention.
"
"https://www.the-numbers.com/movie/Sitter-The#tab=summary
",30542576,8206828,38749404,8307319,2495423,10802742,9851435,81.0,3.1,78.8,25000000,2750,2752,35071241,"December 9th, 2011","March 20th, 2012",R,.,comedy,"delayed adulthood, coming of age, bad role models, divorcée romance, gangs, relationships gone wrong, narcotics, infidelity, adopted family, lgbt, corrupt cops, epilogue, improvised, babysitters",original screenplay,live action,contemporary fiction,"20th Century Fox, Michael De Luca, Rough House Pictures",united states,english,"when the world's most irresponsible babysitter takes three of the world's worst kids on an unforgettable overnight adventure through the streets of new york city, it's anyone's guess who's going to make it home in one piece. 
"
"https://www.the-numbers.com/movie/Nims-Island#tab=summary
",48006762,53850663,101857425,21685506,.,.,13210579,96.0,3.63,47.1,37000000,3513,3518,60911091,"April 4th, 2008","August 5th, 2008",PG,.,adventure,"writing and writers, rescue",based on fiction book/short story,live action,fantasy,Walden Media,united states,english,"
 

"
"https://www.the-numbers.com/movie/Secret-Life-of-Walter-Mitty-The-(2012)#tab=summary
",58236838,129624345,187861183,10114255,5668720,15782975,12765508,114.0,4.56,31.0,91000000,2909,2922,65186733,"December 25th, 2013","April 15th, 2014",PG,.,adventure,"fantasy sequence, delayed adulthood, mid-life crisis, romance, unrequited love, directing yourself, development hell",based on fiction book/short story,live action,contemporary fiction,"Samuel Goldwyn Films, Red Hour Productions, New Line Cinema",united states,english,"a day-dreamer escapes his anonymous life by disappearing into a world of fantasies filled with heroism, romance and action. when his job, along with that of his co-worker, are threatened, walter takes action in the real world, embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.
"
"https://www.the-numbers.com/movie/Mr-Poppers-Penguins#tab=summary
",68224452,121400000,189624452,25097355,6023649,31121004,18445355,93.0,3.7,36.0,55000000,3339,3342,78376391,"June 17th, 2011","December 6th, 2011",PG,.,adventure,"family movie, animal lead, dysfunctional family, inheritance, corporate life, mid-life crisis",based on fiction book/short story,live action,kids fiction,"20th Century Fox, Davis Entertainment, Dune Entertainment",united states,english,"in this family comedy, mr. popper, is a driven businessman who is clueless when it comes to the important things in life - until he inherits six penguins. popper's penguins turn his swank new york apartment into a snowy winter wonderland - and the rest of his life upside-down. filmed on a refrigerated soundstage with real emperor penguins, mr. popper's penguins is a contemporary adaptation of the classic book.
"
"https://www.the-numbers.com/movie/Mr-Magoriums-Wonder-Emporium#tab=summary
",32061555,36130088,68191643,25166755,.,.,9630085,96.0,3.33,47.0,.,3164,3168,42400245,"November 16th, 2007","March 4th, 2008",G,.,comedy,living toys,original screenplay,live action,fantasy,"Mandate Pictures, Walden Media",united states,english,"
 

"
"https://www.the-numbers.com/movie/John-Tucker-Must-Die#tab=summary
",41011711,27812815,68824526,32808182,.,.,14276534,.,2.87,59.6,.,2560,2566,57040707,"July 28th, 2006","November 14th, 2006",PG-13,.,comedy,.,original screenplay,live action,contemporary fiction,Regency Enterprises,united states,.,"
 

"
