title,dom_bo,int_bo,wrld_bo,dvd_sales,blu_sales,total_sales,opening,runtime,legs,share,budget,theater_opening,theater_max,inf_dom_bo,release,vdo_release,mpaa,series,genre,kwrds,src,prd_mthd,creative_type,prd_company,prd_country,lang,synop
"/movie/Chicano-El-(2019)#tab=summary
",700261,.,3206,.,.,.,700261,107.0,1.0,100.0,8000000,605,605,700261,"May 3rd, 2019","July 30th, 2019",R,.,drama,"los angeles, police detective, death of a son or daughter, suicide, gangs, gang warfare, faked suicide, lapd, revenge, hispanic",original screenplay,live action,contemporary fiction,"Briarcliff Entertainment, War Party",united states,"english, spanish","when l.a.p.d. detective diego hernandez is assigned a career-making case investigating a vicious cartel, he uncovers links to his brotherâs supposed suicide and a turf battle thatâs about to swallow his neighborhood. torn between playing by the book and seeking justice, he resurrects the masked street legend el chicano. now, out to take down his childhood buddy turned gang boss, he sets off a bloody war to defend his city and avenge his brotherâs murder.
"
"/movie/Secret-of-Kells-The#tab=summary
",690290,2892507,3582797,.,.,.,39826,.,12.22,19.3,8000000,1,37,797025,"March 5th, 2010","October 5th, 2010",Not,.,adventure,.,.,hand animation,historical fiction,.,ireland,english,"
 

"
"/movie/Mr-Church#tab=summary
",685780,.,412683,609108,.,.,338551,104.0,2.03,100.0,8000000,354,354,722241,"September 16th, 2016","October 25th, 2016",PG-13,.,drama,"young child dealing with the death of a parent, 1960s",original screenplay,live action,historical fiction,"Cinelou Films, EMA Films, Shenghua Entertainment, Voltage Pictures",united states,english,"the story of a unique friendship that develops when a little girl and her dying mother retain the services of a talented cook â henry joseph church. what begins as a six-month arrangement, instead spans fifteen years, and creates a family bond that lasts forever.
mr. church is a heartwarming film that challenges the notions of family and unconditional love. set in a time when social boundaries were far more rigid, henry joseph church takes on the role of surrogate father to a young girl as she struggles through the loss of her only present parent. he willingly accepts the responsibility of being the sole bread winner, chef, and teacher of the arts, supporting charlie and her terminally ill mother; all the while creating a genuine loving environment as a member of this unlikely family.


"
"/movie/Prefontaine#tab=summary
",590817,.,.,.,.,.,311253,106.0,1.9,100.0,8000000,201,201,1172621,"January 24th, 1997","September 3rd, 2002",PG-13,.,drama,.,based on real life events,live action,dramatization,.,united states,english,"
 

"
"/movie/Wicked-Lady-The#tab=summary
",589308,.,59024,.,.,.,360772,98.0,1.63,100.0,8000000,348,348,1704308,"October 28th, 1983","April 21st, 2015",R,.,drama,.,based on fiction book/short story,live action,historical fiction,.,united kingdom,english,"
 

"
"/movie/Down-in-the-Valley-(2006)#tab=summary
",568932,404511,973443,.,.,.,22806,.,7.49,58.4,8000000,3,28,791285,"May 5th, 2006",.,R,.,western,.,original screenplay,live action,historical fiction,.,united states,english,"
 

"
"/movie/Brooklyn-Rules#tab=summary
",458232,.,.,.,.,.,41811,.,7.78,100.0,8000000,1,18,606753,"May 11th, 2007",.,R,.,drama,.,original screenplay,live action,historical fiction,.,.,.,"
 

"
"/movie/Singing-Detective-The#tab=summary
",336456,188291,524747,.,.,.,28324,108.0,5.92,64.1,8000000,5,45,507901,"October 24th, 2003",.,R,.,comedy,.,based on tv,live action,contemporary fiction,"Icon Productions, Haft Entertainment",united states,english,"
 

"
"/movie/Ma-vie-de-Courgette-(France)#tab=summary
",309768,9935975,10245743,.,.,.,28472,66.0,5.65,3.0,8000000,2,52,314596,"February 24th, 2017","May 9th, 2017",PG-13,.,adventure,"dysfunctional family, orphan, orphanage, young child dealing with the death of a parent, accidental death, addiction, first love, adopted family",based on fiction book/short story,stop-motion animation,kids fiction,"Rita Productions, Blue Spirit Productions, Gebeka Films, KNM, Radio Television Suisse, SSR, SRG, Rhone-Alpes Cinema, France 3 Cinema, Helium Films, Office Federal De La Culture, Cineforom, Eurimages, Canal Plus, Centre National du Cinema et de L Image Animee, France Television, Indie Sales Company, Indie Invest, Cine Plus, Suissimage, Region Rhone Alps","france, switzerland",french,"after his motherâs sudden death, zucchini is befriended by a police officer, raymond, who accompanies him to his new foster home, filled with other orphans his age. at first he struggles to find his place in this at times strange and hostile environment. but with raymond's help and his newfound friends, zucchini eventually learns to trust and love, as he searches for a new family of his own.
"
"/movie/Fido#tab=summary
",298110,158704,456814,.,.,.,10203,.,28.82,65.3,8000000,2,4,394727,"June 15th, 2007","October 23rd, 2007",R,.,horror,.,original screenplay,live action,fantasy,.,.,.,"
 

"
"/movie/London-Fields#tab=summary
",252676,181056,433732,.,.,.,168575,118.0,1.5,58.3,8000000,613,613,252676,"October 26th, 2018","February 12th, 2019",R,.,thriller/suspense,"love triangle, near death experience, psychics, riots, film noir, voiceover/narration, femme fatale",based on fiction book/short story,live action,historical fiction,"GVN Releasing, Hero Entertainment, Picturepro LLC, Gap Financing, Muse Productions, Media Talent Group, Mirada Studios, Demarest Films, Lipsync Productions, Head Gear Films, Blazepoint Limited, Curiously Bright Entertainment, Periscope Entertainment, Arrival Entertainment, Living the Dream Films","united kingdom, united states",english,"recently arrived in london in the hope of writing one last book before succumbing to a fatal illness, american author samson young falls in with a cast of characters who just might give him the story he is looking for. first, there is keith talent a small- time crook and dart player always on the lookout for his next scam. then there's guy clinch, an upper class banker who hangs out at ned's favorite pub, searching for distraction from his boring life, his spoiled wife, and their monstrous toddler. and, just like a scene from a movie, into their lives walks nicola six, a spectacularly beautiful woman-of-mystery who instantly ensnares all three men with her charms. of course, ned and keith want to possess her, but sam sees something else-in nicola he sees the heroine of the book he so desperately wants to write. following her, studying her, and watching her become a different woman depending upon which man she is seducing, sam starts weaving a tale, based on nicola, or nicola as he imagines her to be. he also discovers that the reason she lives like there's no tomorrow, is that she's fed up with her life and has secretly been plotting her own murder. now that sam knows the climax of his story, the only question is who will the murderer be? is it keith, the criminal, guy, the millionaire, or is it sam himself-a dying man practicing a dying art, who will do anything to end his book-and his life-with a big bang?
"
