title,dom_bo,int_bo,wrld_bo,dvd_sales,blu_sales,total_sales,opening,runtime,legs,share,budget,theater_opening,theater_max,inf_dom_bo,release,vdo_release,mpaa,series,genre,kwrds,src,prd_mthd,creative_type,prd_company,prd_country,lang,synop
"/movie/Avengers-Endgame-(2019)#tab=summary
",858373000,1939427564,2797800564,19581271,69437591,89018862,357115007,181.0,2.4,30.7,400000000,4662,4662,858373000,"April 26th, 2019","July 30th, 2019",PG-13,Marvel Cinematic UniverseAvengers,action,"ensemble, marvel comics, animal lead, non-chronological, super villains, death of a best friend, motion capture performance, 3-d, 3-d - post-production conversion, imax: dmr",based on comic/graphic novel,animation/live action,super hero,Marvel Studios,united states,english,"the grave course of events set in motion by thanos that wiped out half the universe and fractured the avengers ranks compels the remaining avengers to take one final stand in marvel studiosâ grand conclusion to twenty-two films, âavengers: endgame.â
"
"/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary
",241063875,804600000,1045663875,35478573,58936309,94414882,90151958,136.0,2.67,23.1,379000000,4155,4164,276934662,"May 20th, 2011","October 18th, 2011",PG-13,Pirates of the Caribbean,adventure,"pirates, zombies, visual effects, romance, epilogue, revenge, sequels without their original stars, 3-d, foreign language, escape, mermaids, imax: dmr",based on theme park ride,live action,fantasy,Walt Disney Pictures,united states,english,"when captain jack sparrow crosses paths with the enigmatic angelica, he's not sure if it's love - or if she's a ruthless con artist who's using him to find the fabled fountain of youth. when she forces him aboard the ""queen anne's revenge,"" the ship of the legendary pirate blackbeard, jack finds himself on an unexpected adventure in which he doesn't know whom to fear more: blackbeard or angelica, with whom he shares a mysterious past.  
"
"/movie/Avengers-Age-of-Ultron#tab=summary
",459005868,944008095,1403013963,33569045,55802159,89371204,191271109,141.0,2.4,32.7,365000000,4276,4276,496031246,"May 1st, 2015","September 8th, 2015",PG-13,Marvel Cinematic UniverseAvengers,action,"marvel comics, robot, end of the world, hallucinations, motion capture performance, 3-d, 3-d - post-production conversion, imax: dmr",based on comic/graphic novel,animation/live action,super hero,Marvel Studios,united states,english,"when tony stark tries to jumpstart a dormant peacekeeping program, things go awry and earthâs mightiest heroes, including iron man, captain america, thor, the incredible hulk, black widow and hawkeye, are put to the ultimate test as the fate of the planet hangs in the balance. as the villainous ultron emerges, it is up to the avengers to stop him from enacting his terrible plans, which soon leads to some uneasy alliances. along the way, they confront two mysterious and powerful newcomers, wanda and pietro maximoff and meet an old friend in a new form, vision.
"
"/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary
",936662225,1131561399,2068223624,39088352,151559711,190648063,247966675,136.0,3.78,45.3,306000000,4134,4134,1006872847,"December 18th, 2015","April 1st, 2016",PG-13,Star Wars,adventure,"space opera, good vs. evil, delayed sequel, intertitle, robot, sequels with returning stars, dysfunctional family, gratuitous cameos, motion capture performance, 3-d, 3-d - post-production conversion, imax: dmr",original screenplay,animation/live action,science fiction,"Lucasfilm, Bad Robot",united states,english,"rey, a scavenger from the planet jakku, and renegade stormtrooper fn-2187 (nickname âfinnâ) embark with resistance pilot poe dameron on a quest to destroy starkiller base and search for luke skywalker, the last remaining jedi.
"
"/movie/Avengers-Infinity-War#tab=summary
",678815482,1369544272,2048359754,23700665,77736363,101437028,257698183,156.0,2.63,33.1,300000000,4474,4474,678815482,"April 27th, 2018","July 31st, 2018",PG-13,Marvel Cinematic UniverseAvengers,action,"marvel comics, robot, end of the world, hallucinations, super villains, ensemble, franchise crossover, outer space, gods and goddesses, non-chronological, death of a sibling, motion capture performance, 3-d, 3-d - post-production conversion, imax: dmr",based on comic/graphic novel,animation/live action,super hero,Marvel Studios,united states,english,"as the avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: thanos. a despot of intergalactic infamy, his goal is to collect all six infinity stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. everything the avengers have fought for has led up to this momentâthe fate of earth and existence itself has never been more uncertain. 
"
"/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary
",309420425,654000000,963420425,314040375,7640482,321680857,114732820,167.0,2.7,32.1,300000000,4362,4362,409712211,"May 24th, 2007","December 4th, 2007",PG-13,Pirates of the Caribbean,adventure,"pirates, visual effects, 1700s, motion capture performance",based on theme park ride,live action,historical fiction,"Walt Disney Pictures, Jerry Bruckheimer",united states,english,"
 

"
"/movie/Justice-League-(2017)#tab=summary
",229024295,426920914,655945209,19449630,40475432,59925062,93842239,121.0,2.44,34.9,300000000,4051,4051,232544520,"November 17th, 2017","February 13th, 2018",PG-13,DC Extended Universe,action,"ensemble, d.c. comics, cyborg, end of the world, secret identity, surprise twist, alien invasion, scene in end credits, slow motion scene, underwater, atlantis, kidnap, royalty, motion capture performance, 3-d, 3-d - post-production conversion, imax: dmr",based on comic/graphic novel,live action,super hero,"DC Films, RatPac Entertainment, Atlas Entertainment, Cruel and Unusual Films",united states,english,"fueled by his restored faith in humanity and inspired by supermanâs selfless act, bruce wayne enlists the help of his newfound ally, diana prince, to face an even greater enemy.  together, batman and wonder woman work quickly to find and recruit a team of meta-humans to stand against this newly awakened threat.  but despite the formation of this unprecedented league of heroesâbatman, wonder woman, aquaman, cyborg and the flashâit may already be too late to save the planet from an assault of catastrophic proportions.
"
"/movie/Spectre#tab=summary
",200074175,679546748,879620923,12917812,24092452,37010264,70403148,148.0,2.84,22.7,300000000,3929,3929,216131343,"November 6th, 2015","January 22nd, 2016",PG-13,James Bond,action,"secret agent, shadowy organization, the past catching up with you, development hell, prologue, intertitle, mexico, imax: dmr",based on fiction book/short story,live action,contemporary fiction,Eon Productions,"united kingdom, united states",english,"a cryptic message from the past sends james bond on a rogue mission to mexico city and eventually rome, where he meets lucia sciarra, the beautiful and forbidden widow of an infamous criminal. bond infiltrates a secret meeting and uncovers the existence of the sinister organization known as spectre. meanwhile back in london, max denbigh, the new head of the centre for national security, questions bondâs actions and challenges the relevance of mi6, led by m. bond covertly enlists moneypenny and q to help him seek out madeleine swann, the daughter of his old nemesis mr white, who may hold the clue to untangling the web of spectre. as bond ventures towards the heart of spectre, he learns of a chilling connection between himself and the enemy he seeks.
"
"/movie/Star-Wars-The-Rise-of-Skywalker-(2019)#tab=summary
",513563372,555783615,1069346987,.,.,.,177383864,142.0,2.9,48.0,275000000,4406,4406,513563372,"December 20th, 2019","March 17th, 2020",PG-13,Star Wars,adventure,"space opera, robot, good vs. evil, outer space, dysfunctional family, intertitle, family affair, 3-d, 3-d - post-production conversion, imax: dmr",original screenplay,animation/live action,science fiction,"Lucasfilm, Bad Robot, Walt Disney Pictures",united states,english,"no oneâs ever really goneâ¦ reyâs journey continues and the skywalker saga concludes.
"
"/movie/Solo-A-Star-Wars-Story#tab=summary
",213767512,179383835,393151347,16048812,39496763,55545575,84420489,135.0,2.53,54.4,275000000,4381,4381,213767512,"May 25th, 2018","September 14th, 2018",PG-13,Star Wars,adventure,"prequel, space opera, smuggler, heist, origin story, romance, relationships gone wrong, organized crime, crime boss, intertitle, prologue, motion capture performance, 3-d, 3-d - post-production conversion, imax: dmr",spin-off,animation/live action,science fiction,Lucasfilm,united states,english,"through a series of daring escapades deep within a dark and dangerous criminal underworld, han solo meets his mighty future copilot chewbacca and encounters the notorious gambler lando calrissian, in a journey that will set the course of one of the star wars sagaâs most unlikely heroes.
"
