movie_id,reviews_users,reviews_critics
tt4154796,8538,543
tt1298650,524,465
tt2395427,1276,688
tt4154756,4158,601
tt0449088,1275,326
tt0974015,1951,492
tt2379713,1115,636
tt3778644,2416,536
tt0401729,866,480
tt2975590,3595,801
tt6105098,2671,357
tt0398286,453,339
tt0413300,2045,419
tt3498820,1375,663
tt0417741,1027,395
tt1170358,983,529
tt2310332,875,447
tt4630562,580,422
tt2382320,.,.
tt0499549,3343,731
tt0348150,2407,416
tt1345836,2913,842
tt1790809,637,406
tt0830515,1283,335
tt0848228,1906,745
tt0383574,1871,322
tt0770828,2705,760
tt0499448,456,264
tt1210819,757,466
tt6723592,1,.
tt0948470,1316,630
tt1440129,840,392
tt3371366,851,291
tt0369610,1505,689
tt1409024,386,454
tt1055369,1486,375
tt2109248,998,401
tt0376994,1955,349
tt0955308,617,342
tt0360717,2674,460
tt0385752,703,261
tt1825683,3114,673
tt0120338,2758,326
tt3606756,1045,387
tt3748528,1693,700
tt2277860,414,445
tt1979376,1181,371
tt0435761,838,476
tt1300854,1275,646
tt3896198,1004,577
tt0316654,1443,319
tt1014759,769,469
tt1074638,1558,735
tt0903624,1419,663
tt1453405,307,390
tt1623205,537,543
tt1877832,807,564
tt1872181,1162,534
tt1216475,325,317
tt6806448,1137,294
tt1104001,726,480
tt1190080,1151,229
tt4123430,1437,327
tt0438488,1057,438
tt1133985,620,440
tt6565702,1898,329
tt1399103,927,435
tt2345759,882,431
tt1351685,221,321
tt2820852,724,454
tt1408101,1229,618
tt0816711,1082,669
tt1343092,861,507
tt1663662,1219,603
tt1979388,456,333
tt0371746,1273,529
tt0468569,6497,419
tt0367882,2130,468
tt1217209,481,505
tt3731562,926,578
tt2660888,803,476
tt4777008,571,193
tt1856101,2245,633
tt6450804,2489,327
tt6139732,2137,332
tt3501632,1525,515
tt1587310,732,426
tt3183660,792,439
tt0910970,1192,267
tt0293564,233,170
tt0918940,455,327
tt0970179,735,703
tt2239822,1053,377
tt1617661,870,413
tt4912910,1578,482
tt3385516,817,483
tt4779682,1413,392
tt1631867,922,623
tt4154664,7077,494
tt3040964,572,450
tt2096673,982,583
tt2250912,1310,558
tt1386697,2188,696
tt1049413,822,422
tt2380307,963,399
tt5848272,744,269
tt0892782,207,231
tt3606752,322,273
tt1046173,546,129
tt0120891,633,95
tt0859163,543,281
tt0413099,.,.
tt0114898,359,122
tt6673612,439,155
tt1972591,910,350
tt1335975,362,227
tt4881806,1766,472
tt2015381,1346,713
tt1228705,843,487
tt1843866,898,608
tt2103281,671,551
tt0338348,516,178
tt1735898,746,431
tt0181852,1695,291
tt0338526,.,.
tt3861390,700,314
tt3741700,2034,364
tt1964418,584,470
tt0437086,2606,342
tt2567026,224,272
tt0892791,200,224
tt1211837,914,576
tt2245084,529,412
tt0892769,601,306
tt1772341,423,396
tt0816692,3698,614
tt1628841,859,370
tt2771200,1069,516
tt6320628,1910,401
tt1477834,3762,431
tt0413267,352,228
tt1375666,3515,447
tt1951266,440,423
tt0831387,1618,639
tt1270798,753,525
tt0421715,910,317
tt0963966,253,239
tt0409182,661,230
tt0803096,972,364
tt1302006,2477,402
tt1860357,271,305
tt1340138,1032,512
tt2557478,704,299
tt0346491,1420,238
tt3450958,849,462
tt0213149,2004,195
tt0418279,1849,394
tt4520988,928,242
tt0451279,2100,699
tt2294629,1055,441
tt2948356,660,475
tt0373889,1157,349
tt0330373,1944,313
tt0234215,2766,288
tt0480249,1503,325
tt3521164,478,387
tt0448157,637,315
tt0372784,2829,314
tt0367594,1409,288
tt0382932,707,334
tt1981115,680,518
tt2381249,525,509
tt5013056,2280,614
tt0800369,894,555
tt0479952,137,164
tt0458525,698,239
tt1078912,221,186
tt1302011,234,291
tt1392190,1924,816
tt5884052,837,272
tt0242653,2107,260
tt1677720,1916,568
tt0371606,273,157
tt0317919,902,325
tt0808151,490,198
tt0332452,1769,207
tt0938283,1492,290
tt0389790,290,191
tt0436339,93,145
tt0397892,208,232
tt1646987,264,319
tt0442933,529,292
tt1077368,517,536
tt2334879,492,352
tt0780653,461,375
tt2034800,472,312
tt3332064,218,275
tt1305591,123,134
tt6304710,.,.
tt0424095,137,140
tt1277953,176,214
tt1229238,564,455
tt1646971,394,315
tt0120855,.,.
tt0864835,157,204
tt1446192,209,269
tt0318649,485,156
tt1289401,2130,685
tt0246460,1190,125
tt0796366,1636,544
tt0120591,1198,170
tt0458339,846,552
tt2267968,191,239
tt0122151,306,152
tt1583421,307,360
tt0325710,1016,165
tt0369441,280,139
tt1528100,731,327
tt3691740,245,364
tt1025100,819,255
tt2404233,441,212
tt1745960,.,.
tt0145487,2110,319
tt0409459,1378,481
tt0382992,395,149
tt0800080,773,391
tt0286716,1477,283
tt0173840,781,77
tt1673434,360,330
tt0481499,221,270
tt1663202,1528,631
tt0143145,705,107
tt1192628,375,375
tt0311113,712,258
tt1860353,108,168
tt3949660,222,238
tt1402488,85,159
tt0430357,965,248
tt5523010,417,169
tt0407304,2821,413
tt1911658,139,164
tt1951264,704,520
tt0304141,1563,293
tt0440963,.,.
tt5095030,917,429
tt0441773,400,274
tt0478970,690,573
tt1528854,189,174
tt5028340,1073,299
tt0448694,147,253
tt1001526,240,235
tt0172156,542,111
tt2357291,109,166
tt0944835,558,335
tt1959490,1370,444
tt0983193,481,456
tt1815862,832,367
tt0455824,475,247
tt0790736,245,215
tt2386490,645,206
tt1324999,466,330
tt0130623,.,.
tt3315342,1512,630
tt2692250,152,162
tt1951265,596,427
tt0241527,1665,266
tt7975244,609,202
tt0382625,2009,314
tt1596343,414,368
tt1291150,533,360
tt1515091,438,387
tt0319262,1207,247
tt3874544,221,188
tt0800320,672,350
tt1679335,180,181
tt0120685,848,108
tt1446714,2512,828
tt1194173,551,453
tt0118688,1117,213
tt5758778,733,299
tt1386703,587,416
tt2094766,628,329
tt3095734,90,116
tt0120657,.,.
tt7504726,67,81
tt0170016,563,134
tt0177971,785,235
tt4196776,681,397
tt0454876,854,565
tt0259324,710,289
tt2231461,641,323
tt0305357,569,113
tt1535108,906,498
tt1483013,984,558
tt3717490,513,299
tt0243585,76,71
tt1234721,684,522
tt0296572,.,.
tt3113456,8,30
tt0811080,443,281
tt0399201,934,263
tt1341188,237,157
tt1013743,397,295
tt1270797,3547,392
tt0198781,642,262
tt1430132,603,467
tt0118928,302,100
tt2381991,210,281
tt0245562,460,157
tt1320261,130,186
tt3411444,133,136
tt5463162,1278,519
tt1454468,2053,775
tt0477347,468,172
tt2126355,595,393
tt0472181,166,181
tt0337978,817,369
tt0349903,659,210
tt0120347,.,.
tt0187393,1171,201
tt1253863,567,379
tt0338751,821,264
tt1355644,1131,415
tt0990407,466,451
tt1935859,413,321
tt0433035,464,335
tt2283336,975,255
tt0429493,392,324
tt2017020,72,130
tt1111422,325,279
tt1731141,616,336
tt0299172,99,101
tt0120179,273,86
tt0320661,997,225
tt1219827,995,440
tt0327437,197,182
tt0120737,5256,332
tt0312528,569,115
tt0248667,383,175
tt3659388,1255,617
tt3640424,295,308
tt0343818,826,231
tt0164912,192,102
tt0780521,233,239
tt0443649,588,256
tt3416828,124,146
tt0141907,93,61
tt4649466,682,357
tt0187078,.,.
tt0172495,2570,252
tt1620680,873,267
tt1152836,614,359
tt0381061,2359,344
tt0181689,1358,258
tt4701182,1254,235
tt1371111,954,518
tt0295297,901,237
tt0103064,1209,289
tt0112462,598,179
tt0133152,1370,242
tt0368891,725,198
tt1853728,1439,834
tt8579674,1953,411
tt0970866,164,180
tt0111503,385,95
tt0765429,496,316
tt0844471,176,191
tt1386588,368,276
tt0339291,622,181
tt0993846,1341,639
tt0848537,126,211
tt0116213,145,74
tt0116583,271,86
tt0120917,318,140
tt1764651,495,399
tt0386117,412,343
tt0449010,1717,183
tt1267297,294,261
tt1243957,431,328
tt0146675,534,169
tt0327162,423,173
tt0423294,128,160
tt0450259,713,174
tt6924650,649,145
tt1219342,174,187
tt0120201,1106,196
tt0457400,272,153
tt0316396,485,160
tt6428676,162,81
tt0327554,712,130
tt2333784,385,340
tt0133240,245,130
tt0947810,275,267
tt1981128,656,151
tt2058673,253,190
tt1390411,253,318
tt2209764,534,374
tt0362165,266,75
tt1571234,972,212
tt0180052,179,63
tt3089630,.,.
tt2452042,187,239
tt3513498,388,221
tt4532826,1046,173
tt0209163,914,214
tt0217505,1207,234
tt2316204,1998,578
tt1661199,419,373
tt1667889,145,235
tt0265086,1141,216
tt1261945,323,223
tt0814255,465,225
tt1790886,183,261
tt0477080,355,323
tt0119116,838,205
tt0138749,154,76
tt0380510,667,311
tt2638144,252,224
tt1121096,181,186
tt0266543,937,145
tt0167260,3566,349
tt0167261,2505,319
tt0146316,840,208
tt5026378,.,.
tt0163025,1291,222
tt1318514,701,556
tt0416236,142,193
tt0317705,923,297
tt1606378,551,427
tt0318974,302,100
tt0112760,182,68
tt0359950,625,376
tt2283362,827,322
tt0119654,334,158
tt0120363,578,211
tt0266915,402,133
tt0988045,675,424
tt1080016,141,189
tt1502397,522,200
tt0161081,691,197
tt1436562,204,241
tt7131622,4462,580
tt0407887,2244,363
tt0160127,652,193
tt0120762,269,133
tt0942385,621,326
tt1568346,707,534
tt0118884,682,170
tt0960144,408,204
tt0112864,374,166
tt2404435,467,380
tt3794354,472,160
tt2974918,67,73
tt0230011,308,144
tt0985699,462,175
tt2120120,439,280
tt0338094,186,133
tt0164052,644,195
tt0373926,419,230
tt1854564,225,192
tt0325703,327,169
tt3110958,328,281
tt0266987,.,.
tt0120053,.,.
tt0183523,.,.
tt1365519,1212,399
tt0182789,383,103
tt0349683,918,179
tt0120461,203,93
tt0118972,123,70
tt0267626,283,126
tt0816462,363,330
tt1509767,289,234
tt7232438,7,13
tt1041804,38,49
tt5519340,926,159
tt0478855,30,24
tt0117998,414,126
tt0352248,586,212
tt3829266,2493,399
tt0120667,1022,110
tt0212985,1387,286
tt0329575,468,164
tt0162222,1139,231
tt0366548,572,205
tt0240772,912,206
tt0372183,.,.
tt0118571,417,155
tt1013752,260,241
tt0451079,157,194
tt1840309,783,472
tt0837562,211,274
tt0448115,1938,361
tt0461770,416,229
tt1599348,306,307
tt0496806,309,250
tt1230414,234,190
tt0120660,442,91
tt0400717,112,107
tt0471042,211,237
tt0211181,.,.
tt1667353,223,388
tt0457939,551,168
tt0463985,427,175
tt0397535,570,228
tt0215750,693,193
tt0107362,293,113
tt0327850,264,156
tt1430607,102,202
tt1293847,363,276
tt0119643,.,.
tt1287468,65,93
tt0233469,325,140
tt0284490,168,102
tt0113492,.,.
tt0443706,715,406
tt0446029,628,415
tt0298814,502,154
tt1804538,.,.
tt1485796,1736,327
tt0267913,537,142
tt0144528,181,96
tt1821694,223,248
tt0389860,761,177
tt0413895,109,116
tt0489099,511,239
tt0411477,372,363
tt0398165,331,139
tt1320253,759,436
tt7713068,1117,301
tt0216216,297,155
tt0315327,631,194
tt1392170,2010,683
tt1411697,409,387
tt0117060,432,188
tt4116284,320,393
tt2510894,148,179
tt0103776,665,190
tt5113040,262,150
tt0120616,1038,123
tt0327084,280,160
tt0275847,382,195
tt0120647,.,.
tt2191701,303,140
tt1615918,65,90
tt0425061,430,270
tt0358082,286,165
tt1130884,1182,525
tt0337741,410,148
tt0369436,148,146
tt0119092,44,16
tt0960731,130,149
tt0257044,1039,216
tt1564367,250,204
tt0287978,1050,286
tt1059786,349,214
tt0118880,386,141
tt1302067,110,146
tt0159365,689,188
tt1037705,630,336
tt0119137,76,58
tt0171363,826,171
tt0117705,169,65
tt2713180,875,429
tt6182908,209,123
tt0383216,447,150
tt1222817,134,181
tt0970416,754,281
tt0118883,170,85
tt0120828,.,.
tt0166813,244,108
tt0244244,553,161
tt0120738,396,113
tt0368008,378,214
tt0453467,446,207
tt0374536,511,172
tt0268695,654,128
tt0120889,668,123
tt0120751,92,40
tt2935510,2587,400
tt0386140,252,129
tt0185431,248,88
tt0986263,273,273
tt0251075,426,158
tt0355295,505,242
tt0116996,439,135
tt0405469,166,105
tt1762399,77,115
tt0146309,.,.
tt0116040,.,.
tt1618442,173,219
tt1921064,366,283
tt0318155,167,104
tt0875034,246,206
tt0300556,472,130
tt1723746,.,.
tt0120595,224,65
tt0119925,411,82
tt0199753,.,.
tt0427392,300,236
tt0318081,310,116
tt6141246,292,115
tt0110357,922,226
tt1397514,167,181
tt0810913,344,162
tt0268978,1252,209
tt1985966,103,180
tt0289765,775,218
tt0317648,349,143
tt0311429,803,213
tt0204313,311,171
tt1754656,127,158
tt4106376,71,54
tt3766354,679,229
tt1690953,307,319
tt0322259,402,108
tt0206634,1316,317
tt0131704,199,52
tt2709768,322,288
tt0116629,921,211
tt2709692,540,183
