prd_company,num_movies,com_dom_bo,com_wrld_bo
Warner Bros.,240,18794567812,43565575875
Columbia Pictures,234,18125160061,40846061401
Universal Pictures,239,17582725036,42395375983
Walt Disney Pictures,126,15746091331,38264201563
Marvel Studios,61,12978459542,33726541326
Paramount Pictures,143,12046260016,28562774128
20th Century Fox,105,9991847626,25080590608
Relativity Media,116,7262861915,15176714944
DreamWorks Pictures,82,6698128458,13353758516
Legendary Pictures,60,6310074576,16262572703
Dune Entertainment,70,6307177998,16498964652
New Line Cinema,106,6175853720,14124239821
Disney-Pixar,24,6013201814,14408668663
Amblin Entertainment,63,5955058398,14584849735
Regency Enterprises,144,5946181275,12940317968
DreamWorks Animation,45,5658598565,15207820818
Lucasfilm,23,5657196560,11627844246
Village Roadshow Productions,77,5635843271,13410480466
Lionsgate,160,5060237359,9731795306
Metro-Goldwyn-Mayer Pictures,94,5043904211,12168318327
Touchstone Pictures,65,4308703316,8280684053
RatPac Entertainment,46,3963515749,10006907270
Walt Disney Animation Studios,23,3760542473,10196517291
Heyday Films,25,3516213744,11024384106
Summit Entertainment,71,3360966881,8459459104
Jerry Bruckheimer,21,3100355178,7379881917
Bad Robot,20,3053464843,7137287554
di Bonaventura Pictures,31,2741315020,7607033196
Fox 2000 Pictures,50,2656928451,5740837222
Illumination Entertainment,12,2610573965,6720546862
Imagine Entertainment,52,2608296276,5306355476
TSG Entertainment,44,2512954785,6950270036
Original Film,34,2490233612,7259811012
1492 Pictures,22,2473204496,6163030266
The Kennedy/Marshall Company,30,2445568419,5831950961
Working Title Films,95,2428184266,7757877817
Blumhouse,101,2364384903,4479478035
Happy Madison,35,2338633161,3907145972
Spyglass Entertainment,30,2311618021,4392491384
Perfect World Pictures,35,2286266774,5976885742
Twentieth Century Fox,42,2201798396,5694313297
Scott Rudin Productions,43,2135382420,3737293531
Temple Hill Entertainment,32,2079270207,5039635391
Skydance Productions,26,2045149516,5912612916
Wingnut Films,12,2026409907,6308739568
Silver Pictures,34,2019545469,4464395953
Syncopy,7,1945132877,4783164222
PDI,9,1938568463,4842419002
Tri-Star Pictures,48,1926572052,3735131772
New Regency,61,1913138282,4449958780
Eon Productions,25,1907784162,6355644336
Chernin Entertainment,23,1893920161,4629561720
Castle Rock Entertainment,52,1863515133,3090732456
Donners’ Company,15,1797626246,4551841242
Color Force,12,1780595298,3471298525
Revolution Studios,35,1764350680,3128746630
Hasbro Studios,14,1755071351,4913495236
Sony Pictures Animation,23,1752216821,4878307872
Screen Gems,51,1728355172,3359100865
Walden Media,34,1726270472,4133489638
Overbrook Entertainment,21,1712188850,3843172158
Fairview Entertainment,6,1670469187,4048363213
Atlas Entertainment,17,1668697466,4473519540
Chris Meledandri,7,1642848674,3713732726
Sunswept Entertainment,15,1632914506,3926522745
Scott Free Films,46,1618885942,4149223476
Participant Media,88,1600372784,3193365351
Mandeville Films,25,1599408407,3213497058
Ingenious Media,55,1595869296,4411211872
Zancuk Company,12,1587742375,3834857681
Davis Entertainment,41,1554093343,3735103647
Blue Sky Studios,15,1544310788,5037974794
Vertigo Entertainment,30,1530455862,2991790269
Ingenious Film Partners,16,1509413779,5050005693
LStar Capital,24,1505003967,3697999660
Brian Grazer Productions,18,1483055356,3438965595
Cruel and Unusual Films,6,1449982257,3918146586
Roth Films,11,1419041127,3910858138
Fox Searchlight Pictures,77,1351768922,3130485255
Kinberg Genre,10,1309850196,3702252576
Focus Features,63,1288181845,2884483796
Weinstein Company,41,1270411701,3080123244
Laura Ziskin Productions,5,1255649324,2720363069
Canal Plus,203,1246516867,4577060143
GK Films,17,1239325149,3469165646
Plan B Entertainment,31,1236011273,2950728813
Centropolis Entertainment,14,1229431531,3609383037
Malpaso Productions,17,1205270883,2033620503
One Race Films,11,1141774168,4747567486
The Safran Company,21,1140105358,3405508317
Gary Sanchez Productions,21,1108845084,1673245658
Alcon Entertainment,27,1108369331,1971505743
Cruise-Wagner,7,1107923624,3031872684
Judd Apatow,12,1086897505,1466591714
United Artists,24,1075236299,2908791381
Lakeshore Entertainment,40,1072009577,2175013614
Parkes+Macdonald Productions,17,1070293747,2714944995
Dentsu Inc.,15,1062434079,4013780054
