movie_id,reviews_users,reviews_critics
tt2281587,122,281
tt0116250,210,66
tt4302938,275,303
tt0122690,606,175
tt1126591,247,192
tt0116409,176,70
tt0824747,419,273
tt1298649,225,269
tt0269347,328,138
tt0128278,.,.
tt0338466,150,124
tt0839980,125,165
tt2798920,1831,416
tt2554274,427,450
tt1430626,107,241
tt0402022,550,68
tt0115857,101,50
tt0116277,101,58
tt0414055,.,.
tt0780567,45,97
tt0279111,506,76
tt0120390,.,.
tt4047068,.,.
tt0405676,188,130
tt0167456,.,.
tt0447666,.,.
tt0338216,66,104
tt0130089,11,2
tt0160184,149,77
tt0463034,192,139
tt0814314,665,209
tt0099674,616,109
tt0368709,517,192
tt0299930,424,127
tt0162650,.,.
tt0377818,633,145
tt1197624,540,225
tt1355683,334,416
tt0118617,203,66
tt0203009,2332,194
tt0249478,192,101
tt0418689,429,285
tt0462322,533,258
tt0120603,.,.
tt1790885,691,580
tt0264464,779,197
tt0795421,739,249
tt0452594,515,189
tt0817230,232,191
tt0112641,597,158
tt1488555,170,218
tt0120863,1488,171
tt0125664,568,137
tt1179034,233,206
tt0245803,184,136
tt0183505,494,158
tt4244998,532,145
tt0790604,123,74
tt1385826,457,422
tt1259571,942,301
tt0126029,1035,222
tt1637725,650,466
tt2294449,353,346
tt0102798,350,84
tt0116695,352,118
tt1528854,189,174
tt0119822,522,143
tt0129290,.,.
tt1489889,226,239
tt1229340,372,277
tt1650062,888,559
tt0280590,305,118
tt0195685,.,.
tt6343314,741,278
tt5117670,291,141
tt0251127,373,132
tt0110148,450,64
tt7959026,648,238
tt1068680,294,189
tt2024469,438,377
tt0120686,263,65
tt0427229,253,143
tt0454848,705,232
tt4877122,786,155
tt1570728,351,317
tt6294822,443,443
tt0120784,407,154
tt0112715,170,74
tt0448011,868,286
tt0377109,568,203
tt1389137,223,262
tt1210166,385,436
tt0388419,266,113
tt0775408,.,.
tt0114069,151,72
tt1075417,121,171
tt0356618,.,.
tt0400497,176,118
tt0300471,.,.
tt0381971,.,.
tt1605630,192,296
tt1428538,339,363
tt1464540,381,293
tt0250797,546,157
tt3532216,315,321
tt0365737,636,362
tt0318627,677,205
tt2262227,128,163
tt0118548,159,85
tt0408345,306,164
tt0119174,610,188
tt0119173,148,103
tt2106361,239,236
tt1872194,327,287
tt0384537,1786,277
tt0191397,266,120
tt0120768,289,74
tt2005151,206,281
tt0109254,.,.
tt0099700,175,107
tt0119874,164,94
tt0313443,166,127
tt0317198,264,150
tt0163978,579,109
tt0110725,149,66
tt1186367,222,244
tt0350028,105,93
tt3799694,422,444
tt0126916,237,93
tt0141109,126,70
tt1392197,67,99
tt0117765,139,56
tt1212419,348,324
tt0264935,309,134
tt0112401,98,70
tt1608290,213,255
tt1571569,.,.
tt0367959,413,114
tt0160916,156,100
tt1517260,397,282
tt0264395,299,135
tt2199571,232,254
tt0309377,276,151
tt0963178,205,250
tt0116225,243,125
tt0315297,182,80
tt5294550,228,310
tt0362270,663,270
tt0129167,566,192
tt2274648,1319,248
tt1240982,299,207
tt4477936,.,.
tt1462041,166,183
tt1124037,157,180
tt1034032,260,186
tt0331933,96,62
tt0289992,435,138
tt1559547,308,214
tt0378109,.,.
tt0765443,429,284
tt0109190,87,25
tt0151137,397,114
tt0113010,64,48
tt1502404,229,305
tt0119592,75,66
tt0114345,.,.
tt0421054,384,188
tt0113451,74,52
tt0891592,193,110
tt0266452,339,86
tt4701724,112,179
tt0315824,97,77
tt0181151,93,37
tt4426464,26,9
tt7134096,98,74
tt1014763,257,188
tt1374992,185,172
tt2072227,66,33
