title,dom_bo,int_bo,wrld_bo,dvd_sales,blu_sales,total_sales,opening,runtime,legs,share,budget,theater_opening,theater_max,inf_dom_bo,release,vdo_release,mpaa,series,genre,kwrds,src,prd_mthd,creative_type,prd_company,prd_country,lang,synop
"https://www.the-numbers.com/movie/Hero-The-(2017)#tab=summary
",4077333,35036,4112369,628680,224693,853373,45317,96.0,4.86,99.1,.,4,447,4140969,"June 9th, 2017","September 19th, 2017",R,.,drama,"romance, terminal illness, out of retirement, retirement, one last job, narcotics, cancer, stand-up comedy, dysfunctional family, autumn years, voice actor, film actor, dream sequence, viral video, may / december romance",original screenplay,live action,contemporary fiction,"Northern Lights Films, Park Pictures   , Houston King Productions",united states,english,"lee hayden is an aging western icon with a golden voice, but his best performances are decades behind him. he spends his days reliving old glories and smoking too much weed with his former-co-star-turned-dealer, jeremy, until a surprise cancer diagnosis brings his priorities into sharp focus. he soon strikes up an exciting, contentious relationship with stand-up comic charlotte, and he attempts to reconnect with his estranged daughter, lucy, all while searching for one final role to cement his legacy.
"
"https://www.the-numbers.com/movie/Dinner-The-(2017)#tab=summary
",1323312,1168689,2492001,224717,12205,236922,653944,120.0,2.02,53.1,.,505,505,1343962,"May 5th, 2017","August 8th, 2017",R,.,drama,"politicians, political campaign, dysfunctional family, fugitive / on the run",based on fiction book/short story,live action,contemporary fiction,"Code Red, The Orchard, Chubbco, Blackbird, Protagonist Pictures",united states,english,"when stan lohman, a popular congressman running for governor, invites his troubled younger brother paul and his wife claire to join him and his wife katelyn for dinner at one of the townâs most fashionable restaurants, the stage is set for a tense night. while stan and paul have been estranged since childhood, their 16-year- old sons are friends, and the two of them have committed a horrible crime that has shocked the country. while their sonsâ identities have not yet been discovered and may never be, their parents must now decide what action to take. as the night proceeds, beliefs about the true natures of the four people at the table are upended, relationships shatter, and each person reveals just how far they are willing to go to protect those they love.
"
"https://www.the-numbers.com/movie/Overnight-The#tab=summary
",1109808,56188,1165996,.,.,.,53022,80.0,3.41,95.2,200000,3,307,1199322,"June 19th, 2015","September 8th, 2015",R,.,comedy,"sex comedy, los angeles, culture clash, sundance film festival 2015",original screenplay,live action,contemporary fiction,"Gettin' Rad Productions, Duplass Brothers",united states,english,"alex, emily, and their son, rj, have recently moved to los angelesâ eastside from seattle. feeling lost in a new city, they are desperate to find their first new friends. after a chance meeting with kurt at the neighborhood park, they gladly agree to join family pizza night at the home. but as it gets later and the kids go to bed, the family âplaydateâ becomes increasingly more revealing and bizarre as the couples begin to open up.
"
"https://www.the-numbers.com/movie/American-Animals-(2018)#tab=summary
",2853526,1681883,4535409,.,.,.,134793,116.0,5.22,62.9,.,4,339,2853526,"June 1st, 2018","August 14th, 2018",R,.,thriller/suspense,"heist, college, 2000s, kentucky, sundance film festival 2018",based on real life events,live action,dramatization,"Film4, RAW, AI Film, Lava Bear Films",united states,english,"the true story of four friends living an ordinary existence who brazenly attempt to execute one of the most audacious art heists in us history. but not everything is as it seems, and as the daring theft unfolds through each of their perspectives, each of them start to question whether their attempts to inject excitement and purpose into their lives is simply a misguided attempt at achieving the american dream. 
"
"https://www.the-numbers.com/movie/Prodigy-The-(2019)#tab=summary
",14856291,4933421,19789712,359344,414186,773530,5853061,100.0,2.54,75.1,6000000,2530,2530,14856291,"February 8th, 2019","April 23rd, 2019",R,.,horror,"supernatural, scary kids, child prodigy, serial killer, child abuse, car accident",original screenplay,live action,contemporary fiction,"Orion Pictures, Vinson Pictures, XYZ Films","hong kong, united states",english,"a mother concerned about her young sonâs disturbing behavior thinks something supernatural may be affecting him.

"
"https://www.the-numbers.com/movie/Messenger-The#tab=summary
",1109660,635292,1744952,486998,.,.,44523,113.0,7.91,63.6,6500000,4,50,1320522,"November 13th, 2009","May 18th, 2010",R,.,drama,military life,original screenplay,live action,contemporary fiction,.,united states,english,"an iraq war veteran who narrowly escaped death in combat struggles with his new post at the casualty notification office while anticipating his upcoming discharge. will montgomery has spent his fair share of time in army hospitals, and with just three months to go before returning to civilian life, he discovers that his girlfriend back home has decided to move on with her life. crestfallen, will discovers that his latest hope for a fresh start will be training to work for the casualty notification office under the mentorship of senior officer tony. as someone who had a close brush with death himself, will isnât sure that heâs the man to tell families that their own loved ones will never be coming home. thankfully, in between his assignments, tony offers a sympathetic ear and the two men form a bond that will ultimately help them to readjust to ânormalâ life. but once youâve been in the thick of it, any true hope for a normal life after the military is just wishful thinking.
"
"https://www.the-numbers.com/movie/Brooklyns-Finest#tab=summary
",27163593,12069640,39233233,10676680,3888134,14564814,13350299,133.0,2.03,69.2,17000000,1936,1939,31363790,"March 5th, 2010","July 6th, 2010",R,.,thriller/suspense,hood film,remake,live action,contemporary fiction,"Millennium Films, Thunder Road Film, Nu Image, Langley Films Inc",united states,english,"when nypd's operation clean up targets the notoriously drug-ridden bk housing project, three conflicted new york city police officers find themselves swept away by the violence and corruption of brooklyn's gritty 65th precinct and its most treacherous criminals. each man finds himself spiraling toward the same fatal crime scene and a shattering collision with destiny.
"
"https://www.the-numbers.com/movie/Crazies-The-(2010)#tab=summary
",39123589,17321945,56445534,11233363,3940445,15173808,16067552,101.0,2.43,69.3,19000000,2477,2479,45173119,"February 26th, 2010","June 29th, 2010",R,.,horror,zombies,remake,live action,contemporary fiction,Participant Media,united states,english,"
 

"
"https://www.the-numbers.com/movie/Last-Chance-Harvey#tab=summary
",14889042,19598160,34487202,7976073,.,.,97260,92.0,3.46,43.2,.,6,1108,18104212,"December 25th, 2008","May 5th, 2009",PG-13,.,drama,romance,original screenplay,live action,contemporary fiction,"Overture Films, Process Films",united states,english,"
 

"
"https://www.the-numbers.com/movie/Sweeney-Todd-The-Demon-Barber-of-Fleet-Street#tab=summary
",52898073,100431771,153329844,41028798,.,.,9300805,117.0,5.69,34.5,.,1249,1507,68810700,"December 21st, 2007","April 1st, 2008",R,.,musical,"serial killer, prison, revenge, food, cannibalism",based on musical or opera,live action,historical fiction,"DreamWorks Pictures, Paramount Pictures, Parkes+Macdonald Productions, Zancuk Company, Image Nation",united states,english,"
 

"
"https://www.the-numbers.com/movie/Shes-the-Man#tab=summary
",33889159,21390449,55279608,33644257,.,.,10730372,105.0,3.16,61.3,25000000,2623,2631,47134384,"March 17th, 2006","July 18th, 2006",PG-13,.,romantic comedy,"cross-dressing, soccer, romance, modern adaptation",based on play,live action,contemporary fiction,Donnersâ Company,united states,english,"
 

"
"https://www.the-numbers.com/movie/Heartbreak-Kid-The-(2007)#tab=summary
",36787257,90981533,127768790,12912091,.,.,14022105,116.0,2.62,28.8,.,3229,3233,48711033,"October 5th, 2007","December 26th, 2007",R,.,romantic comedy,"relationships gone wrong, romance",remake,live action,contemporary fiction,"Radar Pictures, Davis Entertainment, Conundrum Entertainment","mexico, united states",english,"
 

"
"https://www.the-numbers.com/movie/Ghost-Town#tab=summary
",13367624,16590604,29958228,8578597,.,.,5012315,102.0,2.67,44.6,20000000,1505,1512,16960870,"September 19th, 2008","December 28th, 2008",PG-13,.,romantic comedy,"hauntings, romance",original screenplay,live action,fantasy,"DreamWorks Pictures, Spyglass Entertainment",united states,english,"
 

"
"https://www.the-numbers.com/movie/Puss-in-Boots#tab=summary
",149260504,405726973,554987477,49216103,21879896,71095999,34077439,90.0,4.38,26.9,130000000,3952,3963,171455511,"October 28th, 2011","February 24th, 2012",PG,Shrek,adventure,"3-d, animal lead, talking animals, prequel, swashbuckler, voiceover/narration, directing yourself, non-chronological, revenge, orphan, life on the outside, fugitive / on the run, surprise twist, treasure hunters, imax: dmr, 3-d - shot in 3-d",spin-off,digital animation,kids fiction,"Paramount Pictures, DreamWorks Animation",united states,english,"long before he even met shrek, the notorious fighter, lover and outlaw puss in boots becomes a hero when he sets off on an adventure with the tough and street smart kitty softpaws and the mastermind humpty dumpty to save his town.  complicating matters along the way are the notorious outlaws jack and jill, who will do anything to see that puss and his band do not succeed. 

this is the true story of the cat, the myth, the legend...and, of course, the boots.   
"
"https://www.the-numbers.com/movie/Ruins-The#tab=summary
",17432844,5477719,22910563,15792317,.,.,8003421,90.0,2.18,76.1,25000000,2812,2814,22118834,"April 4th, 2008","July 8th, 2008",R,.,horror,"teenage slasher, surprise twist, killer plants, tourists in trouble",based on fiction book/short story,live action,contemporary fiction,"DreamWorks Pictures, Spyglass Entertainment, Red Hour Productions","australia, united states",english,"a group of friends become entangled in a brutal struggle for survival after visiting a remote archaeological dig in the mexican jungleâwhere they discover something deadly living among the ruins. 
"
"https://www.the-numbers.com/movie/Soloist-The#tab=summary
",31853584,6668866,38522450,10967115,1564411,12531526,9716458,117.0,3.28,82.7,60000000,2024,2090,38691491,"April 24th, 2009","August 4th, 2009",PG-13,.,drama,"biography, musicians",based on real life events,live action,dramatization,"Krasnoff/Foster Entertainment, Working Title Films",united kingdom,english,"
 

"
"https://www.the-numbers.com/movie/Uninvited-The-(2009)#tab=summary
",28596818,14182143,42778961,11994510,.,.,10325824,87.0,2.77,66.8,.,2344,2344,34735601,"January 30th, 2009","April 28th, 2009",PG-13,.,horror,psychological horror,remake,live action,fantasy,"DreamWorks Pictures, Cold Springs Pictures, Parkes+Macdonald Productions, Montecito Picture Company, Vertigo Entertainment",united states,english,"
 

"
"https://www.the-numbers.com/movie/Norbit#tab=summary
",95673607,63300000,158973607,45291052,.,.,34195434,103.0,2.8,60.2,.,3136,3145,126684088,"February 9th, 2007","June 5th, 2007",PG-13,.,comedy,"cross-dressing, fat suit, relationships gone wrong, same actor, multiple roles",original screenplay,live action,contemporary fiction,"DreamWorks Pictures, John Davis",united states,english,"
 

"
"https://www.the-numbers.com/movie/JCVD#tab=summary
",470691,1839253,2309944,.,.,.,20119,96.0,6.89,20.4,.,2,28,596031,"November 7th, 2008","April 28th, 2009",R,.,comedy,.,original screenplay,live action,contemporary fiction,.,"belgium, france, luxembourg","english, french","
 

"
"https://www.the-numbers.com/movie/Gods-Not-Dead-2#tab=summary
",20773069,2778217,23551286,5161241,2961654,8122895,7623662,121.0,2.72,88.2,5000000,2419,2419,21877756,"April 1st, 2016","July 26th, 2016",PG,God's Not Dead,drama,"faith-based, religious, christians, courtroom drama, teachers, agitprop",original screenplay,live action,contemporary fiction,"Pure Flix, 10 West Studios, Mutiny FX, GND Media Group, Believe Entertainment",united states,english,"grace, a christian teacher, is forced before a judge for honestly answering a question about jesus in the classroom. with the principal and superintendent joining forces with a zealous civil liberties group, grace faces an epic court case that could cost her career she loves and expel god from the classroom.
"
"https://www.the-numbers.com/movie/Case-for-Christ-The#tab=summary
",14678714,3288046,17966760,6047331,2077379,8124710,3967885,112.0,3.7,81.7,.,1174,1386,14907804,"April 7th, 2017","August 15th, 2017",PG,.,drama,"1980s, atheism, faith-based, christians, investigative journalist",based on real life events,live action,dramatization,"Pure Flix, Triple Horse Studios",united states,english,"in 1980, lee strobelâs award-winning investigative reporting earned him a promotion to legal editor at the chicago tribune. things at home werenât going nearly as well. his wife leslieâs newfound faith in christ compels lee to utilize his journalistic and legal training to disprove the claims of christianityâpitting his resolute atheism against her growing faith. 
"
"https://www.the-numbers.com/movie/Uri-The-Surgical-Strike-(India)-(2019)#tab=summary
",4185663,691137,4876800,.,.,.,631024,138.0,4.98,85.8,.,101,132,4185663,"January 11th, 2019",.,Not,.,action,"terrorism, special ops, india, revenge, 2010s",based on real life events,live action,dramatization,.,india,hindi,"
 

"
"https://www.the-numbers.com/movie/Ottoman-Lieutenant-The#tab=summary
",240978,172866,413844,61165,.,.,149830,106.0,1.61,58.2,.,216,216,244731,"March 10th, 2017","August 1st, 2017",R,.,drama,"world war i, interracial romance, turkey, nurse, war",original screenplay,live action,historical fiction,.,"turkey, united states",english,"
 

"
"https://www.the-numbers.com/movie/Duchess-The#tab=summary
",13848978,31311132,45160110,11703483,.,.,190426,110.0,4.19,30.7,27000000,7,1207,17571614,"September 19th, 2008","December 27th, 2008",PG-13,.,drama,"biography, 1700s",based on fiction book/short story,live action,dramatization,"Paramount Vantage, Pathe, BBC Films, Pathe Renn Productions, Bim Distribuzione, Qwerty Films, Magnolia Mae Films","france, italy, united kingdom, united states",english,"
 

"
"https://www.the-numbers.com/movie/Margot-at-the-Wedding#tab=summary
",1959420,408798,2368218,.,.,.,81035,92.0,5.2,82.7,.,2,121,2583897,"November 16th, 2007","February 19th, 2008",R,.,drama,.,original screenplay,live action,contemporary fiction,.,united states,english,"
 

"
"https://www.the-numbers.com/movie/Bad-News-Bears-The-(1976)#tab=summary
",42349782,.,.,.,.,.,2413779,.,17.55,100.0,.,443,443,.,"April 7th, 1976",.,PG,Bad News Bears,comedy,baseball,original screenplay,live action,.,.,united states,.,"
 

"
"https://www.the-numbers.com/movie/Honeymooners-The#tab=summary
",12834849,339577,13174426,.,.,.,5538835,90.0,2.32,97.4,27000000,1912,1912,18241099,"June 10th, 2005",.,PG-13,.,comedy,.,based on tv,live action,contemporary fiction,.,united states,.,"
 

"
"https://www.the-numbers.com/movie/Quiet-Place-A-(2018)#tab=summary
",188024361,148133165,336157526,6628735,10373895,17002630,50203562,95.0,3.75,55.9,17000000,3508,3808,188024361,"April 6th, 2018","July 10th, 2018",PG-13,.,horror,"near future, 2020s, directing yourself, screenplay written by the star, deaf, sign language, limited dialogue, family affair, psychological horror, relatives playing relatives, isolation horror, life on a farm, alien invasion, intertitle, prologue, motion capture performance",original screenplay,live action,contemporary fiction,"Paramount Pictures, Platinum Dunes, Sunday Night",united states,"english, sign language","a family of four must navigate their lives in silence after mysterious creatures that hunt by sound threaten their survival. if they hear you, they hunt you.
"
"https://www.the-numbers.com/movie/Overlord-(2018)#tab=summary
",21704844,17473345,39178189,898745,3802017,4700762,10202108,109.0,2.13,55.4,.,2859,2859,21704848,"November 9th, 2018","February 19th, 2019",R,.,action,"world war ii, nazis, scientific experiment gone awry, behind enemy lines, occult, super soldiers, imax: dmr",original screenplay,live action,historical fiction,"Paramount Pictures, Bad Robot",united states,english,"with only hours until d-day, a team of american paratroopers drop into nazi-occupied france to carry out a mission thatâs crucial to the invasion's success. tasked with destroying a radio transmitter atop a fortified church, the desperate soldiers join forces with a young french villager to penetrate the walls and take down the tower. but, in a mysterious nazi lab beneath the church, the outnumbered g.i.s come face-to-face with enemies unlike any the world has ever seen.
"
"https://www.the-numbers.com/movie/Longest-Yard-The-(1974)#tab=summary
",43008075,.,.,.,.,.,.,.,.,100.0,.,.,.,.,"August 30th, 1974",.,PG-13,.,.,"football, prison",.,.,.,.,united states,.,"
 

"
"https://www.the-numbers.com/movie/Fighter-The#tab=summary
",93617009,35645379,129262388,26340789,8099901,34440690,300010,115.0,7.71,72.4,11000000,4,2534,107817579,"December 10th, 2010","March 15th, 2011",R,.,drama,"boxing, comeback, dysfunctional family, addiction, 2011 oscars best picture nominee",based on real life events,live action,dramatization,"Closest to the Hole, Mandeville Films, Relativity Media",united states,english,"dicky eklund is a former boxing hero who squandered his talents and threw away his shot at greatness. micky ward, his half-brother, is a struggling journeyman boxer who spent his life living in his big brother's shadow. the fighter is the story of two brothers who come together to train for a historic title bout that will unite their fractured family and redeem their past. 
"
"https://www.the-numbers.com/movie/Rocketman-(UK)-(2019)#tab=summary
",96368160,92646130,189014290,3835062,6177945,10013007,25725722,121.0,3.75,51.0,41000000,3610,3610,96368160,"May 31st, 2019","August 6th, 2019",R,.,drama,"biography, musicians, lgbt, addiction, depression, 1960s, 1970s",based on real life events,live action,dramatization,"MARV Films, Paramount Pictures, New Republic Pictures, Rocket Pictures","united kingdom, united states",english,"a musical fantasy about the incredible human story of elton johnâs breakthrough years. the film follows the fantastical journey of transformation from shy piano prodigy reginald dwight into international superstar elton john. 
"
"https://www.the-numbers.com/movie/Gambler-The-(1999)#tab=summary
",51773,50000,101773,.,.,.,6317,.,8.2,50.9,3000000,1,1,92840,"August 4th, 1999",.,R,.,drama,mafia,based on fiction book/short story,live action,contemporary fiction,.,"hungary, netherlands, united kingdom","english, hungarian","
 

"
"https://www.the-numbers.com/movie/Last-Airbender-The#tab=summary
",131772187,187941694,319713881,30774198,18013248,48787446,40325019,103.0,3.27,41.2,150000000,3169,3203,152147604,"July 1st, 2010","November 16th, 2010",PG,.,adventure,"prologue, live action cartoon, martial arts, voiceover/narration, 3-d, whitewashed casting, 3-d - post-production conversion",based on tv,live action,fantasy,"Paramount Pictures, Nickelodeon Films, Blinding Edge Pictures, The Kennedy/Marshall Company",united states,english,"the adventures of the successor to a long line of avatars who must put aside his irresponsible ways to save the world.
"
