title,dom_bo,int_bo,wrld_bo,dvd_sales,blu_sales,total_sales,opening,runtime,legs,share,budget,theater_opening,theater_max,inf_dom_bo,release,vdo_release,mpaa,series,genre,kwrds,src,prd_mthd,creative_type,prd_company,prd_country,lang,synop
"/movie/Rec#tab=summary
",0,23266821,23266821,.,.,.,.,78.0,.,.,2100000,.,.,.,.,"July 14th, 2009",R,[REC],horror,"supernatural, isolation horror",original screenplay,live action,contemporary fiction,.,spain,"japanese, spanish","
 

"
"/movie/Infected-(2012)#tab=summary
",0,.,.,.,.,.,.,.,.,.,2100,.,.,.,.,.,R,.,horror,.,original screenplay,live action,science fiction,.,united states,english,"
 

"
"/movie/Lies-in-Plain-Sight#tab=summary
",0,.,.,.,.,.,.,.,.,.,2100,.,.,.,.,.,.,.,drama,tv premiere,based on movie,live action,contemporary fiction,"FishCorb Films, Konigsberg Company, Silver Screen",united states,english,"
 

"
"/movie/Timber-The#tab=summary
",0,.,47868,62327,.,.,.,.,.,.,2100,.,.,.,.,"October 6th, 2015",Not,.,western,direct-to-video,original screenplay,live action,historical fiction,.,united states,english,"
 

"
"/movie/Sharkskin#tab=summary
",0,.,4505,.,.,.,.,100.0,.,.,2100,.,.,.,.,"January 19th, 2016",.,.,comedy,.,original screenplay,live action,historical fiction,.,united states,english,"this is a film about a suit. not just any suit, mind you, but a sharkskin suit made especially for a italian mafia don. more importantly, this is a film about the tailor who fit him. sharkskin is the post world war ii story of manhattan born mike esposito, a practiced tailor of custom men s clothing; a man of dignity and honor, whose developing involvements with the italian mob wraps him up in a world of moral dilemma and clashing values. when mike s dream of making a suit for the local mafia head, don piano, becomes a reality, he unavoidably begins to face the criminal world and its stark contrast with his highly held principles. the pay is lucrative, the prestige grand, but when mike s son, sammy, unexpectedly becomes a student of and a participant in the mob's operations, mike begins to question the effects on his family as a consequence of his accepting the job.
"
"/movie/Courageous#tab=summary
",34522221,663663,35185884,21531525,3658197,25189722,9112839,129.0,3.79,98.1,2000000,1161,1214,39657087,"September 30th, 2011","January 17th, 2012",PG-13,.,drama,"dysfunctional family, religious, directing yourself, death of a son or daughter, corrupt cops, narcotics, gangs, faith-based",original screenplay,live action,contemporary fiction,"Tri-Star Pictures, Sherwood Pictures, Provident Films, Affirm Films, Kendrick Brothers Productions",united states,english,"as law enforcement officers, adam mitchell, nathan hayes, and their partners aree confident and focused. they willingly stand up to the worst the streets have to offer. yet at the end of the day, they face a challenge that none of them are truly prepared to tackle: fatherhood. 

while they consistently give their best on the job, good enough seems to be all they can muster as dads. but theyâre quickly discovering that their standard is missing the mark. 

they know that god desires to turn the hearts of fathers to their children, but their children are beginning to drift further and further away from them. will they be able to find a way to serve and protect those that are most dear to them?  when tragedy hits home, these men are left wrestling with their hopes, their fears, their faith, and their fathering. can a newfound urgency help these dads draw closer to god â¦ and to their children?

"
"/movie/From-Russia-With-Love#tab=summary
",24800000,54100000,78900000,.,.,.,.,115.0,.,31.4,2000000,.,.,.,"April 8th, 1964",.,PG,James Bond,action,secret agent,based on fiction book/short story,live action,contemporary fiction,"Eon Productions, United Artists",united kingdom,english,"
 

"
"/movie/Mad-Max-2-The-Road-Warrior#tab=summary
",24600832,.,.,.,.,.,2527864,.,9.5,100.0,2000000,704,708,76229100,"May 21st, 1982","March 26th, 1997",.,Mad Max,action,post apocalypse,.,live action,science fiction,.,australia,.,"
 

"
"/movie/Notorious-(1946)#tab=summary
",24464742,27956,24492698,785827,.,.,.,101.0,.,99.9,2000000,.,.,.,"August 15th, 1946","January 15th, 2019",Not,.,thriller/suspense,"film noir, political, nazis, undercover, suicide, secret agent, romance, directing yourself",original screenplay,live action,historical fiction,.,united states,english,"when troubled beauty alicia huberman is recruited by american agent devlin to infiltrate a german spy ring in postwar rio, she acceptsâ¦but soon finds herself falling in love with devlin. and when she receives orders to seduce a nazi kingpin, alicia must sacrifice the only happiness she's ever known for a perilous mission that could ultimately cost her and devlin their lives. 
"
"/movie/In-the-Heat-of-the-Night#tab=summary
",24379978,27669,24407647,502167,.,.,.,154.0,.,99.9,2000000,.,.,.,"August 2nd, 1967","January 14th, 2014",Not,.,drama,.,original screenplay,live action,contemporary fiction,.,united states,english,"
 

"
"/movie/Sleeper#tab=summary
",18344729,.,.,.,.,.,.,.,.,100.0,2000000,.,.,.,"December 17th, 1973","January 15th, 2013",PG,.,comedy,cloning,original screenplay,live action,.,.,united states,.,"
 

"
"/movie/Everything-You-Always-Wanted-to-Know#tab=summary
",18016290,.,.,.,.,.,.,.,.,100.0,2000000,.,.,.,"August 11th, 1972",.,R,.,comedy,"same actor, multiple roles",based on fiction book/short story,live action,.,.,united states,.,"
 

"
"/movie/It-Follows#tab=summary
",14674077,8576678,23250755,2099332,1547948,3647280,160089,107.0,3.85,63.1,2000000,4,1655,15857750,"March 13th, 2015","June 30th, 2015",R,.,horror,"curses, psychological horror, voyeurism, underwater, romance, relationships gone wrong, supernatural, sex crimes, shapeshifter, demons",original screenplay,live action,fantasy,"Animal Kingdom, Two Flints, Northern Lights Films",united states,english,"after a strange sexual encounter, a teenager finds herself haunted by nightmarish visions and the inescapable sense that something is after her.
"
"/movie/Eighth-Grade-(2018)#tab=summary
",13539710,808310,14348020,182556,108356,290912,263797,93.0,4.75,94.4,2000000,4,1084,13539710,"July 13th, 2018","October 9th, 2018",R,.,drama,"coming of age, middle school, social media, social outcast, suburbs, single parent, anxiety and phobias, voiceover/narration, sundance film festival 2018",original screenplay,live action,contemporary fiction,A24,united states,english,"thirteen-year-old kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle schoolâthe end of her thus far disastrous eighth grade yearâbefore she begins high school.
"
"/movie/To-Kill-A-Mockingbird#tab=summary
",13129846,.,2374724,.,.,.,.,129.0,.,100.0,2000000,.,.,.,"December 25th, 1962","January 31st, 2012",Not,.,drama,"lawyers, courtroom drama, bigotry, wrongfully convicted, framed, voiceover/narration, new guy/girl in school, coming of age, poverty, life in a small town, sex crimes, dysfunctional family, young child dealing with the death of a parent, death of a spouse or fiancã©e / fiancã©, addiction, albino",based on fiction book/short story,live action,historical fiction,.,united states,english,"
 

"
"/movie/Silent-House#tab=summary
",12739737,3871023,16610760,2915443,773326,3688769,6660234,86.0,1.91,76.7,2000000,2124,2124,14580273,"March 9th, 2012","July 24th, 2012",R,.,horror,"foreign-language remake, surprise twist, real time, dysfunctional family, mental illness, sex crimes, faulty memory, one location",remake,live action,contemporary fiction,"LD Entertainment, Open Road Films, Elle Driver, Silverwood Films, Eye for an Eye Filmworks, Tazora Films",united states,english,"a young woman finds herself sealed inside her family's secluded lake house. with no contact to the outside world, and no way out, panic turns to terror as events become increasingly ominous in and around the house.
"
"/movie/Boys-Dont-Cry#tab=summary
",11540607,9200393,20741000,.,.,.,73720,116.0,11.72,55.6,2000000,2,365,19783713,"October 8th, 1999","April 18th, 2000",R,.,drama,"lgbt, 1990s, hate crime",based on real life events,live action,dramatization,"Fox Searchlight Pictures, Independent Film Channel, Killer Films, Hart Sharp",united states,english,"
 

"
"/movie/Leben-der-Anderen-Das#tab=summary
",11284657,69912390,81197047,4417786,.,.,213589,137.0,13.24,13.9,2000000,13,259,14942322,"February 9th, 2007","August 21st, 2007",R,.,drama,"east / west berlin, secret police, cold war",original screenplay,live action,historical fiction,.,germany,german,"
 

"
"/movie/Hardcore-Henry#tab=summary
",9252038,7935396,17187434,2007405,2370637,4378042,5107604,95.0,1.81,53.8,2000000,3015,3015,9744047,"April 8th, 2016","June 28th, 2016",R,.,action,"filmed by a character, character pov shot, cyborg, rescue, kidnap, moscow, russia, surprise twist, bullies, non-chronological, cloning",original screenplay,live action,science fiction,"Timur Bekmambetov, Bazelevs Company, Versus Productions","russian federation, united states",english,"you remember nothing. mainly because you've just been brought back from the dead by your wife. she tells you that your name is henry. five minutes later, you are being shot at, your wife has been kidnapped, and you should probably go get her back. who's got her? his name's akan; he's a powerful warlord with an army of mercenaries, and a plan for world domination. you're also in an unfamiliar city of moscow, and everyone wants you dead. everyone except for a mysterious british fellow called jimmy. he may be on your side, but you aren't sure. if you can survive the insanity, and solve the mystery, you might just discover your purpose and the truth behind your identity. good luck, henry. you're likely going to need itâ¦
"
"/movie/Lolita-(1962)#tab=summary
",9250000,.,.,.,.,.,.,152.0,.,100.0,2000000,.,.,.,"June 13th, 1962",.,Not,.,drama,"same actor, multiple roles, film noir",.,live action,.,.,"united kingdom, united states",english,"
 

"
"/movie/Boom-Town#tab=summary
",9172000,.,.,.,.,.,.,119.0,.,100.0,2000000,.,.,.,"August 30th, 1940",.,Not,.,western,romance,original screenplay,live action,historical fiction,Metro-Goldwyn-Mayer Pictures,united states,english,"
 

"
"/movie/Gentlemans-Agreement#tab=summary
",7800000,.,.,.,.,.,.,118.0,.,100.0,2000000,.,.,.,"November 11th, 1947","January 15th, 2013",Not,.,drama,.,original screenplay,live action,contemporary fiction,.,united states,english,"
 

"
"/movie/Hustler-The#tab=summary
",7600000,.,.,.,.,.,.,134.0,.,100.0,2000000,.,.,.,"September 25th, 1961","June 2nd, 2002",Not,Eddie Felson,.,"gambling, confidence men",.,.,.,.,united states,english,"
 

"
"/movie/Witchboard#tab=summary
",7369373,.,.,.,.,.,.,.,2.85,100.0,2000000,.,.,17327092,"December 31st, 1986",.,.,.,horror,.,original screenplay,live action,fantasy,.,"united kingdom, united states",.,"
 

"
"/movie/Triplettes-de-Belleville-Les#tab=summary
",7301288,10101880,17403168,.,.,.,108080,.,9.46,42.0,2000000,6,463,10772192,"November 26th, 2003",.,PG-13,.,musical,mafia,original screenplay,hand animation,historical fiction,.,france,french,"
 

"
"/movie/Smoke-Signals#tab=summary
",6719300,1037317,7756617,.,.,.,43574,.,11.0,86.6,2000000,5,353,13051769,"June 26th, 1998",.,PG-13,.,comedy,.,based on fiction book/short story,live action,contemporary fiction,.,.,.,"
 

"
"/movie/Winters-Bone#tab=summary
",6531503,9600048,16131551,3731673,654498,4386171,84797,100.0,14.28,40.5,2000000,4,141,7539764,"June 11th, 2010","October 26th, 2010",R,.,drama,"narcotics, mental illness, organized crime, 2011 oscars best picture nominee, dysfunctional family, life in a small town, missouri, film noir",based on fiction book/short story,live action,contemporary fiction,"Anonymous Content, Winter's Bone Productions, LLC. ",united states,english,"17 year-old ree dolly sets out to track down her father, who put their house up for his bail bond and then disappeared.  if she fails, ree and her family will be turned out into the ozark woods.  challenging her outlaw kin's code of silence and risking her life, ree hacks through the lies, evasions and threats offered up by her relatives and begins to piece together the truth.
"
"/movie/Meet-the-Mormons#tab=summary
",6047363,1808,6049171,495829,95592,591421,2509808,78.0,2.41,100.0,2000000,317,333,6742484,"October 10th, 2014","March 31st, 2015",PG,.,documentary,"faith-based, religious, mormons, voiceover/narration, agitprop",based on real life events,live action,factual,Excel Entertainment,united kingdom,english,"meet the mormons examines the very diverse lives of six devout members of the church of jesus christ of latter-day saints. filmed on location and across the globe, meet the mormons takes viewers on a journey into the day-to-day realities of individuals living in the u.s., costa rica, nepal and beyond. from their individual passions to their daily struggles, each story paints a picture as rich and unique as the next while challenging the stereotypes that surround the mormon faith.
"
"/movie/American-Splendor#tab=summary
",6003587,2682045,8685632,.,.,.,159705,101.0,7.14,69.1,2000000,6,272,9070089,"August 15th, 2003","February 3rd, 2004",R,.,drama,"artists, independent/other comics, biography, breaking the fourth wall",based on comic/graphic novel,live action,contemporary fiction,.,united states,english,"
 

"
