title,dom_bo,int_bo,wrld_bo,dvd_sales,blu_sales,total_sales,opening,runtime,legs,share,budget,theater_opening,theater_max,inf_dom_bo,release,vdo_release,mpaa,series,genre,kwrds,src,prd_mthd,creative_type,prd_company,prd_country,lang,synop
"https://www.the-numbers.com/movie/Mohenjo-Daro#tab=summary
",1264339,416546,1680885,.,.,.,747791,155.0,1.69,75.2,.,246,246,1331572,"August 12th, 2016",.,Not,.,action,"bollywood, romance, freedom fighters, assassination, revenge, dream sequence, non-chronological",based on fiction book/short story,live action,historical fiction,"UTV Motion Pictures, Ashutosh Gowariker Productions",india,hindi,"during the pre-historic indus valley, in 2016 bc, the evil greed of a man is about to destroy one of the oldest cities in the ancient world, mohenjo daro. a young indigo farmer, sarman, enters the city and meets chaani, the daughter of the priest, predicted to be the origin of a new society. sarman, in his attempt to win chaani's love, uncovers the secrets that nobody was ever supposed to knowâabout chaani, about mohenjo daro and about his own past!
"
"https://www.the-numbers.com/movie/Khoobsurat#tab=summary
",1055593,82762,1138355,.,.,.,345085,130.0,3.06,92.7,.,57,61,1177039,"September 19th, 2014",.,Not,.,romantic comedy,"bollywood, romance, in-laws / future in-laws, love triangle, remake",remake,live action,contemporary fiction,"Walt Disney Pictures, Anil Kapoor Film Company",india,hindi,"khoobsurat is a romantic comedy about what happens when a vibrant, hopelessly romantic physiotherapist meets a handsome young rajput prince who is the complete opposite of her - and is engaged to someone else. it is a battle of values between two individually crazy families - one that encourages discipline and self-restraint versus the other, which is all for spontaneity and open- mindedness.
"
"https://www.the-numbers.com/movie/Race-(2015)#tab=summary
",19115191,4630581,23745772,2344039,1017095,3361134,7353922,134.0,2.6,80.5,5000000,2369,2387,20131715,"February 19th, 2016","May 31st, 2016",PG-13,.,drama,"olympics, germany, 1930s, nazis, track and field, world record attempt, african-american, bigotry, inspirational sports",based on real life events,live action,dramatization,"Focus Features, The Jesse Owens Foundation, The Luminary Group, Solo Films, Trinica, Trinity Race","canada, france, germany",english,"based on the true story of jesse owens, the legendary athletic superstar whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 olympics, where he faces off against adolf hitlerâs vision of aryan supremacy. a film about courage, determination, tolerance, and friendship, and a drama about one manâs fight to become an olympic legend.
"
"https://www.the-numbers.com/movie/Haider#tab=summary
",1048143,116162,1164305,.,.,.,508084,124.0,2.06,90.0,.,119,119,1168731,"October 2nd, 2014",.,Not,.,drama,"bollywood, modern adaptation, 1990s, terrorism, muslims, india, kashmir, war, revenge, missing person, young child dealing with the death of a parent, dysfunctional family",original screenplay,live action,contemporary fiction,VB Pictures,india,hindi,"vishal bhardwaj's adaptation of william shakespeare's 'hamlet', haider - a young man returns home to kashmir on receiving news of his father's disappearance. not only does he learn that security forces have detained his father for harboring militants, but that his mother is in a relationship with his very own uncle. intense drama follows between mother and son as both struggle to come to terms with news of his father's death. soon haider learns that his uncle is responsible for the gruesome murder, what follows is his journey to avenge his father's death.
"
"https://www.the-numbers.com/movie/Tamasha#tab=summary
",2065487,13239279,15304766,.,.,.,1006059,151.0,2.05,13.5,.,179,182,2232096,"November 25th, 2015",.,Not,.,comedy,"bollywood, france, vacation, false identity, romance",original screenplay,live action,contemporary fiction,"UTV Motion Pictures, Nadiadwala Grandson Entertainment",india,hindi,"there is something special in you. don't ignore it. don't try to change yourself to fit into this world. please... give yourself a chance. she reminds him of who he is. he is the small town boy who has grown up in the world of stories. he belongs to that world. he is not suited to the corporate rat-race.

the journey he goes through to reach himself is the stage for tamasha. it's a personal journey - passionate and quirky - that dismantles his life, so that he can become how she sees him... the exuberant story-teller. exotic island, youthful abandon, far...far away, ved and tara - a story begins. ved has grown up amongst stories. as a kid in shimla, he would collect money; even steal money so that the old storyteller would tell him stories. ramayan, helen of troy, laila majnu, heer ranjha, aladin, romeo juliet... the storyteller would also say that all stories are the same.

ved wants his story with tara to be different. so, they decide not to tell each other who they are and to only lie about themselves. and, after returning from the island, never to meet each other again. but they do meet again. the question is whether they will be able to shape their story in the way they want. will the muse be able to make an artist of a common man, will ved be able to break the shackles of ordinary existence, escape the corporate rat-race and become the way tara sees him - the exuberant story-teller? 
"
"https://www.the-numbers.com/movie/Himmatwala#tab=summary
",270880,10600990,10871870,.,.,.,197770,.,1.37,2.5,.,99,99,303527,"March 29th, 2013",.,Not,.,action,.,original screenplay,live action,contemporary fiction,.,india,hindi,"
 

"
"https://www.the-numbers.com/movie/Jodhaa-Akbar#tab=summary
",3444629,25150000,28594629,.,.,.,1250000,213.0,2.76,12.0,.,100,100,4370550,"February 14th, 2008",.,Not,.,drama,foreign language,based on real life events,live action,dramatization,.,india,hindi,"
 

"
"https://www.the-numbers.com/movie/Chennai-Express#tab=summary
",5307960,61975652,67283612,.,.,.,2220497,141.0,2.39,7.9,.,196,196,5947782,"August 8th, 2013",.,Not,.,romantic comedy,"bollywood, road trip, romance, dying wish, dysfunctional family, arranged marriage",original screenplay,live action,contemporary fiction,UTV Communications,india,hindi,"
 

"
"https://www.the-numbers.com/movie/Delhi-Belly#tab=summary
",1532594,18757072,20289666,.,.,.,581943,103.0,2.63,7.6,.,89,90,1760644,"July 1st, 2011",.,Not,.,comedy,"bollywood, foreign language, organized crime, relationships gone wrong, blackmail",original screenplay,live action,contemporary fiction,"UTV Communications, Aamir Khan Productions, Ferocious Attack Cow",india,"english, hindi","tashi, arup and nitin - flatmates, buddies and partners in crime. tashi is to get married in a month but still doesn't know if his fiancã© is the one! arup can't make up his mind who he wants to kill first - his girlfriend who has just dumped him or his stupid, annoying boss whose idea of creativity is sketching a smiling banana! and nitin is about to discover that eating delicious tandoori chicken off a street vendor is going to give him the worst case of delhi belly he's ever known! three regular blokes, living the regular life except for one small detail - they are on the hit list of one of the world's deadliest crime syndicates. will they be able to get away before the shit hits the roof and it comes crashing down?
"
"https://www.the-numbers.com/movie/No-One-Killed-Jessica#tab=summary
",442036,4124767,4566803,.,.,.,227473,130.0,1.94,9.7,.,48,48,507810,"January 7th, 2011",.,Not,.,drama,"news, inspired by a true story, political, foreign language",based on real life events,live action,dramatization,UTV Spot Boy,india,hindi,"jessica, a model, is shot and killed while working as a bartender by manish, the scion of a former union minister. despite the fact that there were several witnesses, manish is acquitted at two trials due to lack of evidence. the victimâs sister, sabrina, and a television reporter meera work tirelessly to gather evidence for a conviction in a new trial.
"
