studio,count,abbreviation,description_company
Warner Bros.,489,WB,
Universal Pictures,425,Universal,
Paramount Pictures,393,Paramount,
Twentieth Century Fox,372,20th Century Fox,
Columbia Pictures,351,Sony Pictures/Columbia,"that is a member of the?Sony Pictures Motion Picture Group,[2]?a division of?Sony Entertainment's?Sony Pictures"
Buena Vista Pictures,181,BUENA VISTA,
Lionsgate,180,LIONSGATE,
New Line Cinema,141,NL,
Fox Searchlight Pictures,122,Fox Searchlight,
Walt Disney Studios Motion Pictures,119,BUENA VISTA,
Mayer,111,MGM,
Miramax,108,Mira.,
Sony Pictures Classics,94,SPC,
Focus Features,92,Focus,
United Artists,81,UA,
Screen Gems,72,SGem,"Screen Gems, Inc.?is an American film production and distribution studio that is a division of?Sony Pictures'?Motion Picture Group,?"
The Weinstein Company,62,Wein.,
DreamWorks Distribution,54,DW,
TriStar Pictures,53,TriS,
A24,47,A24,
IFC Films,45,IFC,
Lions Gate Films,41,Lions,
Sony Pictures Releasing,40,SonR,
Dimension Films,40,W/Dim.,
Open Road Films,38,ORF,
Roadside Attractions,31,RAtt.,
Orion Pictures,31,Orion,
Magnolia Pictures,30,Magn.,
STX Entertainment,29,STX,
Summit Entertainment,26,Sum.,
Relativity Media,26,Rela.,
Mayer Distributing Corporation,22,MGM,
Freestyle Releasing,19,Free,
Fine Line Features,18,NL,Fine Line Features?(often spelled as?FineLine Features) was the specialty films division of?New Line Cinema.
Yash Raj Films,16,Yash,Yash Raj Films(YRF) is an Indian film production and distribution company working in Hindi cinema.
Bleecker Street Media,16,BST,
Fox 2000 Pictures,16,20th Century Fox,"Fox 2000 Pictures was formed as a division of?20th Century Fox?in 1994. Fox 2000 Pictures was one of the Fox film studios that was acquired by The Walt Disney Company on March 20, 2019."
Paramount Vantage,16,ParV,Paramount Vantage?(originally known as?Paramount Classics) was a?film distribution label?of?Paramount Pictures?
Buena Vista Pictures Distribution,15,BUENA VISTA,Walt Disney Studios Motion Pictures?is an American?film distributor?owned by?The Walt Disney Company.
Sony Pictures Entertainment,15,Sony Pictures/Columbia,"Sony Pictures Home Entertainment?(abbreviated as?SPHE) is the?home video?distribution division of?Sony Pictures Entertainment,?"
Samuel Goldwyn Films,14,Gold.,
