movie_id,studio
tt4154796,Walt Disney Studios Motion Pictures
tt1298650,Walt Disney Studios Motion Pictures
tt2395427,Walt Disney Studios Motion Pictures
tt4154756,Walt Disney Studios Motion Pictures
tt0449088,Buena Vista Pictures
tt0974015,Warner Bros.
tt2379713,Columbia Pictures
tt3778644,Walt Disney Studios Motion Pictures
tt0401729,Walt Disney Studios Motion Pictures
tt2975590,Warner Bros.
tt6105098,Walt Disney Studios Motion Pictures
tt0398286,Walt Disney Studios Motion Pictures
tt0413300,Columbia Pictures
tt3498820,Walt Disney Studios Motion Pictures
tt0417741,Warner Bros.
tt1170358,Fathom Events
tt2310332,Fathom Events
tt4630562,Universal Pictures
tt2382320,Mayer
tt0499549,Twentieth Century Fox
tt0348150,Warner Bros.
tt1345836,Warner Bros.
tt1790809,Walt Disney Studios Motion Pictures
tt0830515,Columbia Pictures
tt0848228,Walt Disney Studios Motion Pictures
tt0383574,Buena Vista Pictures
tt0770828,Warner Bros.
tt0499448,Walt Disney Studios Motion Pictures
tt1210819,Walt Disney Studios Motion Pictures
tt6723592,Warner Bros.
tt0948470,Columbia Pictures
tt1440129,Universal Pictures
tt3371366,Paramount Pictures
tt0369610,Universal Pictures
tt1409024,Columbia Pictures
tt1055369,Paramount Pictures
tt2109248,Paramount Pictures
tt0376994,Twentieth Century Fox
tt0955308,Universal Pictures
tt0360717,Universal Pictures
tt0385752,New Line Cinema
tt1825683,Walt Disney Studios Motion Pictures
tt0120338,Paramount Pictures
tt3606756,Walt Disney Studios Motion Pictures
tt3748528,Walt Disney Studios Motion Pictures
tt2277860,Walt Disney Studios Motion Pictures
tt1979376,Walt Disney Studios Motion Pictures
tt0435761,Walt Disney Studios Motion Pictures
tt1300854,Walt Disney Studios Motion Pictures
tt3896198,Walt Disney Studios Motion Pictures
tt0316654,Columbia Pictures
tt1014759,Walt Disney Studios Motion Pictures
tt1074638,Columbia Pictures
tt0903624,Fathom Events
tt1453405,Walt Disney Studios Motion Pictures
tt1623205,Walt Disney Studios Motion Pictures
tt1877832,Twentieth Century Fox
tt1872181,Columbia Pictures
tt1216475,Walt Disney Studios Motion Pictures
tt6806448,Universal Pictures
tt1104001,Walt Disney Studios Motion Pictures
tt1190080,Columbia Pictures
tt4123430,Warner Bros.
tt0438488,Warner Bros.
tt1133985,Warner Bros.
tt6565702,Twentieth Century Fox
tt1399103,Paramount Pictures
tt2345759,Universal Pictures
tt1351685,Warner Bros.
tt2820852,Universal Pictures
tt1408101,Paramount Pictures
tt0816711,Paramount Pictures
tt1343092,Warner Bros.
